Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
28097942,05/22/2014 08:14:00 PM,05/29/2014 12:00:00 PM,DSNY,A - Manhattan,Dirty Conditions,"E4 18"" Law",Street,10040.0,1 NAGLE AVENUE,NAGLE AVENUE,BENNETT AVENUE,ELLWOOD STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,05/29/2014 12:00:00 PM,12 MANHATTAN,1021710001.0,MANHATTAN,1003271.0,252360.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.85932419390543,-73.93123733660876,"(40.85932419390543, -73.93123733660875)",True,False,False
28379470,06/28/2014 04:04:00 PM,07/01/2014 12:00:00 PM,DSNY,A - Manhattan,Other Enforcement,E6 Commercial Waste Disposal,Sidewalk,10040.0,1 NAGLE AVENUE,NAGLE AVENUE,BENNETT AVENUE,ELLWOOD STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,07/01/2014 12:00:00 PM,12 MANHATTAN,1021710001.0,MANHATTAN,1003271.0,252360.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.85932419390543,-73.93123733660876,"(40.85932419390543, -73.93123733660875)",True,False,False
28383767,06/28/2014 04:17:00 PM,07/01/2014 12:00:00 PM,DSNY,A - Manhattan,Other Enforcement,E6 Commercial Waste Disposal,Sidewalk,10040.0,1 NAGLE AVENUE,NAGLE AVENUE,BENNETT AVENUE,ELLWOOD STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,07/01/2014 12:00:00 PM,12 MANHATTAN,1021710001.0,MANHATTAN,1003271.0,252360.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.85932419390543,-73.93123733660876,"(40.85932419390543, -73.93123733660875)",True,False,False
30386866,04/13/2015 12:00:00 AM,04/15/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10040.0,1 NAGLE AVENUE,NAGLE AVENUE,,,,,LATLONG,NEW YORK,,,Closed,05/13/2015 12:38:09 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,04/15/2015 12:00:00 AM,Unspecified MANHATTAN,,MANHATTAN,1003250.0,252372.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.859357175511505,-73.93131321949191,"(40.859357175511505, -73.9313132194919)",True,True,False
29140652,10/25/2014 12:44:24 AM,10/25/2014 01:17:49 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10040,1 NAGLE AVENUE,NAGLE AVENUE,BENNETT AVENUE,ELLWOOD STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/25/2014 08:44:24 AM,The Police Department responded to the complaint and took action to fix the condition.,10/25/2014 01:17:49 AM,12 MANHATTAN,1021710001.0,MANHATTAN,1003271.0,252360.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.85932419390543,-73.93123733660876,"(40.85932419390543, -73.93123733660875)",True,True,False
29089252,10/17/2014 11:57:21 PM,10/18/2014 02:05:23 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10040.0,1 NAGLE AVENUE,NAGLE AVENUE,BENNETT AVENUE,ELLWOOD STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/18/2014 07:57:21 AM,The Police Department issued a summons in response to the complaint.,10/18/2014 02:05:23 AM,12 MANHATTAN,1021710001.0,MANHATTAN,1003271.0,252360.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.85932419390543,-73.93123733660876,"(40.85932419390543, -73.93123733660875)",True,True,False
16243326,03/17/2010 10:24:00 AM,03/20/2010 12:00:00 PM,DSNY,A - Manhattan,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10040.0,1 NAGLE AVENUE,NAGLE AVENUE,BENNETT AVENUE,ELLWOOD STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,03/20/2010 12:00:00 AM,12 MANHATTAN,1021710001.0,MANHATTAN,1003271.0,252360.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.85932419390543,-73.93123733660876,"(40.85932419390543, -73.93123733660875)",True,False,False
16905088,06/20/2010 03:56:00 PM,06/21/2010 12:00:00 PM,DSNY,A - Manhattan,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,10040.0,1 NAGLE AVENUE,NAGLE AVENUE,BENNETT AVENUE,ELLWOOD STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,06/21/2010 12:00:00 AM,12 MANHATTAN,1021710001.0,MANHATTAN,1003271.0,252360.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.85932419390543,-73.93123733660876,"(40.85932419390543, -73.93123733660875)",True,False,False
18752688,09/23/2010 04:49:00 PM,09/24/2010 12:00:00 PM,DSNY,BCC - Manhattan,Sanitation Condition,22 Weeds,Sidewalk,10040.0,1 NAGLE AVENUE,NAGLE AVENUE,BENNETT AVENUE,ELLWOOD STREET,,,ADDRESS,NEW YORK,,DSNY Garage,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,09/24/2010 12:00:00 AM,12 MANHATTAN,1021710001.0,MANHATTAN,1003271.0,252360.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.85932419390543,-73.93123733660876,"(40.85932419390543, -73.93123733660875)",True,False,False
23327543,05/30/2012 11:50:00 PM,06/01/2012 12:00:00 PM,DSNY,A - Manhattan,Dirty Conditions,E11 Litter Surveillance,Sidewalk,10040.0,1 NAGLE AVENUE,NAGLE AVENUE,BENNETT AVENUE,ELLWOOD STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,06/01/2012 12:00:00 PM,12 MANHATTAN,1021710001.0,MANHATTAN,1003271.0,252360.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.85932419390543,-73.93123733660876,"(40.85932419390543, -73.93123733660875)",True,False,False
23600162,07/11/2012 05:30:00 PM,07/12/2012 12:00:00 PM,DSNY,A - Illegal Posting Manhattan and Bronx,Dirty Conditions,E15 Illegal Postering,Sidewalk,10040.0,1 NAGLE AVENUE,NAGLE AVENUE,BENNETT AVENUE,ELLWOOD STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Sanitation has removed illegal postings from the location. The Department will issue a Notice of Violation to the responsible party once it is identified.,07/12/2012 12:00:00 PM,12 MANHATTAN,1021710001.0,MANHATTAN,1003271.0,252360.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.85932419390543,-73.93123733660876,"(40.85932419390543, -73.93123733660875)",True,False,False
23684816,07/24/2012 09:00:00 PM,07/27/2012 12:00:00 PM,DSNY,A - Manhattan,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10040.0,1 NAGLE AVENUE,NAGLE AVENUE,BENNETT AVENUE,ELLWOOD STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,07/27/2012 12:00:00 PM,12 MANHATTAN,1021710001.0,MANHATTAN,1003271.0,252360.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.85932419390543,-73.93123733660876,"(40.85932419390543, -73.93123733660875)",True,False,False
23880582,08/27/2012 10:00:00 AM,08/31/2012 12:00:00 PM,DSNY,A - Manhattan,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10040.0,1 NAGLE AVENUE,NAGLE AVENUE,BENNETT AVENUE,ELLWOOD STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,08/31/2012 12:00:00 PM,12 MANHATTAN,1021710001.0,MANHATTAN,1003271.0,252360.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.85932419390543,-73.93123733660876,"(40.85932419390543, -73.93123733660875)",True,False,False
26345827,09/19/2013 10:48:00 AM,09/25/2013 03:45:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Alarms (NR3),,10040.0,1 NAGLE AVENUE,NAGLE AVENUE,BENNETT AVE,ELLWOOD ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",09/25/2013 03:45:00 PM,12 MANHATTAN,1021710001.0,MANHATTAN,1003271.0,252360.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.85932419390543,-73.93123733660876,"(40.85932419390543, -73.93123733660875)",True,False,False
27603853,03/09/2014 07:11:18 PM,04/03/2014 03:46:41 PM,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,Sidewalk,10040,1 NAGLE AVENUE,NAGLE AVENUE,BENNETT AVENUE,ELLWOOD STREET,,,ADDRESS,NEW YORK,,,Closed,04/08/2014 07:11:18 PM,"The Department of Transportation has inspected the location and notified the property owner of any defective sidewalk conditions. The property owner is responsible for maintaining, repairing and installing sidewalks adjoining their property, according to Section 19-152 of the New York City Administrative Code.",04/03/2014 03:46:41 PM,12 MANHATTAN,1021710001.0,MANHATTAN,1003271.0,252360.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.85932419390543,-73.93123733660876,"(40.85932419390543, -73.93123733660875)",False,False,False
28110631,05/24/2014 09:28:54 PM,05/25/2014 01:30:52 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10040,1 NAGLE AVENUE,NAGLE AVENUE,BENNETT AVENUE,ELLWOOD STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,05/25/2014 05:28:54 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,05/25/2014 01:30:52 AM,12 MANHATTAN,1021710001.0,MANHATTAN,1003271.0,252360.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.85932419390543,-73.93123733660876,"(40.85932419390543, -73.93123733660875)",True,False,False
28264509,06/15/2014 08:31:18 PM,06/15/2014 09:54:16 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10040,1 NAGLE AVENUE,NAGLE AVENUE,BENNETT AVENUE,ELLWOOD STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,06/16/2014 04:31:18 AM,The Police Department responded to the complaint and determined that police action was not necessary.,06/15/2014 09:54:16 PM,12 MANHATTAN,1021710001.0,MANHATTAN,1003271.0,252360.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.85932419390543,-73.93123733660876,"(40.85932419390543, -73.93123733660875)",True,False,False
28266424,06/15/2014 07:51:23 PM,06/15/2014 09:40:44 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10040,1 NAGLE AVENUE,NAGLE AVENUE,BENNETT AVENUE,ELLWOOD STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,06/16/2014 03:51:23 AM,The Police Department responded to the complaint and determined that police action was not necessary.,06/15/2014 09:40:45 PM,12 MANHATTAN,1021710001.0,MANHATTAN,1003271.0,252360.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.85932419390543,-73.93123733660876,"(40.85932419390543, -73.93123733660875)",True,False,False
28318415,06/22/2014 03:20:08 PM,06/22/2014 11:59:05 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10040,1 NAGLE AVENUE,NAGLE AVENUE,BENNETT AVENUE,ELLWOOD STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,06/22/2014 11:20:08 PM,The Police Department responded to the complaint and took action to fix the condition.,06/22/2014 11:59:05 PM,12 MANHATTAN,1021710001.0,MANHATTAN,1003271.0,252360.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.85932419390543,-73.93123733660876,"(40.85932419390543, -73.93123733660875)",True,False,False
28355967,06/27/2014 11:22:31 PM,06/28/2014 05:08:10 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10040,1 NAGLE AVENUE,NAGLE AVENUE,BENNETT AVENUE,ELLWOOD STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,06/28/2014 07:22:31 AM,The Police Department responded to the complaint and determined that police action was not necessary.,06/28/2014 05:08:10 AM,12 MANHATTAN,1021710001.0,MANHATTAN,1003271.0,252360.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.85932419390543,-73.93123733660876,"(40.85932419390543, -73.93123733660875)",True,False,False
28381973,06/28/2014 08:50:00 PM,06/30/2014 12:00:00 PM,DSNY,BCC - Manhattan,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,10040.0,1 NAGLE AVENUE,NAGLE AVENUE,BENNETT AVENUE,ELLWOOD STREET,,,ADDRESS,NEW YORK,,DSNY Garage,Closed,,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,06/30/2014 12:00:00 PM,12 MANHATTAN,1021710001.0,MANHATTAN,1003271.0,252360.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.85932419390543,-73.93123733660876,"(40.85932419390543, -73.93123733660875)",True,False,False
28604027,08/02/2014 02:47:38 AM,08/02/2014 05:31:39 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10040,1 NAGLE AVENUE,NAGLE AVENUE,BENNETT AVENUE,ELLWOOD STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,08/02/2014 10:47:38 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/02/2014 05:31:39 AM,12 MANHATTAN,1021710001.0,MANHATTAN,1003271.0,252360.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.85932419390543,-73.93123733660876,"(40.85932419390543, -73.93123733660875)",True,True,False
28605237,08/03/2014 12:15:22 AM,08/03/2014 02:36:27 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10040,1 NAGLE AVENUE,NAGLE AVENUE,BENNETT AVENUE,ELLWOOD STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,08/03/2014 08:15:22 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/03/2014 02:36:27 AM,12 MANHATTAN,1021710001.0,MANHATTAN,1003271.0,252360.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.85932419390543,-73.93123733660876,"(40.85932419390543, -73.93123733660875)",True,True,False
28635700,08/07/2014 10:16:53 PM,08/08/2014 12:18:01 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10040,1 NAGLE AVENUE,NAGLE AVENUE,BENNETT AVENUE,ELLWOOD STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,08/08/2014 06:16:53 AM,The Police Department responded to the complaint and determined that police action was not necessary.,08/08/2014 12:18:01 AM,12 MANHATTAN,1021710001.0,MANHATTAN,1003271.0,252360.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.85932419390543,-73.93123733660876,"(40.85932419390543, -73.93123733660875)",True,True,False
28641160,08/08/2014 11:06:28 PM,08/08/2014 11:19:50 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10040,1 NAGLE AVENUE,NAGLE AVENUE,BENNETT AVENUE,ELLWOOD STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,08/09/2014 07:06:28 AM,The Police Department responded to the complaint and determined that police action was not necessary.,08/08/2014 11:19:50 PM,12 MANHATTAN,1021710001.0,MANHATTAN,1003271.0,252360.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.85932419390543,-73.93123733660876,"(40.85932419390543, -73.93123733660875)",True,True,False
28642979,08/08/2014 10:17:04 PM,08/08/2014 11:01:04 PM,NYPD,New York City Police Department,Noise - Commercial,Car/Truck Music,Store/Commercial,10040,1 NAGLE AVENUE,NAGLE AVENUE,BENNETT AVENUE,ELLWOOD STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,08/09/2014 06:17:04 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/08/2014 11:01:04 PM,12 MANHATTAN,1021710001.0,MANHATTAN,1003271.0,252360.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.85932419390543,-73.93123733660876,"(40.85932419390543, -73.93123733660875)",True,True,False
28874238,09/13/2014 11:15:53 PM,09/14/2014 12:34:58 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10040.0,1 NAGLE AVENUE,NAGLE AVENUE,BENNETT AVENUE,ELLWOOD STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,09/14/2014 07:15:53 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/14/2014 12:34:58 AM,12 MANHATTAN,1021710001.0,MANHATTAN,1003271.0,252360.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.85932419390543,-73.93123733660876,"(40.85932419390543, -73.93123733660875)",True,True,False
28874609,09/14/2014 01:52:56 AM,09/14/2014 08:54:26 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10040.0,1 NAGLE AVENUE,NAGLE AVENUE,BENNETT AVENUE,ELLWOOD STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,09/14/2014 09:52:56 AM,The Police Department responded to the complaint and took action to fix the condition.,09/14/2014 08:54:26 AM,12 MANHATTAN,1021710001.0,MANHATTAN,1003271.0,252360.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.85932419390543,-73.93123733660876,"(40.85932419390543, -73.93123733660875)",True,True,False
28874653,09/13/2014 02:29:12 AM,09/13/2014 07:14:16 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10040.0,1 NAGLE AVENUE,NAGLE AVENUE,BENNETT AVENUE,ELLWOOD STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,09/13/2014 10:29:12 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/13/2014 07:14:16 AM,12 MANHATTAN,1021710001.0,MANHATTAN,1003271.0,252360.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.85932419390543,-73.93123733660876,"(40.85932419390543, -73.93123733660875)",True,True,False
