Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
25084798,02/27/2013 10:17:51 AM,,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,10314.0,10 AKRON STREET,AKRON STREET,SAYBROOK STREET,RICHMOND AVENUE,,,ADDRESS,STATEN ISLAND,,,Assigned,04/05/2013 10:17:51 AM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",02/27/2013 04:02:40 PM,02 STATEN ISLAND,5015460005.0,STATEN ISLAND,940151.0,162189.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.61173799306301,-74.15883073802867,"(40.61173799306301, -74.15883073802867)",True,True,False
22396011,12/27/2011 02:14:53 AM,01/01/1900 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,10314,10 AKRON STREET,AKRON STREET,SAYBROOK STREET,RICHMOND AVENUE,,,ADDRESS,STATEN ISLAND,,,Assigned,02/02/2012 02:14:53 AM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",12/30/2011 03:19:59 PM,02 STATEN ISLAND,5015460005.0,STATEN ISLAND,940151.0,162189.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.61173799306301,-74.15883073802867,"(40.61173799306301, -74.15883073802867)",True,False,False
18599383,09/01/2010 01:47:12 PM,09/17/2010 01:07:16 AM,DCA,Department of Consumer Affairs,Consumer Complaint,False Advertising,,10314,10 AKRON STREET,AKRON STREET,SAYBROOK STREET,RICHMOND AVENUE,,,ADDRESS,STATEN ISLAND,,,Closed,09/16/2010 03:51:21 PM,,09/17/2010 12:00:00 AM,02 STATEN ISLAND,5015460005.0,STATEN ISLAND,940151.0,162189.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.61173799306301,-74.15883073802867,"(40.61173799306301, -74.15883073802867)",True,False,False
18986520,10/27/2010 02:13:39 PM,10/27/2010 05:24:53 PM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10314.0,10 AKRON STREET,AKRON STREET,SAYBROOK STREET,RICHMOND AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,10/27/2010 10:13:39 PM,The Police Department issued a summons in response to the complaint.,10/27/2010 12:00:00 AM,02 STATEN ISLAND,5015460005.0,STATEN ISLAND,940151.0,162189.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.61173799306301,-74.15883073802867,"(40.61173799306301, -74.15883073802867)",True,False,False
21096663,08/24/2011 11:34:05 AM,,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10314,10 AKRON STREET,AKRON STREET,SAYBROOK STREET,RICHMOND AVENUE,,,ADDRESS,STATEN ISLAND,,,Open,10/08/2011 11:34:05 AM,The Health Departmentâs Office of Environmental Investigations has determined this case was an isolated incident. The Departmentâs Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.,08/29/2011 03:13:48 PM,02 STATEN ISLAND,5015460005.0,STATEN ISLAND,940151.0,162189.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.61173799306301,-74.15883073802867,"(40.61173799306301, -74.15883073802867)",True,False,False
21549152,09/30/2011 12:19:21 AM,09/30/2011 02:13:36 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10314,10 AKRON STREET,AKRON STREET,SAYBROOK STREET,RICHMOND AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,09/30/2011 08:19:21 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/30/2011 02:13:36 AM,02 STATEN ISLAND,5015460005.0,STATEN ISLAND,940151.0,162189.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.61173799306301,-74.15883073802867,"(40.61173799306301, -74.15883073802867)",True,False,False
21648148,10/13/2011 12:14:16 PM,,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10314,10 AKRON STREET,AKRON STREET,SAYBROOK STREET,RICHMOND AVENUE,,,ADDRESS,STATEN ISLAND,,,Pending,11/27/2011 12:14:16 PM,The facility you reported will receive a sanitary inspection. All restaurants and mobile food vendors are inspected annually. Inspection results will be available in 45 days by calling 311 or going online to www.nyc.gov.,12/27/2011 07:32:20 AM,02 STATEN ISLAND,5015460005.0,STATEN ISLAND,940151.0,162189.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.61173799306301,-74.15883073802867,"(40.61173799306301, -74.15883073802867)",True,False,False
22346857,12/17/2011 09:27:34 AM,12/17/2011 10:03:44 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10314.0,10 AKRON STREET,AKRON STREET,SAYBROOK STREET,RICHMOND AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,12/17/2011 05:27:34 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/17/2011 10:03:44 AM,02 STATEN ISLAND,5015460005.0,STATEN ISLAND,940151.0,162189.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.61173799306301,-74.15883073802867,"(40.61173799306301, -74.15883073802867)",True,False,False
23218500,05/12/2012 04:11:00 AM,05/12/2012 06:36:45 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10314.0,10 AKRON STREET,AKRON STREET,SAYBROOK STREET,RICHMOND AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,05/12/2012 12:11:00 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,05/12/2012 06:36:45 AM,02 STATEN ISLAND,5015460005.0,STATEN ISLAND,940151.0,162189.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.61173799306301,-74.15883073802867,"(40.61173799306301, -74.15883073802867)",False,True,False
23492565,06/25/2012 08:40:52 PM,06/25/2012 08:40:58 PM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10314,10 AKRON STREET,AKRON STREET,SAYBROOK STREET,RICHMOND AVENUE,,,ADDRESS,STATEN ISLAND,,,Closed,,Thank you for your report. The City will use the information you provided for tracking and reporting purposes. 311 will not have any further status information.,,02 STATEN ISLAND,5015460005.0,STATEN ISLAND,940151.0,162189.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.61173799306301,-74.15883073802867,"(40.61173799306301, -74.15883073802867)",True,True,False
