Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
30698824,05/26/2015 01:17:05 PM,06/05/2015 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11207.0,100 JAMAICA AVENUE,JAMAICA AVENUE,,,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Buildings investigated this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/05/2015 12:00:00 AM,05 BROOKLYN,3036610015.0,BROOKLYN,1012984.0,186541.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.67864207897709,-73.8964053716674,"(40.67864207897709, -73.89640537166741)",True,False,False
30812859,06/10/2015 01:17:16 AM,06/15/2015 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11207.0,100 JAMAICA AVENUE,JAMAICA AVENUE,,,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Buildings investigated this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/15/2015 12:00:00 AM,05 BROOKLYN,3036610015.0,BROOKLYN,1012984.0,186541.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.67864207897709,-73.8964053716674,"(40.67864207897709, -73.89640537166741)",True,False,False
31234903,08/05/2015 12:12:40 AM,08/05/2015 03:37:03 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11207.0,100 JAMAICA AVENUE,JAMAICA AVENUE,MARGINAL ST EAST,VERMONT STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,08/05/2015 08:12:40 AM,The Police Department responded to the complaint and took action to fix the condition.,08/05/2015 03:36:15 AM,05 BROOKLYN,3036610015.0,BROOKLYN,1012984.0,186541.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67864207897709,-73.8964053716674,"(40.67864207897709, -73.89640537166741)",True,False,False
31239522,08/04/2015 03:28:25 AM,08/04/2015 04:33:22 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11207.0,100 JAMAICA AVENUE,JAMAICA AVENUE,MARGINAL ST EAST,VERMONT STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,08/04/2015 11:28:25 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/04/2015 04:33:22 AM,05 BROOKLYN,3036610015.0,BROOKLYN,1012984.0,186541.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67864207897709,-73.8964053716674,"(40.67864207897709, -73.89640537166741)",True,False,False
23222640,05/14/2012 10:01:00 AM,05/14/2012 12:00:00 PM,DSNY,BCC - Brooklyn North,Derelict Vehicles,14 Derelict Vehicles,Street,11207.0,100 JAMAICA AVENUE,JAMAICA AVENUE,MARGINAL ST EAST,VERMONT STREET,,,ADDRESS,BROOKLYN,,DSNY Garage,Pending,,The Department of Sanitation removed the items.,05/14/2012 10:01:00 AM,05 BROOKLYN,3036610015.0,BROOKLYN,1012984.0,186541.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67864207897709,-73.8964053716674,"(40.67864207897709, -73.89640537166741)",False,False,False
23231061,05/14/2012 10:02:00 AM,05/14/2012 12:00:00 PM,DSNY,BCC - Brooklyn North,Derelict Vehicles,14 Derelict Vehicles,Street,11207.0,100 JAMAICA AVENUE,JAMAICA AVENUE,MARGINAL ST EAST,VERMONT STREET,,,ADDRESS,BROOKLYN,,DSNY Garage,Pending,,The Department of Sanitation removed the items.,05/14/2012 10:02:00 AM,05 BROOKLYN,3036610015.0,BROOKLYN,1012984.0,186541.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67864207897709,-73.8964053716674,"(40.67864207897709, -73.89640537166741)",False,False,False
30158799,03/13/2015 02:08:11 AM,03/13/2015 05:10:35 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11207.0,100 JAMAICA AVENUE,JAMAICA AVENUE,MARGINAL ST EAST,VERMONT STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,03/13/2015 10:08:11 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/13/2015 05:10:35 AM,05 BROOKLYN,3036610015.0,BROOKLYN,1012984.0,186541.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67864207897709,-73.8964053716674,"(40.67864207897709, -73.89640537166741)",True,False,False
30169864,03/13/2015 02:38:41 AM,11/12/2015 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11207.0,100 JAMAICA AVENUE,JAMAICA AVENUE,,,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",11/12/2015 12:00:00 AM,05 BROOKLYN,3036610015.0,BROOKLYN,1012984.0,186541.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.67864207897709,-73.8964053716674,"(40.67864207897709, -73.89640537166741)",True,False,False
30522957,05/01/2015 02:43:32 AM,05/01/2015 03:57:31 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11207,100 JAMAICA AVENUE,JAMAICA AVENUE,MARGINAL ST EAST,VERMONT STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/01/2015 10:43:32 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,05/01/2015 03:57:31 AM,05 BROOKLYN,3036610015.0,BROOKLYN,1012984.0,186541.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67864207897709,-73.8964053716674,"(40.67864207897709, -73.89640537166741)",True,False,False
30939159,06/26/2015 12:28:52 AM,06/26/2015 03:18:44 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11207.0,100 JAMAICA AVENUE,JAMAICA AVENUE,MARGINAL ST EAST,VERMONT STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/26/2015 08:28:52 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/26/2015 03:18:44 AM,05 BROOKLYN,3036610015.0,BROOKLYN,1012984.0,186541.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67864207897709,-73.8964053716674,"(40.67864207897709, -73.89640537166741)",True,False,False
