Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26231908,08/31/2013 01:00:27 AM,08/31/2013 05:05:46 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237,1006 FLUSHING AVENUE,FLUSHING AVENUE,MORGAN AVENUE,VANDERVOORT PLACE,,,ADDRESS,BROOKLYN,,Precinct,Closed,08/31/2013 09:00:27 AM,The Police Department responded to the complaint and took action to fix the condition.,08/31/2013 05:05:46 AM,04 BROOKLYN,3031490003.0,BROOKLYN,1003389.0,195710.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.703834806936825,-73.93097213724309,"(40.70383480693682, -73.9309721372431)",True,True,True
26234859,09/01/2013 12:15:28 AM,09/01/2013 04:29:09 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237,1006 FLUSHING AVENUE,FLUSHING AVENUE,MORGAN AVENUE,VANDERVOORT PLACE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/01/2013 08:15:28 AM,The Police Department responded to the complaint and took action to fix the condition.,09/01/2013 04:29:09 AM,04 BROOKLYN,3031490003.0,BROOKLYN,1003389.0,195710.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.703834806936825,-73.93097213724309,"(40.70383480693682, -73.9309721372431)",True,True,True
26256187,09/04/2013 11:23:16 PM,09/05/2013 01:14:08 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237,1006 FLUSHING AVENUE,FLUSHING AVENUE,MORGAN AVENUE,VANDERVOORT PLACE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/05/2013 07:23:16 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/05/2013 01:14:08 AM,04 BROOKLYN,3031490003.0,BROOKLYN,1003389.0,195710.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.703834806936825,-73.93097213724309,"(40.70383480693682, -73.9309721372431)",True,True,True
26257024,09/05/2013 02:00:53 AM,09/05/2013 02:26:27 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237,1006 FLUSHING AVENUE,FLUSHING AVENUE,MORGAN AVENUE,VANDERVOORT PLACE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/05/2013 10:00:53 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/05/2013 02:26:27 AM,04 BROOKLYN,3031490003.0,BROOKLYN,1003389.0,195710.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.703834806936825,-73.93097213724309,"(40.70383480693682, -73.9309721372431)",True,True,True
26309388,09/14/2013 01:41:26 AM,09/14/2013 03:34:47 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237,1006 FLUSHING AVENUE,FLUSHING AVENUE,MORGAN AVENUE,VANDERVOORT PLACE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/14/2013 09:41:26 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/14/2013 03:34:47 AM,04 BROOKLYN,3031490003.0,BROOKLYN,1003389.0,195710.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.703834806936825,-73.93097213724309,"(40.70383480693682, -73.9309721372431)",True,True,True
26348571,09/20/2013 11:36:44 PM,09/21/2013 01:54:15 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237,1006 FLUSHING AVENUE,FLUSHING AVENUE,MORGAN AVENUE,VANDERVOORT PLACE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/21/2013 07:36:44 AM,The Police Department responded to the complaint and took action to fix the condition.,09/21/2013 01:54:16 AM,04 BROOKLYN,3031490003.0,BROOKLYN,1003389.0,195710.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.703834806936825,-73.93097213724309,"(40.70383480693682, -73.9309721372431)",True,True,True
26324823,09/16/2013 03:46:56 AM,09/16/2013 04:43:37 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237,1006 FLUSHING AVENUE,FLUSHING AVENUE,MORGAN AVENUE,VANDERVOORT PLACE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/16/2013 11:46:56 AM,The Police Department responded to the complaint and took action to fix the condition.,09/16/2013 04:43:38 AM,04 BROOKLYN,3031490003.0,BROOKLYN,1003389.0,195710.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.703834806936825,-73.93097213724309,"(40.70383480693682, -73.9309721372431)",True,True,True
26331416,09/18/2013 01:00:22 AM,09/18/2013 02:26:44 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237,1006 FLUSHING AVENUE,FLUSHING AVENUE,MORGAN AVENUE,VANDERVOORT PLACE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/18/2013 09:00:22 AM,The Police Department responded to the complaint and took action to fix the condition.,09/18/2013 02:26:44 AM,04 BROOKLYN,3031490003.0,BROOKLYN,1003389.0,195710.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.703834806936825,-73.93097213724309,"(40.70383480693682, -73.9309721372431)",True,True,True
26332179,09/18/2013 01:26:24 AM,09/18/2013 02:25:42 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237,1006 FLUSHING AVENUE,FLUSHING AVENUE,MORGAN AVENUE,VANDERVOORT PLACE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/18/2013 09:26:24 AM,The Police Department responded to the complaint and took action to fix the condition.,09/18/2013 02:25:42 AM,04 BROOKLYN,3031490003.0,BROOKLYN,1003389.0,195710.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.703834806936825,-73.93097213724309,"(40.70383480693682, -73.9309721372431)",True,True,True
24611462,12/17/2012 09:53:00 AM,01/02/2013 01:30:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,11237.0,1006 FLUSHING AVENUE,FLUSHING AVENUE,MORGAN AVE,VANDERVOORT PL,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",01/02/2013 01:30:00 PM,04 BROOKLYN,3031490003.0,BROOKLYN,1003389.0,195710.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.703834806936825,-73.93097213724309,"(40.70383480693682, -73.9309721372431)",True,True,False
