Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
19091653,11/09/2010 02:04:00 AM,11/14/2010 01:45:00 AM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10025.0,1020 AMSTERDAM AVENUE,AMSTERDAM AVENUE,W 110 ST,W 111 ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",11/14/2010 01:45:00 AM,09 MANHATTAN,1018820028.0,MANHATTAN,994277.0,231870.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.803099829430025,-73.96378209423554,"(40.803099829430025, -73.96378209423555)",True,False,False
16029672,02/18/2010 11:42:39 PM,02/19/2010 12:01:51 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10025,1020 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST 110 STREET,WEST 111 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,02/19/2010 07:42:39 AM,,02/19/2010 12:00:00 AM,09 MANHATTAN,1018820028.0,MANHATTAN,994272.0,231860.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.80307238784911,-73.96380016935072,"(40.80307238784912, -73.96380016935072)",True,False,False
16635361,05/11/2010 09:46:25 PM,05/11/2010 11:05:33 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10025,1020 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST 110 STREET,WEST 111 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,05/12/2010 05:46:25 AM,,05/11/2010 12:00:00 AM,09 MANHATTAN,1018820028.0,MANHATTAN,994272.0,231860.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.80307238784911,-73.96380016935072,"(40.80307238784912, -73.96380016935072)",True,False,False
18756100,09/24/2010 03:01:42 AM,09/24/2010 04:28:14 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10025,1020 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST 110 STREET,WEST 111 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,09/24/2010 11:01:42 AM,,09/24/2010 12:00:00 AM,09 MANHATTAN,1018820028.0,MANHATTAN,994272.0,231860.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.80307238784911,-73.96380016935072,"(40.80307238784912, -73.96380016935072)",True,False,False
18845549,10/08/2010 12:15:40 AM,10/08/2010 12:57:54 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10025,1020 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST 110 STREET,WEST 111 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/08/2010 08:15:40 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/08/2010 12:00:00 AM,09 MANHATTAN,1018820028.0,MANHATTAN,994272.0,231860.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.80307238784911,-73.96380016935072,"(40.80307238784912, -73.96380016935072)",True,False,False
22694966,02/10/2012 12:00:00 AM,02/17/2012 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10025,1020 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST 110 STREET,WEST 111 STREET,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",02/17/2012 12:00:00 AM,09 MANHATTAN,1018820028.0,MANHATTAN,994277.0,231870.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.803099829430025,-73.96378209423554,"(40.803099829430025, -73.96378209423555)",True,False,False
25098979,03/02/2013 01:45:53 AM,03/02/2013 02:32:02 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10025.0,1020 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST 110 STREET,WEST 111 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,03/02/2013 09:45:53 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/02/2013 02:32:02 AM,09 MANHATTAN,1018820028.0,MANHATTAN,994277.0,231870.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.803099829430025,-73.96378209423554,"(40.803099829430025, -73.96378209423555)",True,True,False
25102993,03/02/2013 10:49:31 AM,03/02/2013 11:19:22 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10025.0,1020 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST 110 STREET,WEST 111 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,03/02/2013 06:49:31 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/02/2013 11:19:22 AM,09 MANHATTAN,1018820028.0,MANHATTAN,994277.0,231870.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.803099829430025,-73.96378209423554,"(40.803099829430025, -73.96378209423555)",True,True,False
25104468,03/02/2013 11:20:40 AM,03/04/2013 11:31:24 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Sidewalk Blocked,,10025.0,1020 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST 110 STREET,WEST 111 STREET,,,ADDRESS,NEW YORK,,,Closed,03/19/2013 11:29:50 AM,"The Department of Consumer Affairs has received your report. This request is under investigation. The Department of Consumer Affairs will work with other relevant City agencies and take enforcement action, as necessary.",03/04/2013 11:31:24 AM,09 MANHATTAN,1018820028.0,MANHATTAN,994277.0,231870.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.803099829430025,-73.96378209423554,"(40.803099829430025, -73.96378209423555)",True,True,False
25543689,05/15/2013 01:30:31 AM,05/15/2013 07:59:09 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10025.0,1020 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST 110 STREET,WEST 111 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,05/15/2013 09:30:31 AM,The Police Department responded to the complaint and took action to fix the condition.,05/15/2013 07:59:09 AM,09 MANHATTAN,1018820028.0,MANHATTAN,994277.0,231870.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.803099829430025,-73.96378209423554,"(40.803099829430025, -73.96378209423555)",True,True,False
