Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26238489,09/01/2013 09:12:05 AM,09/01/2013 09:34:25 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11203,1020 EAST 48 STREET,EAST 48 STREET,FARRAGUT ROAD,DEAD END,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/01/2013 05:12:05 PM,The Police Department responded to the complaint and took action to fix the condition.,09/01/2013 09:34:26 PM,17 BROOKLYN,3047860022.0,BROOKLYN,1003469.0,171303.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.63684290054418,-73.9307531916987,"(40.63684290054418, -73.9307531916987)",True,False,False
26227716,08/31/2013 02:12:43 AM,08/31/2013 06:55:16 AM,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,11203,1020 EAST 48 STREET,EAST 48 STREET,FARRAGUT ROAD,DEAD END,,,ADDRESS,BROOKLYN,,Precinct,Closed,08/31/2013 10:12:43 AM,The Police Department responded to the complaint and took action to fix the condition.,08/31/2013 06:55:16 AM,17 BROOKLYN,3047860022.0,BROOKLYN,1003469.0,171303.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.63684290054418,-73.9307531916987,"(40.63684290054418, -73.9307531916987)",True,False,False
26228646,08/31/2013 02:06:29 AM,08/31/2013 06:56:19 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11203,1020 EAST 48 STREET,EAST 48 STREET,FARRAGUT ROAD,DEAD END,,,ADDRESS,BROOKLYN,,Precinct,Closed,08/31/2013 10:06:29 AM,The Police Department responded to the complaint and took action to fix the condition.,08/31/2013 06:56:19 AM,17 BROOKLYN,3047860022.0,BROOKLYN,1003469.0,171303.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.63684290054418,-73.9307531916987,"(40.63684290054418, -73.9307531916987)",True,False,False
26277022,09/08/2013 10:45:51 PM,09/09/2013 04:59:19 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11203,1020 EAST 48 STREET,EAST 48 STREET,FARRAGUT ROAD,DEAD END,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/09/2013 06:45:51 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/09/2013 04:59:19 AM,17 BROOKLYN,3047860022.0,BROOKLYN,1003469.0,171303.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.63684290054418,-73.9307531916987,"(40.63684290054418, -73.9307531916987)",True,False,False
26538497,10/15/2013 04:03:09 PM,10/17/2013 12:00:00 AM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,11203,1020 EAST 48 STREET,EAST 48 STREET,FARRAGUT ROAD,DEAD END,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,10/17/2013 12:00:00 AM,17 BROOKLYN,3047860022.0,BROOKLYN,1003469.0,171303.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.63684290054418,-73.9307531916987,"(40.63684290054418, -73.9307531916987)",True,False,False
26656723,11/09/2013 12:48:01 PM,11/21/2013 12:00:00 AM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,11203.0,1020 EAST 48 STREET,EAST 48 STREET,FARRAGUT ROAD,DEAD END,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,11/21/2013 12:00:00 AM,17 BROOKLYN,3047860022.0,BROOKLYN,1003469.0,171303.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.63684290054418,-73.9307531916987,"(40.63684290054418, -73.9307531916987)",True,False,False
28125540,05/26/2014 06:37:06 PM,05/27/2014 11:28:00 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11203.0,1020 EAST 48 STREET,EAST 48 STREET,FARRAGUT ROAD,DEAD END,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/27/2014 02:37:06 AM,The Police Department responded to the complaint and took action to fix the condition.,05/27/2014 11:28:00 AM,17 BROOKLYN,3047860022.0,BROOKLYN,1003469.0,171303.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.63684290054418,-73.9307531916987,"(40.63684290054418, -73.9307531916987)",True,True,False
20493307,05/23/2011 05:58:00 PM,05/27/2011 12:00:00 PM,DSNY,BCC - Brooklyn North,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11203.0,1020 EAST 48 STREET,EAST 48 STREET,FARRAGUT ROAD,DEAD END,,,ADDRESS,BROOKLYN,,DSNY Garage,Closed,,The Department of Sanitation removed the items.,05/27/2011 12:00:00 PM,17 BROOKLYN,3047860022.0,BROOKLYN,1003469.0,171303.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.63684290054418,-73.9307531916987,"(40.63684290054418, -73.9307531916987)",True,False,False
28114975,05/25/2014 01:39:28 AM,05/25/2014 02:25:48 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11203,1020 EAST 48 STREET,EAST 48 STREET,FARRAGUT ROAD,DEAD END,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/25/2014 09:39:28 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,05/25/2014 02:25:48 AM,17 BROOKLYN,3047860022.0,BROOKLYN,1003469.0,171303.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.63684290054418,-73.9307531916987,"(40.63684290054418, -73.9307531916987)",True,True,False
28116789,05/25/2014 05:10:35 PM,05/25/2014 07:30:02 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11203,1020 EAST 48 STREET,EAST 48 STREET,FARRAGUT ROAD,DEAD END,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/26/2014 01:10:35 AM,The Police Department responded to the complaint and took action to fix the condition.,05/25/2014 07:30:02 PM,17 BROOKLYN,3047860022.0,BROOKLYN,1003469.0,171303.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.63684290054418,-73.9307531916987,"(40.63684290054418, -73.9307531916987)",True,True,False
