Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
18941327,10/20/2010 12:13:00 PM,10/22/2010 03:45:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Jack Hammering (NC2),,10002.0,107 SUFFOLK STREET,SUFFOLK STREET,DELANCEY ST,RIVINGTON ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",10/22/2010 03:45:00 PM,03 MANHATTAN,1003530054.0,MANHATTAN,988097.0,201207.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.71894262660822,-73.98612203583491,"(40.71894262660822, -73.9861220358349)",True,False,False
16114707,03/01/2010 09:56:40 AM,03/03/2010 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Adjacent Buildings Not Protected,,10002,107 SUFFOLK STREET,SUFFOLK STREET,DELANCEY STREET,RIVINGTON STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,03/03/2010 12:00:00 AM,03 MANHATTAN,1003530054.0,MANHATTAN,988099.0,201211.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.718953604776175,-73.98611481859362,"(40.71895360477618, -73.98611481859362)",True,False,False
16098376,02/27/2010 11:04:36 PM,03/24/2010 02:12:23 AM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,10002.0,107 SUFFOLK STREET,SUFFOLK STREET,DELANCEY STREET,RIVINGTON STREET,,,ADDRESS,NEW YORK,,,Closed,03/24/2010 09:12:18 AM,,03/24/2010 12:00:00 AM,03 MANHATTAN,1003530054.0,MANHATTAN,988099.0,201211.0,PHONE,Unspecified,MANHATTAN,,,Other,,,,,40.718953604776175,-73.98611481859362,"(40.71895360477618, -73.98611481859362)",False,False,False
19918456,02/27/2011 02:18:27 AM,02/27/2011 04:10:34 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002,107 SUFFOLK STREET,SUFFOLK STREET,DELANCEY STREET,RIVINGTON STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,02/27/2011 10:18:27 AM,The Police Department responded to the complaint and determined that police action was not necessary.,02/27/2011 04:10:34 AM,03 MANHATTAN,1003530054.0,MANHATTAN,988099.0,201211.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.718953604776175,-73.98611481859362,"(40.71895360477618, -73.98611481859362)",True,False,False
20374760,05/07/2011 12:13:23 AM,05/07/2011 02:05:18 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002,107 SUFFOLK STREET,SUFFOLK STREET,DELANCEY STREET,RIVINGTON STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,05/07/2011 08:13:23 AM,The Police Department responded to the complaint and determined that police action was not necessary.,05/07/2011 02:05:18 AM,03 MANHATTAN,1003530054.0,MANHATTAN,988099.0,201211.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.718953604776175,-73.98611481859362,"(40.71895360477618, -73.98611481859362)",True,False,False
20385292,05/08/2011 09:45:49 PM,05/08/2011 11:04:11 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10002,107 SUFFOLK STREET,SUFFOLK STREET,DELANCEY STREET,RIVINGTON STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,05/09/2011 05:45:49 AM,The Police Department responded to the complaint and took action to fix the condition.,05/08/2011 11:04:12 PM,03 MANHATTAN,1003530054.0,MANHATTAN,988099.0,201211.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.718953604776175,-73.98611481859362,"(40.71895360477618, -73.98611481859362)",True,False,False
21543716,09/28/2011 11:02:07 AM,10/06/2011 03:08:25 PM,DOHMH,Department of Health and Mental Hygiene,Mold,Workplace - 10 or Less Staff,Commercial Building,10002.0,107 SUFFOLK STREET,SUFFOLK STREET,DELANCEY STREET,RIVINGTON STREET,,,ADDRESS,NEW YORK,,,Closed,11/12/2011 11:02:07 AM,The Department of Health and Mental Hygiene has investigated the complaint and there were minor violation of rules and regulations.  A Notice Of Violation was not issued and a Reinspection is not required.,10/06/2011 03:08:25 PM,03 MANHATTAN,1003530054.0,MANHATTAN,988099.0,201211.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.718953604776175,-73.98611481859362,"(40.71895360477618, -73.98611481859362)",True,True,False
21545918,09/29/2011 08:48:53 AM,11/04/2011 10:05:40 AM,DOHMH,Department of Health and Mental Hygiene,Mold,Workplace - 10 or Less Staff,Commercial Building,10002,107 SUFFOLK STREET,SUFFOLK STREET,DELANCEY STREET,RIVINGTON STREET,,,ADDRESS,NEW YORK,,,Closed,11/13/2011 08:48:53 AM,The Department of Health and Mental Hygiene has investigated the complaint.  No Health Code violations or health hazards noted. No further action needed.,11/04/2011 10:05:40 AM,03 MANHATTAN,1003530054.0,MANHATTAN,988099.0,201211.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.718953604776175,-73.98611481859362,"(40.71895360477618, -73.98611481859362)",True,True,False
21723668,10/24/2011 12:35:00 PM,10/24/2011 02:05:00 PM,DEP,Department of Environmental Protection,Asbestos,Asbestos Complaint (B1),,10002,107 SUFFOLK STREET,SUFFOLK STREET,DELANCEY STREET,RIVINGTON STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Environmental Protection (DEP) has investigated this complaint. This is an active asbestos abatement project that has been filed with DEP. The work is in compliance with all of DEP's rules and regulations and therefore no violation was issued.,10/24/2011 02:05:00 PM,03 MANHATTAN,1003530054.0,MANHATTAN,988099.0,201211.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.718953604776175,-73.98611481859362,"(40.71895360477618, -73.98611481859362)",True,True,False
21810645,11/03/2011 09:14:00 AM,11/03/2011 11:00:00 AM,DEP,Department of Environmental Protection,Asbestos,Asbestos Complaint (B1),,10002.0,107 SUFFOLK STREET,SUFFOLK STREET,DELANCEY STREET,RIVINGTON STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Environmental Protection investigated this complaint. Asbestos was found and a violation was issued.,11/03/2011 11:00:00 AM,03 MANHATTAN,1003530054.0,MANHATTAN,988099.0,201211.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.718953604776175,-73.98611481859362,"(40.71895360477618, -73.98611481859362)",True,True,False
