Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
19158574,11/18/2010 10:12:00 PM,11/29/2010 09:00:00 PM,DEP,Department of Environmental Protection,Noise,"Noise: Air Condition/Ventilation Equip, Commercial (NJ2)",,11235.0,111 ORIENTAL BOULEVARD,ORIENTAL BOULEVARD,WEST END AVE,AMHERST ST,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",11/29/2010 09:00:00 PM,15 BROOKLYN,3087320006.0,BROOKLYN,997428.0,149469.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.576924094696544,-73.9525617486499,"(40.57692409469654, -73.95256174864991)",True,False,False
24457780,11/22/2012 01:32:00 AM,11/30/2012 12:00:00 AM,DEP,Department of Environmental Protection,Noise,Noise: air condition/ventilation equipment (NV1),,11235.0,111 ORIENTAL BOULEVARD,ORIENTAL BOULEVARD,WEST END AVE,AMHERST ST,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",11/30/2012 12:00:00 AM,15 BROOKLYN,3087320006.0,BROOKLYN,997428.0,149469.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.576924094696544,-73.9525617486499,"(40.57692409469654, -73.95256174864991)",True,False,False
15655384,01/04/2010 05:47:00 PM,01/21/2010 10:30:00 PM,DEP,Department of Environmental Protection,Noise,"Noise: Air Condition/Ventilation Equip, Commercial (NJ2)",,11235,111 ORIENTAL BOULEVARD,ORIENTAL BOULEVARD,WEST END AVE,AMHERST ST,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Environmental Protection observed a violation of the New York City Air/Noise Code at the time of inspection and issued a notice of violation.,01/21/2010 10:30:00 PM,15 BROOKLYN,3087320006.0,BROOKLYN,997428.0,149469.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.576924094696544,-73.9525617486499,"(40.57692409469654, -73.95256174864991)",True,False,False
21038790,08/15/2011 04:02:35 PM,12/10/2011 11:46:01 AM,DOT,Department of Transportation,Street Sign - Damaged,Street Cleaning - ASP,Street,11235,111 ORIENTAL BOULEVARD,ORIENTAL BOULEVARD,WEST END AVENUE,AMHERST STREET,,,ADDRESS,BROOKLYN,,,Closed,02/13/2012 08:08:34 AM,The Department of Transportation has completed the request or corrected the condition.,12/10/2011 11:46:01 AM,15 BROOKLYN,3087320006.0,BROOKLYN,997428.0,149469.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.576924094696544,-73.9525617486499,"(40.57692409469654, -73.95256174864991)",False,False,False
21669216,10/16/2011 08:56:37 PM,10/16/2011 10:49:38 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11235.0,111 ORIENTAL BOULEVARD,ORIENTAL BOULEVARD,WEST END AVENUE,AMHERST STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/17/2011 04:56:37 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/16/2011 10:49:38 PM,15 BROOKLYN,3087320006.0,BROOKLYN,997428.0,149469.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.576924094696544,-73.9525617486499,"(40.57692409469654, -73.95256174864991)",True,False,False
21968719,11/27/2011 11:39:20 PM,11/27/2011 11:39:30 PM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,11235,111 ORIENTAL BOULEVARD,ORIENTAL BOULEVARD,WEST END AVENUE,AMHERST STREET,,,ADDRESS,BROOKLYN,,,Closed,,Thank you for your report. The City will use the information you provided for tracking and reporting purposes. 311 will not have any further status information.,,15 BROOKLYN,3087320006.0,BROOKLYN,997428.0,149469.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.576924094696544,-73.9525617486499,"(40.57692409469654, -73.95256174864991)",True,False,False
21968889,11/27/2011 11:29:41 PM,11/28/2011 01:07:50 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11235,111 ORIENTAL BOULEVARD,ORIENTAL BOULEVARD,WEST END AVENUE,AMHERST STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/28/2011 07:29:41 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,11/28/2011 01:07:51 AM,15 BROOKLYN,3087320006.0,BROOKLYN,997428.0,149469.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.576924094696544,-73.9525617486499,"(40.57692409469654, -73.95256174864991)",True,False,False
23481502,06/24/2012 01:15:37 AM,06/24/2012 01:16:19 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,11235,111 ORIENTAL BOULEVARD,ORIENTAL BOULEVARD,WEST END AVENUE,AMHERST STREET,,,ADDRESS,BROOKLYN,,,Closed,,Thank you for your report. The City will use the information you provided for tracking and reporting purposes. 311 will not have any further status information.,,15 BROOKLYN,3087320006.0,BROOKLYN,997428.0,149469.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.576924094696544,-73.9525617486499,"(40.57692409469654, -73.95256174864991)",True,False,False
23488930,06/25/2012 11:44:25 PM,06/25/2012 11:44:57 PM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,11235,111 ORIENTAL BOULEVARD,ORIENTAL BOULEVARD,WEST END AVENUE,AMHERST STREET,,,ADDRESS,BROOKLYN,,,Closed,,Thank you for your report. The City will use the information you provided for tracking and reporting purposes. 311 will not have any further status information.,,15 BROOKLYN,3087320006.0,BROOKLYN,997428.0,149469.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.576924094696544,-73.9525617486499,"(40.57692409469654, -73.95256174864991)",True,False,False
24051057,09/20/2012 12:05:15 AM,09/20/2012 01:37:34 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11235,111 ORIENTAL BOULEVARD,ORIENTAL BOULEVARD,WEST END AVENUE,AMHERST STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/20/2012 08:05:15 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,09/20/2012 01:37:34 AM,15 BROOKLYN,3087320006.0,BROOKLYN,997428.0,149469.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.576924094696544,-73.9525617486499,"(40.57692409469654, -73.95256174864991)",True,False,False
24149030,10/05/2012 10:48:20 PM,10/05/2012 11:40:47 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11235,111 ORIENTAL BOULEVARD,ORIENTAL BOULEVARD,WEST END AVENUE,AMHERST STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/06/2012 06:48:20 AM,The Police Department responded to the complaint and took action to fix the condition.,10/05/2012 11:40:47 PM,15 BROOKLYN,3087320006.0,BROOKLYN,997428.0,149469.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.576924094696544,-73.9525617486499,"(40.57692409469654, -73.95256174864991)",True,False,False
25476762,05/03/2013 11:53:05 PM,05/04/2013 02:02:39 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11235,111 ORIENTAL BOULEVARD,ORIENTAL BOULEVARD,WEST END AVENUE,AMHERST STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/04/2013 07:53:05 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,05/04/2013 02:02:39 AM,15 BROOKLYN,3087320006.0,BROOKLYN,997428.0,149469.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.576924094696544,-73.9525617486499,"(40.57692409469654, -73.95256174864991)",True,True,False
25476953,05/03/2013 11:58:01 PM,05/04/2013 02:02:37 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11235,111 ORIENTAL BOULEVARD,ORIENTAL BOULEVARD,WEST END AVENUE,AMHERST STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/04/2013 07:58:01 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,05/04/2013 02:02:37 AM,15 BROOKLYN,3087320006.0,BROOKLYN,997428.0,149469.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.576924094696544,-73.9525617486499,"(40.57692409469654, -73.95256174864991)",True,True,False
25478935,05/03/2013 11:55:48 PM,05/04/2013 02:02:38 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11235,111 ORIENTAL BOULEVARD,ORIENTAL BOULEVARD,WEST END AVENUE,AMHERST STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/04/2013 07:55:48 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,05/04/2013 02:02:38 AM,15 BROOKLYN,3087320006.0,BROOKLYN,997428.0,149469.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.576924094696544,-73.9525617486499,"(40.57692409469654, -73.95256174864991)",True,True,False
25645876,06/01/2013 12:31:56 AM,06/01/2013 03:01:15 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11235,111 ORIENTAL BOULEVARD,ORIENTAL BOULEVARD,WEST END AVENUE,AMHERST STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/01/2013 08:31:56 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/01/2013 03:01:09 AM,15 BROOKLYN,3087320006.0,BROOKLYN,997428.0,149469.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.576924094696544,-73.9525617486499,"(40.57692409469654, -73.95256174864991)",True,True,False
