Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
27239864,01/24/2014 10:05:20 PM,01/24/2014 11:28:51 PM,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Club/Bar/Restaurant,11420.0,111-46 LEFFERTS BOULEVARD,LEFFERTS BOULEVARD,111 AVENUE,LINDEN BOULEVARD,,,ADDRESS,SOUTH OZONE PARK,,Precinct,Closed,01/25/2014 06:05:20 AM,The Police Department responded to the complaint and took action to fix the condition.,01/24/2014 11:28:51 PM,10 QUEENS,4116230029.0,QUEENS,1033836.0,187145.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.68020767271471,-73.82122342158002,"(40.6802076727147, -73.82122342158002)",True,False,False
29260039,11/10/2014 12:00:00 AM,06/04/2015 12:00:00 AM,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,11420.0,111-46 LEFFERTS BOULEVARD,LEFFERTS BOULEVARD,111 AVENUE,LINDEN BOULEVARD,,,ADDRESS,South Ozone Park,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,06/04/2015 12:00:00 AM,10 QUEENS,4116230029.0,QUEENS,1033836.0,187145.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.68020767271471,-73.82122342158002,"(40.6802076727147, -73.82122342158002)",True,True,False
28302545,06/20/2014 06:22:09 PM,06/20/2014 06:35:41 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11420,111-46 LEFFERTS BOULEVARD,LEFFERTS BOULEVARD,111 AVENUE,LINDEN BOULEVARD,,,ADDRESS,SOUTH OZONE PARK,,Precinct,Closed,06/21/2014 02:22:09 AM,The Police Department responded to the complaint and took action to fix the condition.,06/20/2014 06:35:41 PM,10 QUEENS,4116230029.0,QUEENS,1033836.0,187145.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.68020767271471,-73.82122342158002,"(40.6802076727147, -73.82122342158002)",True,True,False
28785119,08/30/2014 06:29:28 PM,08/30/2014 07:07:15 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11420,111-46 LEFFERTS BOULEVARD,LEFFERTS BOULEVARD,111 AVENUE,LINDEN BOULEVARD,,,ADDRESS,SOUTH OZONE PARK,,Precinct,Closed,08/31/2014 02:29:28 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/30/2014 07:07:15 PM,10 QUEENS,4116230029.0,QUEENS,1033836.0,187145.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.68020767271471,-73.82122342158002,"(40.6802076727147, -73.82122342158002)",True,True,False
29251173,11/09/2014 01:10:55 AM,11/09/2014 07:10:15 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11420,111-46 LEFFERTS BOULEVARD,LEFFERTS BOULEVARD,111 AVENUE,LINDEN BOULEVARD,,,ADDRESS,SOUTH OZONE PARK,,Precinct,Closed,11/09/2014 09:10:55 AM,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,11/09/2014 07:10:16 AM,10 QUEENS,4116230029.0,QUEENS,1033836.0,187145.0,PHONE,Unspecified,QUEENS,,,,,,,,40.68020767271471,-73.82122342158002,"(40.6802076727147, -73.82122342158002)",True,True,False
29267745,11/11/2014 11:07:02 PM,11/12/2014 06:38:52 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11420,111-46 LEFFERTS BOULEVARD,LEFFERTS BOULEVARD,,,,,ADDRESS,South Ozone Park,,Precinct,Closed,11/12/2014 07:07:02 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/12/2014 06:38:52 AM,10 QUEENS,4116230029.0,QUEENS,1033836.0,187145.0,MOBILE,Unspecified,QUEENS,,,,,,,,40.68020767271471,-73.82122342158002,"(40.6802076727147, -73.82122342158002)",True,True,False
29310897,11/17/2014 12:32:56 PM,11/17/2014 02:53:43 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11420,111-46 LEFFERTS BOULEVARD,LEFFERTS BOULEVARD,111 AVENUE,LINDEN BOULEVARD,,,ADDRESS,SOUTH OZONE PARK,,Precinct,Closed,11/17/2014 08:32:56 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/17/2014 02:53:43 PM,10 QUEENS,4116230029.0,QUEENS,1033836.0,187145.0,PHONE,Unspecified,QUEENS,,,,,,,,40.68020767271471,-73.82122342158002,"(40.6802076727147, -73.82122342158002)",True,True,False
29318406,11/19/2014 01:05:47 AM,11/19/2014 01:15:47 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11420,111-46 LEFFERTS BOULEVARD,LEFFERTS BOULEVARD,,,,,ADDRESS,South Ozone Park,,Precinct,Closed,11/19/2014 09:05:47 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/19/2014 01:15:47 AM,10 QUEENS,4116230029.0,QUEENS,1033836.0,187145.0,MOBILE,Unspecified,QUEENS,,,,,,,,40.68020767271471,-73.82122342158002,"(40.6802076727147, -73.82122342158002)",True,True,False
29355671,11/22/2014 11:47:28 PM,11/23/2014 01:05:10 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11420.0,111-46 LEFFERTS BOULEVARD,LEFFERTS BOULEVARD,,,,,ADDRESS,South Ozone Park,,Precinct,Closed,11/23/2014 07:47:28 AM,The Police Department responded to the complaint and took action to fix the condition.,11/23/2014 01:05:11 AM,10 QUEENS,4116230029.0,QUEENS,1033836.0,187145.0,MOBILE,Unspecified,QUEENS,,,,,,,,40.68020767271471,-73.82122342158002,"(40.6802076727147, -73.82122342158002)",True,True,False
29909222,02/10/2015 10:03:32 PM,04/12/2015 06:33:19 AM,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery,11420,111-46 LEFFERTS BOULEVARD,LEFFERTS BOULEVARD,111 AVENUE,LINDEN BOULEVARD,,,ADDRESS,SOUTH OZONE PARK,,,Closed,04/11/2015 10:03:32 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",04/12/2015 06:33:19 AM,10 QUEENS,4116230029.0,QUEENS,1033836.0,187145.0,PHONE,Unspecified,QUEENS,,,,,,,,40.68020767271471,-73.82122342158002,"(40.6802076727147, -73.82122342158002)",True,True,True
