Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26424462,10/02/2013 09:04:16 PM,10/03/2013 05:09:09 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11218,1118 CORTELYOU ROAD,CORTELYOU ROAD,EAST 11 STREET,EAST 12 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/03/2013 05:04:16 AM,The Police Department responded to the complaint and took action to fix the condition.,10/03/2013 05:09:09 AM,14 BROOKLYN,3051540009.0,BROOKLYN,993223.0,172357.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.639752210909464,-73.9676685232978,"(40.63975221090946, -73.9676685232978)",True,False,False
26515429,10/19/2013 11:17:49 PM,10/19/2013 11:25:16 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11218,1118 CORTELYOU ROAD,CORTELYOU ROAD,EAST 11 STREET,EAST 12 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/20/2013 07:17:49 AM,The Police Department responded to the complaint and determined that police action was not necessary.,10/19/2013 11:25:16 PM,14 BROOKLYN,3051540009.0,BROOKLYN,993223.0,172357.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.639752210909464,-73.9676685232978,"(40.63975221090946, -73.9676685232978)",True,False,False
26780043,11/28/2013 04:02:00 PM,12/09/2013 02:30:00 PM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11218.0,1118 CORTELYOU ROAD,CORTELYOU ROAD,E 11 ST,E 12 ST,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Environmental Protection investigated this complaint and resolved the leak.,12/09/2013 02:30:00 PM,14 BROOKLYN,3051540009.0,BROOKLYN,993223.0,172357.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.639752210909464,-73.9676685232978,"(40.63975221090946, -73.9676685232978)",True,False,False
28313427,06/21/2014 11:20:57 PM,06/22/2014 06:47:40 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11218,1118 CORTELYOU ROAD,CORTELYOU ROAD,EAST 11 STREET,EAST 12 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/22/2014 07:20:57 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/22/2014 06:47:40 AM,14 BROOKLYN,3051540009.0,BROOKLYN,993223.0,172357.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.639752210909464,-73.9676685232978,"(40.63975221090946, -73.9676685232978)",True,False,False
28516951,07/20/2014 02:26:56 AM,07/20/2014 02:34:54 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11218.0,1118 CORTELYOU ROAD,CORTELYOU ROAD,EAST 11 STREET,EAST 12 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,07/20/2014 10:26:56 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/20/2014 02:34:54 AM,14 BROOKLYN,3051540009.0,BROOKLYN,993223.0,172357.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.639752210909464,-73.9676685232978,"(40.63975221090946, -73.9676685232978)",True,False,False
28696218,08/16/2014 05:38:50 PM,08/16/2014 08:56:17 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11218.0,1118 CORTELYOU ROAD,CORTELYOU ROAD,EAST 11 STREET,EAST 12 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,08/17/2014 01:38:50 AM,The Police Department responded to the complaint and determined that police action was not necessary.,08/16/2014 08:56:17 PM,14 BROOKLYN,3051540009.0,BROOKLYN,993223.0,172357.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.639752210909464,-73.9676685232978,"(40.63975221090946, -73.9676685232978)",True,False,False
30321337,04/02/2015 09:32:54 PM,04/03/2015 05:16:12 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11218,1118 CORTELYOU ROAD,CORTELYOU ROAD,EAST 11 STREET,EAST 12 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,04/03/2015 05:32:54 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/03/2015 05:16:12 AM,14 BROOKLYN,3051540009.0,BROOKLYN,993223.0,172357.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.639752210909464,-73.9676685232978,"(40.63975221090946, -73.9676685232978)",True,False,False
30533353,05/02/2015 11:36:42 PM,05/03/2015 06:10:49 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11218.0,1118 CORTELYOU ROAD,CORTELYOU ROAD,EAST 11 STREET,EAST 12 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/03/2015 07:36:42 AM,The Police Department responded to the complaint and took action to fix the condition.,05/03/2015 06:10:49 AM,14 BROOKLYN,3051540009.0,BROOKLYN,993223.0,172357.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.639752210909464,-73.9676685232978,"(40.63975221090946, -73.9676685232978)",True,False,False
30570009,05/07/2015 09:47:39 PM,05/08/2015 06:38:04 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11218,1118 CORTELYOU ROAD,CORTELYOU ROAD,EAST 11 STREET,EAST 12 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/08/2015 05:47:39 AM,The Police Department responded to the complaint and took action to fix the condition.,05/08/2015 06:38:04 AM,14 BROOKLYN,3051540009.0,BROOKLYN,993223.0,172357.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.639752210909464,-73.9676685232978,"(40.63975221090946, -73.9676685232978)",True,False,False
30645157,05/18/2015 10:50:48 PM,05/19/2015 10:27:55 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11218,1118 CORTELYOU ROAD,CORTELYOU ROAD,EAST 11 STREET,EAST 12 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/19/2015 06:50:48 AM,The Police Department responded to the complaint and took action to fix the condition.,05/19/2015 10:27:55 PM,14 BROOKLYN,3051540009.0,BROOKLYN,993223.0,172357.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.639752210909464,-73.9676685232978,"(40.63975221090946, -73.9676685232978)",True,False,False
