Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26468873,10/10/2013 10:16:45 PM,10/10/2013 10:24:04 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002,112 RIVINGTON STREET,RIVINGTON STREET,LUDLOW STREET,ESSEX STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/11/2013 06:16:45 AM,The Police Department responded to the complaint and took action to fix the condition.,10/10/2013 10:24:04 PM,03 MANHATTAN,1004117501.0,MANHATTAN,987648.0,201556.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.71990073145944,-73.98774161681625,"(40.71990073145944, -73.98774161681625)",True,False,False
29003064,10/03/2014 06:04:49 PM,01/11/2015 12:00:00 AM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,10002.0,112 RIVINGTON STREET,RIVINGTON STREET,LUDLOW STREET,ESSEX STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,01/11/2015 12:00:00 AM,03 MANHATTAN,1004117501.0,MANHATTAN,987648.0,201556.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.71990073145944,-73.98774161681625,"(40.71990073145944, -73.98774161681625)",True,False,False
29832055,01/31/2015 02:15:28 PM,02/11/2015 10:03:17 AM,DOHMH,Department of Health and Mental Hygiene,Mold,Public Complaint - Comm Location,Commercial Building,10002.0,112 RIVINGTON STREET,RIVINGTON STREET,LUDLOW STREET,ESSEX STREET,,,ADDRESS,NEW YORK,,,Closed,03/17/2015 02:15:28 PM,The Department of Health and Mental Hygiene has reviewed your Service Request. A warning letter has been sent to the responsible party notifying them to correct the condition.,02/11/2015 10:03:17 AM,03 MANHATTAN,1004117501.0,MANHATTAN,987648.0,201556.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71990073145944,-73.98774161681625,"(40.71990073145944, -73.98774161681625)",True,False,False
30393378,04/12/2015 10:27:28 PM,04/13/2015 12:00:00 AM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,10002.0,112 RIVINGTON STREET,RIVINGTON STREET,,,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Buildings investigated this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",04/13/2015 12:00:00 AM,03 MANHATTAN,1004117501.0,MANHATTAN,987648.0,201556.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.71990073145944,-73.98774161681625,"(40.71990073145944, -73.98774161681625)",True,False,False
30397342,04/14/2015 10:29:20 AM,04/15/2015 12:00:00 AM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,10002.0,112 RIVINGTON STREET,RIVINGTON STREET,,,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Buildings investigated this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",04/15/2015 12:00:00 AM,03 MANHATTAN,1004117501.0,MANHATTAN,987648.0,201556.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.71990073145944,-73.98774161681625,"(40.71990073145944, -73.98774161681625)",True,False,False
30862436,06/16/2015 10:55:29 AM,07/06/2015 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,10002.0,112 RIVINGTON STREET,RIVINGTON STREET,,,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",07/06/2015 12:00:00 AM,03 MANHATTAN,1004117501.0,MANHATTAN,987648.0,201556.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.71990073145944,-73.98774161681625,"(40.71990073145944, -73.98774161681625)",True,True,False
25154358,03/11/2013 09:24:38 AM,06/15/2018 12:00:00 AM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,10002.0,112 RIVINGTON STREET,RIVINGTON STREET,LUDLOW STREET,ESSEX STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and removed the stop work order.,06/15/2018 12:00:00 AM,03 MANHATTAN,1004117501.0,MANHATTAN,987648.0,201556.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.71990073145944,-73.98774161681625,"(40.71990073145944, -73.98774161681625)",True,False,False
24844927,01/23/2013 08:30:00 PM,01/24/2013 12:00:00 PM,DSNY,A - Manhattan,Snow,E9 Snow / Icy Sidewalk,Sidewalk,10002.0,112 RIVINGTON STREET,RIVINGTON STREET,LUDLOW STREET,ESSEX STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,01/24/2013 12:00:00 PM,03 MANHATTAN,1004117501.0,MANHATTAN,987648.0,201556.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.71990073145944,-73.98774161681625,"(40.71990073145944, -73.98774161681625)",False,False,False
27097892,01/08/2014 05:34:00 PM,01/10/2014 11:00:00 AM,DEP,Department of Environmental Protection,Water System,No Water/Low Pressure (WA5),,10002.0,112 RIVINGTON STREET,RIVINGTON STREET,LUDLOW ST,ESSEX ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",01/10/2014 11:00:00 AM,03 MANHATTAN,1004117501.0,MANHATTAN,987648.0,201556.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71990073145944,-73.98774161681625,"(40.71990073145944, -73.98774161681625)",True,False,False
27766086,04/02/2014 11:31:42 PM,04/03/2014 01:30:24 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002.0,112 RIVINGTON STREET,RIVINGTON STREET,LUDLOW STREET,ESSEX STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,04/03/2014 07:31:42 AM,The Police Department responded to the complaint and took action to fix the condition.,04/03/2014 01:30:24 AM,03 MANHATTAN,1004117501.0,MANHATTAN,987648.0,201556.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.71990073145944,-73.98774161681625,"(40.71990073145944, -73.98774161681625)",True,False,False
27769103,04/03/2014 12:39:37 AM,04/03/2014 01:29:22 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002.0,112 RIVINGTON STREET,RIVINGTON STREET,LUDLOW STREET,ESSEX STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,04/03/2014 08:39:37 AM,The Police Department responded to the complaint and took action to fix the condition.,04/03/2014 01:29:22 AM,03 MANHATTAN,1004117501.0,MANHATTAN,987648.0,201556.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.71990073145944,-73.98774161681625,"(40.71990073145944, -73.98774161681625)",True,False,False
