Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26516744,10/20/2013 01:49:56 AM,10/20/2013 04:19:50 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10014,113 JANE STREET,JANE STREET,WASHINGTON STREET,JOE DIMAGGIO HIGHWAY,,,ADDRESS,NEW YORK,,Precinct,Closed,10/20/2013 09:49:56 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/20/2013 04:19:51 AM,02 MANHATTAN,1006420001.0,MANHATTAN,981749.0,208206.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.738153656126364,-74.00902490142289,"(40.73815365612636, -74.00902490142289)",True,False,False
26564604,10/27/2013 12:06:39 AM,10/27/2013 02:58:07 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10014.0,113 JANE STREET,JANE STREET,WASHINGTON STREET,JOE DIMAGGIO HIGHWAY,,,ADDRESS,NEW YORK,,Precinct,Closed,10/27/2013 08:06:39 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/27/2013 02:58:08 AM,02 MANHATTAN,1006420001.0,MANHATTAN,981749.0,208206.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.738153656126364,-74.00902490142289,"(40.73815365612636, -74.00902490142289)",True,False,False
28271282,06/16/2014 12:00:00 AM,06/30/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10014.0,113 JANE STREET,JANE STREET,WASHINGTON STREET,JOE DIMAGGIO HIGHWAY,,,ADDRESS,NEW YORK,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,06/30/2014 12:00:00 AM,02 MANHATTAN,1006420001.0,MANHATTAN,981749.0,208206.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.738153656126364,-74.00902490142289,"(40.73815365612636, -74.00902490142289)",True,False,False
28272323,06/16/2014 12:00:00 AM,06/30/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10014.0,113 JANE STREET,JANE STREET,WASHINGTON STREET,JOE DIMAGGIO HIGHWAY,,,ADDRESS,NEW YORK,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,06/30/2014 12:00:00 AM,02 MANHATTAN,1006420001.0,MANHATTAN,981749.0,208206.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.738153656126364,-74.00902490142289,"(40.73815365612636, -74.00902490142289)",True,False,False
30911941,06/22/2015 04:47:54 PM,07/01/2015 10:25:58 AM,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10014.0,113 JANE STREET,JANE STREET,,,,,ADDRESS,NEW YORK,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,07/01/2015 10:25:58 AM,02 MANHATTAN,1006420001.0,MANHATTAN,981749.0,208206.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.738153656126364,-74.00902490142289,"(40.73815365612636, -74.00902490142289)",True,False,False
34301399,09/12/2016 08:56:48 AM,,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,10014.0,113 JANE STREET,JANE STREET,WASHINGTON STREET,JOE DIMAGGIO HIGHWAY,,,ADDRESS,NEW YORK,,,Assigned,10/19/2016 08:56:48 AM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",09/13/2016 03:29:03 PM,02 MANHATTAN,1006420001.0,MANHATTAN,981749.0,208206.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.738153656126364,-74.00902490142289,"(40.73815365612636, -74.00902490142289)",True,True,False
16213859,03/14/2010 04:03:00 PM,03/15/2010 01:25:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10014.0,113 JANE STREET,JANE STREET,WASHINGTON ST,HORATIO ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",03/15/2010 01:25:00 AM,02 MANHATTAN,1006420001.0,MANHATTAN,981749.0,208206.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.738153656126364,-74.00902490142289,"(40.73815365612636, -74.00902490142289)",False,False,False
16225057,03/15/2010 01:22:00 PM,03/16/2010 01:40:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10014.0,113 JANE STREET,JANE STREET,WASHINGTON ST,HORATIO ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",03/16/2010 01:40:00 AM,02 MANHATTAN,1006420001.0,MANHATTAN,981749.0,208206.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.738153656126364,-74.00902490142289,"(40.73815365612636, -74.00902490142289)",False,False,False
16242927,03/17/2010 01:03:00 PM,03/18/2010 09:30:00 AM,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,10014.0,113 JANE STREET,JANE STREET,WASHINGTON ST,HORATIO ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection inspected your complaint and cleaned the catch basin or inlet. If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",03/18/2010 09:30:00 AM,02 MANHATTAN,1006420001.0,MANHATTAN,981749.0,208206.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.738153656126364,-74.00902490142289,"(40.73815365612636, -74.00902490142289)",False,False,False
28061151,05/17/2014 01:03:52 AM,05/17/2014 01:22:09 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10014.0,113 JANE STREET,JANE STREET,WASHINGTON STREET,JOE DIMAGGIO HIGHWAY,,,ADDRESS,NEW YORK,,Precinct,Closed,05/17/2014 09:03:52 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,05/17/2014 01:22:09 AM,02 MANHATTAN,1006420001.0,MANHATTAN,981749.0,208206.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.738153656126364,-74.00902490142289,"(40.73815365612636, -74.00902490142289)",False,False,False
28064718,05/18/2014 12:08:08 AM,05/18/2014 12:36:22 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10014.0,113 JANE STREET,JANE STREET,WASHINGTON STREET,JOE DIMAGGIO HIGHWAY,,,ADDRESS,NEW YORK,,Precinct,Closed,05/18/2014 08:08:08 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,05/18/2014 12:36:22 AM,02 MANHATTAN,1006420001.0,MANHATTAN,981749.0,208206.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.738153656126364,-74.00902490142289,"(40.73815365612636, -74.00902490142289)",True,False,False
28160017,06/01/2014 12:41:25 AM,06/01/2014 01:14:40 AM,NYPD,New York City Police Department,Noise - Commercial,Car/Truck Horn,Store/Commercial,10014.0,113 JANE STREET,JANE STREET,WASHINGTON STREET,JOE DIMAGGIO HIGHWAY,,,ADDRESS,NEW YORK,,Precinct,Closed,06/01/2014 08:41:25 AM,The Police Department responded to the complaint and determined that police action was not necessary.,06/01/2014 01:14:40 AM,02 MANHATTAN,1006420001.0,MANHATTAN,981749.0,208206.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.738153656126364,-74.00902490142289,"(40.73815365612636, -74.00902490142289)",True,False,False
