Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
15895202,01/30/2010 01:29:00 PM,02/01/2010 03:45:00 PM,DEP,Department of Environmental Protection,Air Quality,"Air: Odor/Fumes, Restaurant (AD2)",,10012.0,114 KENMARE STREET,KENMARE STREET,CLEVELAND PL,LAFAYETTE ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",02/01/2010 03:45:00 PM,02 MANHATTAN,1004827501.0,MANHATTAN,984908.0,202146.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.721520767303616,-73.99762618829345,"(40.721520767303616, -73.99762618829345)",False,False,False
16121265,03/02/2010 10:42:00 AM,03/08/2010 12:45:00 PM,DEP,Department of Environmental Protection,Air Quality,"Air: Smoke, Commercial (AA2)",,10012.0,114 KENMARE STREET,KENMARE STREET,CLEVELAND PL,LAFAYETTE ST,,,ADDRESS,NEW YORK,,,Closed,,The Department of Environmental Protection observed a violation of the New York City Air/Noise Code at the time of inspection and issued a notice of violation.,03/08/2010 12:45:00 PM,02 MANHATTAN,1004827501.0,MANHATTAN,984908.0,202146.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.721520767303616,-73.99762618829345,"(40.721520767303616, -73.99762618829345)",False,False,False
21618663,10/10/2011 03:01:00 PM,10/11/2011 12:00:00 PM,DSNY,A - Manhattan,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10012.0,114 KENMARE STREET,KENMARE STREET,CLEVELAND PLACE,LAFAYETTE STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,10/11/2011 12:00:00 PM,02 MANHATTAN,1004827501.0,MANHATTAN,984908.0,202146.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.721520767303616,-73.99762618829345,"(40.721520767303616, -73.99762618829345)",True,False,False
23509698,06/27/2012 03:10:00 PM,07/02/2012 05:45:00 PM,DEP,Department of Environmental Protection,Air Quality,"Air: Odor/Fumes, Restaurant (AD2)",,10012.0,114 KENMARE STREET,KENMARE STREET,CLEVELAND PL,LAFAYETTE ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",07/02/2012 05:45:00 PM,02 MANHATTAN,1004827501.0,MANHATTAN,984908.0,202146.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.721520767303616,-73.99762618829345,"(40.721520767303616, -73.99762618829345)",False,True,False
23813632,08/16/2012 08:42:00 AM,08/17/2012 03:45:00 PM,DEP,Department of Environmental Protection,Air Quality,"Air: Smoke, Chimney or vent (AS1)",,10012.0,114 KENMARE STREET,KENMARE STREET,CLEVELAND PL,LAFAYETTE ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",08/17/2012 03:45:00 PM,02 MANHATTAN,1004827501.0,MANHATTAN,984908.0,202146.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.721520767303616,-73.99762618829345,"(40.721520767303616, -73.99762618829345)",False,True,False
24687493,12/29/2012 11:20:00 AM,12/30/2012 05:30:00 PM,DEP,Department of Environmental Protection,Water System,Possible Water Main Break (Use Comments) (WA1),,10012.0,114 KENMARE STREET,KENMARE STREET,CLEVELAND PL,LAFAYETTE ST,,,ADDRESS,NEW YORK,,,Closed,,The Department of Environmental Protection investigated this complaint and made a repair.,12/30/2012 05:30:00 PM,02 MANHATTAN,1004827501.0,MANHATTAN,984908.0,202146.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.721520767303616,-73.99762618829345,"(40.721520767303616, -73.99762618829345)",True,True,False
15668138,01/05/2010 06:45:00 PM,01/25/2010 09:00:00 AM,DEP,Department of Environmental Protection,Air Quality,"Air: Odor/Fumes, Restaurant (AD2)",,10012,114 KENMARE STREET,KENMARE STREET,CLEVELAND PL,LAFAYETTE ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection attempted to inspect this complaint but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",01/25/2010 09:00:00 AM,02 MANHATTAN,1004827501.0,MANHATTAN,984908.0,202146.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.721520767303616,-73.99762618829345,"(40.721520767303616, -73.99762618829345)",False,False,False
15720461,01/11/2010 07:39:08 PM,01/19/2010 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Vent/Exhaust - Illegal/Improper,,10012,114 KENMARE STREET,KENMARE STREET,CLEVELAND PLACE,LAFAYETTE STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and issued an Environmental Control Board violation.,01/19/2010 12:00:00 AM,02 MANHATTAN,1004827501.0,MANHATTAN,984908.0,202146.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.721520767303616,-73.99762618829345,"(40.721520767303616, -73.99762618829345)",True,False,False
16144064,03/05/2010 11:50:57 PM,03/06/2010 12:58:00 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10012,114 KENMARE STREET,KENMARE STREET,CLEVELAND PLACE,LAFAYETTE STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,03/06/2010 07:50:57 AM,,03/06/2010 12:00:00 AM,02 MANHATTAN,1004827501.0,MANHATTAN,984908.0,202146.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.721520767303616,-73.99762618829345,"(40.721520767303616, -73.99762618829345)",True,False,False
16281261,03/23/2010 10:47:14 PM,03/23/2010 11:53:17 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10012,114 KENMARE STREET,KENMARE STREET,CLEVELAND PLACE,LAFAYETTE STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,03/24/2010 06:47:14 AM,,03/23/2010 12:00:00 AM,02 MANHATTAN,1004827501.0,MANHATTAN,984908.0,202146.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.721520767303616,-73.99762618829345,"(40.721520767303616, -73.99762618829345)",True,False,False
