Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26370503,09/24/2013 09:59:48 PM,02/25/2014 07:15:39 PM,DOT,Department of Transportation,Street Sign - Damaged,"No Parking, Standing, Stopping",Street,11221,1146 BUSHWICK AVENUE,BUSHWICK AVENUE,MADISON STREET,PUTNAM AVENUE,,,ADDRESS,BROOKLYN,,,Closed,03/26/2014 02:46:48 PM,The Department of Transportation has completed the request or corrected the condition.,02/25/2014 07:15:39 PM,04 BROOKLYN,3033660043.0,BROOKLYN,1007055.0,190409.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6892761120213,-73.91776807727035,"(40.6892761120213, -73.91776807727035)",False,False,False
27167284,01/16/2014 12:00:00 AM,01/17/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11221.0,1146 BUSHWICK AVENUE,BUSHWICK AVENUE,MADISON STREET,PUTNAM AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",01/17/2014 12:00:00 AM,Unspecified BROOKLYN,3033660043.0,BROOKLYN,1007055.0,190409.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6892761120213,-73.91776807727035,"(40.6892761120213, -73.91776807727035)",True,False,False
27385723,02/10/2014 12:00:00 AM,02/13/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11221.0,1146 BUSHWICK AVENUE,BUSHWICK AVENUE,MADISON STREET,PUTNAM AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",02/13/2014 12:00:00 AM,04 BROOKLYN,3033660043.0,BROOKLYN,1007055.0,190409.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6892761120213,-73.91776807727035,"(40.6892761120213, -73.91776807727035)",True,False,False
31349212,08/19/2015 10:39:35 AM,08/24/2015 11:11:42 AM,HPD,Department of Housing Preservation and Development,SAFETY,WINDOW GUARD BROKEN/MISSING,RESIDENTIAL BUILDING,11221,1146 BUSHWICK AVENUE,BUSHWICK AVENUE,,,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,08/24/2015 11:11:42 AM,04 BROOKLYN,3033660043.0,BROOKLYN,1007055.0,190409.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6892761120213,-73.91776807727035,"(40.6892761120213, -73.91776807727035)",True,False,False
31353991,08/20/2015 10:31:02 AM,09/02/2015 10:29:19 AM,HPD,Department of Housing Preservation and Development,SAFETY,WINDOW GUARD BROKEN/MISSING,RESIDENTIAL BUILDING,11221,1146 BUSHWICK AVENUE,BUSHWICK AVENUE,,,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",09/02/2015 10:29:19 AM,04 BROOKLYN,3033660043.0,BROOKLYN,1007055.0,190409.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6892761120213,-73.91776807727035,"(40.6892761120213, -73.91776807727035)",True,False,False
34797255,11/17/2016 01:16:14 PM,12/19/2016 10:51:01 AM,HPD,Department of Housing Preservation and Development,PLUMBING,BOILER,RESIDENTIAL BUILDING,11221,1146 BUSHWICK AVENUE,BUSHWICK AVENUE,,,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",12/19/2016 10:51:01 AM,04 BROOKLYN,3033660043.0,BROOKLYN,1007055.0,190409.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6892761120213,-73.91776807727035,"(40.6892761120213, -73.91776807727035)",True,True,False
34799465,11/17/2016 01:14:33 PM,11/20/2016 01:56:18 PM,HPD,Department of Housing Preservation and Development,GENERAL,COOKING GAS,RESIDENTIAL BUILDING,11221,1146 BUSHWICK AVENUE,BUSHWICK AVENUE,,,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,11/20/2016 01:56:18 PM,04 BROOKLYN,3033660043.0,BROOKLYN,1007055.0,190409.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6892761120213,-73.91776807727035,"(40.6892761120213, -73.91776807727035)",True,True,False
34801736,11/17/2016 01:14:33 PM,11/20/2016 01:56:19 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11221,1146 BUSHWICK AVENUE,BUSHWICK AVENUE,,,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,11/20/2016 01:56:19 PM,04 BROOKLYN,3033660043.0,BROOKLYN,1007055.0,190409.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6892761120213,-73.91776807727035,"(40.6892761120213, -73.91776807727035)",True,True,False
35620055,03/05/2017 01:18:07 AM,03/05/2017 01:49:20 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11221.0,1146 BUSHWICK AVENUE,BUSHWICK AVENUE,MADISON STREET,PUTNAM AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,03/05/2017 09:18:07 AM,The Police Department responded to the complaint and took action to fix the condition.,03/05/2017 01:49:21 AM,04 BROOKLYN,3033660043.0,BROOKLYN,1007055.0,190409.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6892761120213,-73.91776807727035,"(40.6892761120213, -73.91776807727035)",True,True,False
36212915,05/17/2017 01:25:20 AM,05/19/2017 09:34:09 AM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11221,1146 BUSHWICK AVENUE,BUSHWICK AVENUE,,,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",05/19/2017 09:34:09 AM,04 BROOKLYN,3033660043.0,BROOKLYN,1007055.0,190409.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6892761120213,-73.91776807727035,"(40.6892761120213, -73.91776807727035)",True,True,True
