Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
16667951,05/16/2010 04:16:48 AM,05/16/2010 05:40:10 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11412,115-05 FARMERS BOULEVARD,FARMERS BOULEVARD,115 AVENUE,115 ROAD,,,ADDRESS,SAINT ALBANS,,Precinct,Closed,05/16/2010 12:16:48 PM,,05/16/2010 12:00:00 AM,12 QUEENS,4110320008.0,QUEENS,1050362.0,192837.0,PHONE,Unspecified,QUEENS,,,,,,,,40.69572284694161,-73.76158524604857,"(40.69572284694161, -73.76158524604857)",True,False,False
18666206,09/12/2010 04:38:55 AM,09/12/2010 04:58:17 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11412.0,115-05 FARMERS BOULEVARD,FARMERS BOULEVARD,115 AVENUE,115 ROAD,,,ADDRESS,SAINT ALBANS,,Precinct,Closed,09/12/2010 12:38:55 PM,,09/12/2010 12:00:00 AM,12 QUEENS,4110320008.0,QUEENS,1050362.0,192837.0,PHONE,Unspecified,QUEENS,,,,,,,,40.69572284694161,-73.76158524604857,"(40.69572284694161, -73.76158524604857)",True,False,False
18787463,09/29/2010 05:57:30 AM,09/29/2010 06:16:55 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11412,115-05 FARMERS BOULEVARD,FARMERS BOULEVARD,115 AVENUE,115 ROAD,,,ADDRESS,SAINT ALBANS,,Precinct,Closed,09/29/2010 01:57:30 PM,,09/29/2010 12:00:00 AM,12 QUEENS,4110320008.0,QUEENS,1050362.0,192837.0,PHONE,Unspecified,QUEENS,,,,,,,,40.69572284694161,-73.76158524604857,"(40.69572284694161, -73.76158524604857)",True,False,False
18884173,10/13/2010 04:57:23 AM,10/13/2010 06:51:46 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11412,115-05 FARMERS BOULEVARD,FARMERS BOULEVARD,115 AVENUE,115 ROAD,,,ADDRESS,SAINT ALBANS,,Precinct,Closed,10/13/2010 12:57:23 PM,The Police Department responded to the complaint and determined that police action was not necessary.,10/13/2010 12:00:00 AM,12 QUEENS,4110320008.0,QUEENS,1050362.0,192837.0,PHONE,Unspecified,QUEENS,,,,,,,,40.69572284694161,-73.76158524604857,"(40.69572284694161, -73.76158524604857)",True,False,False
19006700,10/30/2010 03:51:28 AM,10/30/2010 05:11:26 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11412,115-05 FARMERS BOULEVARD,FARMERS BOULEVARD,115 AVENUE,115 ROAD,,,ADDRESS,SAINT ALBANS,,Precinct,Closed,10/30/2010 11:51:28 AM,The Police Department responded to the complaint and determined that police action was not necessary.,10/30/2010 12:00:00 AM,12 QUEENS,4110320008.0,QUEENS,1050362.0,192837.0,PHONE,Unspecified,QUEENS,,,,,,,,40.69572284694161,-73.76158524604857,"(40.69572284694161, -73.76158524604857)",True,False,False
19992075,03/09/2011 05:02:42 AM,03/09/2011 07:07:59 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11412,115-05 FARMERS BOULEVARD,FARMERS BOULEVARD,115 AVENUE,115 ROAD,,,ADDRESS,SAINT ALBANS,,Precinct,Closed,03/09/2011 01:02:42 PM,The Police Department responded to the complaint and took action to fix the condition.,03/09/2011 07:07:59 AM,12 QUEENS,4110320008.0,QUEENS,1050362.0,192837.0,PHONE,Unspecified,QUEENS,,,,,,,,40.69572284694161,-73.76158524604857,"(40.69572284694161, -73.76158524604857)",True,False,False
20255546,04/18/2011 06:11:04 AM,04/18/2011 07:26:05 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11412,115-05 FARMERS BOULEVARD,FARMERS BOULEVARD,115 AVENUE,115 ROAD,,,ADDRESS,SAINT ALBANS,,Precinct,Closed,04/18/2011 02:11:04 PM,The Police Department made an arrest in response to the complaint.,04/18/2011 07:26:05 AM,12 QUEENS,4110320008.0,QUEENS,1050362.0,192837.0,PHONE,Unspecified,QUEENS,,,,,,,,40.69572284694161,-73.76158524604857,"(40.69572284694161, -73.76158524604857)",True,False,False
20472286,05/20/2011 02:28:01 AM,05/20/2011 07:03:13 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11412,115-05 FARMERS BOULEVARD,FARMERS BOULEVARD,115 AVENUE,115 ROAD,,,ADDRESS,SAINT ALBANS,,Precinct,Closed,05/20/2011 10:28:01 AM,The Police Department responded to the complaint and determined that police action was not necessary.,05/20/2011 07:03:13 AM,12 QUEENS,4110320008.0,QUEENS,1050362.0,192837.0,PHONE,Unspecified,QUEENS,,,,,,,,40.69572284694161,-73.76158524604857,"(40.69572284694161, -73.76158524604857)",True,False,False
21616687,10/10/2011 03:30:31 AM,10/10/2011 04:39:46 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11412,115-05 FARMERS BOULEVARD,FARMERS BOULEVARD,115 AVENUE,115 ROAD,,,ADDRESS,SAINT ALBANS,,Precinct,Closed,10/10/2011 11:30:31 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/10/2011 04:39:46 AM,12 QUEENS,4110320008.0,QUEENS,1050361.0,192837.0,PHONE,Unspecified,QUEENS,,,,,,,,40.69572285441202,-73.76158885225584,"(40.69572285441202, -73.76158885225585)",True,False,False
21663280,10/15/2011 03:47:50 AM,10/15/2011 04:36:27 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11412.0,115-05 FARMERS BOULEVARD,FARMERS BOULEVARD,115 AVENUE,115 ROAD,,,ADDRESS,SAINT ALBANS,,Precinct,Closed,10/15/2011 11:47:50 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/15/2011 04:36:27 AM,12 QUEENS,4110320008.0,QUEENS,1050361.0,192837.0,PHONE,Unspecified,QUEENS,,,,,,,,40.69572285441202,-73.76158885225584,"(40.69572285441202, -73.76158885225585)",True,False,False
