Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
16577099,05/02/2010 06:27:00 PM,05/03/2010 12:00:00 PM,DSNY,BCC - Brooklyn North,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11211.0,116 NORTH 5 STREET,NORTH 5 STREET,BERRY STREET,BEDFORD AVENUE,,,ADDRESS,BROOKLYN,,DSNY Garage,Closed,,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",05/03/2010 12:00:00 AM,01 BROOKLYN,3023430005.0,BROOKLYN,995417.0,200581.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71721819566013,-73.95971634494336,"(40.717218195660124, -73.95971634494336)",True,False,False
20553510,06/02/2011 10:02:38 PM,06/03/2011 01:57:18 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11211,116 NORTH 5 STREET,NORTH 5 STREET,BERRY STREET,BEDFORD AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/03/2011 06:02:38 AM,The Police Department responded to the complaint and determined that police action was not necessary.,06/03/2011 01:57:18 AM,01 BROOKLYN,3023430005.0,BROOKLYN,995417.0,200581.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71721819566013,-73.95971634494336,"(40.717218195660124, -73.95971634494336)",True,False,False
21536861,09/27/2011 09:07:01 PM,09/27/2011 10:41:28 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11211.0,116 NORTH 5 STREET,NORTH 5 STREET,BERRY STREET,BEDFORD AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/28/2011 05:07:01 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/27/2011 10:41:28 PM,01 BROOKLYN,3023430005.0,BROOKLYN,995417.0,200581.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71721819566013,-73.95971634494336,"(40.717218195660124, -73.95971634494336)",True,False,False
21770355,10/29/2011 11:14:05 AM,11/23/2011 02:16:40 PM,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Chemical Vapors/Gases/Odors,1-2 Family Mixed Use Building,11211,116 NORTH 5 STREET,NORTH 5 STREET,BERRY STREET,BEDFORD AVENUE,,,ADDRESS,BROOKLYN,,,Closed,11/28/2011 11:14:05 AM,The Department of Health and Mental Hygiene has investigated the complaint and no violations were cited.,11/23/2011 02:16:19 PM,01 BROOKLYN,3023430005.0,BROOKLYN,995417.0,200581.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71721819566013,-73.95971634494336,"(40.717218195660124, -73.95971634494336)",True,False,False
23194868,05/08/2012 10:25:42 AM,07/17/2012 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,11249,116 NORTH 5 STREET,NORTH 5 STREET,BERRY STREET,BEDFORD AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The City has removed the graffiti from this property.,07/24/2012 03:45:09 PM,01 BROOKLYN,3023430005.0,BROOKLYN,995417.0,200581.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.71721819566013,-73.95971634494336,"(40.717218195660124, -73.95971634494336)",True,False,False
23277153,05/22/2012 10:56:59 PM,05/22/2012 11:33:09 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11249,116 NORTH 5 STREET,NORTH 5 STREET,BERRY STREET,BEDFORD AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/23/2012 06:56:59 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,05/22/2012 11:33:09 PM,01 BROOKLYN,3023430005.0,BROOKLYN,995417.0,200581.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71721819566013,-73.95971634494336,"(40.717218195660124, -73.95971634494336)",True,False,False
23383210,06/08/2012 03:23:29 PM,06/11/2012 02:44:48 PM,DCA,Department of Consumer Affairs,Consumer Complaint,Sidewalk Blocked,,11249.0,116 NORTH 5 STREET,NORTH 5 STREET,BERRY STREET,BEDFORD AVENUE,,,ADDRESS,BROOKLYN,,,Closed,07/17/2012 02:44:34 PM,"The Department of Consumer Affairs is scheduling an inspection which will take place within 35 days. Please do not file duplicate complaints or call to check results during this time. After 35 days, call 311 with your Service Request Number and ask for Service Request Status - DCA.",06/11/2012 02:44:48 PM,01 BROOKLYN,3023430005.0,BROOKLYN,995417.0,200581.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.71721819566013,-73.95971634494336,"(40.717218195660124, -73.95971634494336)",True,False,False
23520986,06/29/2012 11:32:52 AM,08/29/2012 06:27:33 AM,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery,11249,116 NORTH 5 STREET,NORTH 5 STREET,BERRY STREET,BEDFORD AVENUE,,,ADDRESS,BROOKLYN,,,Closed,08/28/2012 11:32:52 AM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",08/29/2012 06:27:33 AM,01 BROOKLYN,3023430005.0,BROOKLYN,995417.0,200581.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.71721819566013,-73.95971634494336,"(40.717218195660124, -73.95971634494336)",True,False,False
23776814,08/09/2012 12:11:41 PM,08/09/2012 03:56:24 PM,DCA,Department of Consumer Affairs,Consumer Complaint,Sidewalk Blocked,,11249,116 NORTH 5 STREET,NORTH 5 STREET,BERRY STREET,BEDFORD AVENUE,,,ADDRESS,BROOKLYN,,,Closed,09/14/2012 03:55:48 PM,"The Department of Consumer Affairs is scheduling an inspection which will take place within 35 days. Please do not file duplicate complaints or call to check results during this time. After 35 days, call 311 with your Service Request Number and ask for Service Request Status - DCA.",08/09/2012 03:56:25 PM,01 BROOKLYN,3023430005.0,BROOKLYN,995417.0,200581.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71721819566013,-73.95971634494336,"(40.717218195660124, -73.95971634494336)",True,False,False
24182737,10/11/2012 03:16:37 PM,,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11249.0,116 NORTH 5 STREET,NORTH 5 STREET,BERRY STREET,BEDFORD AVENUE,,,ADDRESS,BROOKLYN,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,,01 BROOKLYN,3023430005.0,BROOKLYN,995417.0,200581.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.71721819566013,-73.95971634494336,"(40.717218195660124, -73.95971634494336)",True,False,False
24349702,11/06/2012 02:58:35 PM,06/02/2013 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal. Commercial Use In Resident Zone,,11249.0,116 NORTH 5 STREET,NORTH 5 STREET,BERRY STREET,BEDFORD AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",06/02/2013 12:00:00 AM,01 BROOKLYN,3023430005.0,BROOKLYN,995417.0,200581.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.71721819566013,-73.95971634494336,"(40.717218195660124, -73.95971634494336)",True,False,False
25655252,06/02/2013 03:26:18 PM,06/07/2013 12:00:00 AM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,11249,116 NORTH 5 STREET,NORTH 5 STREET,BERRY STREET,BEDFORD AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,06/07/2013 12:00:00 AM,01 BROOKLYN,3023430005.0,BROOKLYN,995417.0,200581.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.71721819566013,-73.95971634494336,"(40.717218195660124, -73.95971634494336)",True,False,False
25866343,07/03/2013 09:33:03 AM,07/11/2013 12:00:00 AM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,11249,116 NORTH 5 STREET,NORTH 5 STREET,BERRY STREET,BEDFORD AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,07/11/2013 12:00:00 AM,01 BROOKLYN,3023430005.0,BROOKLYN,995417.0,200581.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.71721819566013,-73.95971634494336,"(40.717218195660124, -73.95971634494336)",True,False,False
