Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
29831674,01/31/2015 11:56:34 AM,02/04/2015 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Egress - Doors Locked/Blocked/Improper/No Secondary Means,,10472.0,1186 EVERGREEN AVENUE,EVERGREEN AVENUE,WATSON AVENUE,WESTCHESTER AVENUE,,,ADDRESS,BRONX,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,02/04/2015 12:00:00 AM,09 BRONX,2037380038.0,BRONX,1017214.0,240893.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.827809614692725,-73.88088852692975,"(40.82780961469273, -73.88088852692975)",True,False,False
29834903,01/31/2015 12:03:31 PM,06/25/2015 12:00:00 AM,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Sign/Awning/Marquee - Illegal/No Permit,,10472.0,1186 EVERGREEN AVENUE,EVERGREEN AVENUE,WATSON AVENUE,WESTCHESTER AVENUE,,,ADDRESS,BRONX,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,06/25/2015 12:00:00 AM,09 BRONX,2037380038.0,BRONX,1017214.0,240893.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.827809614692725,-73.88088852692975,"(40.82780961469273, -73.88088852692975)",True,False,False
27134458,01/13/2014 02:43:42 PM,02/02/2018 12:00:00 AM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,10472.0,1186 EVERGREEN AVENUE,EVERGREEN AVENUE,WATSON AVENUE,WESTCHESTER AVENUE,,,ADDRESS,BRONX,,,Closed,,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",02/02/2018 12:00:00 AM,09 BRONX,2037380038.0,BRONX,1017214.0,240893.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.827809614692725,-73.88088852692975,"(40.82780961469273, -73.88088852692975)",True,False,False
28290461,06/18/2014 03:54:27 AM,06/18/2014 01:28:56 PM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10472,1186 EVERGREEN AVENUE,EVERGREEN AVENUE,WATSON AVENUE,WESTCHESTER AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,06/18/2014 11:54:27 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/18/2014 01:28:56 PM,09 BRONX,2037380038.0,BRONX,1017214.0,240893.0,PHONE,Unspecified,BRONX,,,,,,,,40.827809614692725,-73.88088852692975,"(40.82780961469273, -73.88088852692975)",False,False,False
29834721,01/31/2015 11:41:35 AM,01/31/2015 05:03:28 PM,NYPD,New York City Police Department,Drinking,Underage - Licensed Est,Club/Bar/Restaurant,10472,1186 EVERGREEN AVENUE,EVERGREEN AVENUE,WATSON AVENUE,WESTCHESTER AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,01/31/2015 07:41:35 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/31/2015 05:03:28 PM,09 BRONX,2037380038.0,BRONX,1017214.0,240893.0,PHONE,Unspecified,BRONX,,,,,,,,40.827809614692725,-73.88088852692975,"(40.82780961469273, -73.88088852692975)",True,False,False
29835939,01/31/2015 11:36:48 AM,01/31/2015 05:02:26 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10472,1186 EVERGREEN AVENUE,EVERGREEN AVENUE,WATSON AVENUE,WESTCHESTER AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,01/31/2015 07:36:48 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/31/2015 05:02:26 PM,09 BRONX,2037380038.0,BRONX,1017214.0,240893.0,PHONE,Unspecified,BRONX,,,,,,,,40.827809614692725,-73.88088852692975,"(40.82780961469273, -73.88088852692975)",True,False,False
18750276,09/23/2010 11:49:29 PM,09/24/2010 05:26:00 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10472,1186 EVERGREEN AVENUE,EVERGREEN AVENUE,WATSON AVENUE,WESTCHESTER AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,09/24/2010 07:49:29 AM,,09/24/2010 12:00:00 AM,09 BRONX,2037380038.0,BRONX,1017214.0,240893.0,PHONE,Unspecified,BRONX,,,,,,,,40.827809614692725,-73.88088852692975,"(40.82780961469273, -73.88088852692975)",True,False,False
18771163,09/27/2010 11:14:30 PM,09/28/2010 01:20:47 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10472,1186 EVERGREEN AVENUE,EVERGREEN AVENUE,WATSON AVENUE,WESTCHESTER AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,09/28/2010 07:14:30 AM,,09/28/2010 12:00:00 AM,09 BRONX,2037380038.0,BRONX,1017214.0,240893.0,PHONE,Unspecified,BRONX,,,,,,,,40.827809614692725,-73.88088852692975,"(40.82780961469273, -73.88088852692975)",True,False,False
18779348,09/28/2010 11:23:34 PM,09/29/2010 02:17:04 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10472.0,1186 EVERGREEN AVENUE,EVERGREEN AVENUE,WATSON AVENUE,WESTCHESTER AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,09/29/2010 07:23:34 AM,,09/29/2010 12:00:00 AM,09 BRONX,2037380038.0,BRONX,1017214.0,240893.0,PHONE,Unspecified,BRONX,,,,,,,,40.827809614692725,-73.88088852692975,"(40.82780961469273, -73.88088852692975)",True,False,False
18803384,10/01/2010 11:36:23 PM,10/02/2010 01:58:52 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10472.0,1186 EVERGREEN AVENUE,EVERGREEN AVENUE,WATSON AVENUE,WESTCHESTER AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,10/02/2010 07:36:23 AM,The Police Department responded to the complaint and determined that police action was not necessary.,10/02/2010 12:00:00 AM,09 BRONX,2037380038.0,BRONX,1017214.0,240893.0,PHONE,Unspecified,BRONX,,,,,,,,40.827809614692725,-73.88088852692975,"(40.82780961469273, -73.88088852692975)",True,False,False
