Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
23369171,06/06/2012 10:46:00 AM,06/19/2012 12:00:00 PM,DSNY,A - Brooklyn,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,11225.0,1195 PRESIDENT STREET,PRESIDENT STREET,ROGERS AVENUE,NOSTRAND AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,06/19/2012 12:00:00 PM,09 BROOKLYN,3012760001.0,BROOKLYN,997821.0,182688.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.66810269400133,-73.9510802429195,"(40.668102694001334, -73.9510802429195)",True,True,False
16544516,04/28/2010 05:57:00 AM,04/29/2010 12:00:00 PM,DSNY,BCC - Brooklyn North,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11225,1195 PRESIDENT STREET,PRESIDENT STREET,ROGERS AVENUE,NOSTRAND AVENUE,,,ADDRESS,BROOKLYN,,DSNY Garage,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,04/29/2010 12:00:00 AM,09 BROOKLYN,3012760001.0,BROOKLYN,997821.0,182688.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.66810269400133,-73.9510802429195,"(40.668102694001334, -73.9510802429195)",True,False,False
17529427,06/27/2010 10:58:05 PM,06/27/2010 11:40:16 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11225,1195 PRESIDENT STREET,PRESIDENT STREET,ROGERS AVENUE,NOSTRAND AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/28/2010 06:58:05 AM,,06/27/2010 12:00:00 AM,09 BROOKLYN,3012760001.0,BROOKLYN,997821.0,182688.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.66810269400133,-73.9510802429195,"(40.668102694001334, -73.9510802429195)",True,False,False
17559084,07/01/2010 11:33:49 PM,07/02/2010 02:32:16 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11225,1195 PRESIDENT STREET,PRESIDENT STREET,ROGERS AVENUE,NOSTRAND AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,07/02/2010 07:33:49 AM,,07/02/2010 12:00:00 AM,09 BROOKLYN,3012760001.0,BROOKLYN,997821.0,182688.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.66810269400133,-73.9510802429195,"(40.668102694001334, -73.9510802429195)",True,False,False
18265765,07/16/2010 12:50:01 AM,07/16/2010 01:49:39 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11225,1195 PRESIDENT STREET,PRESIDENT STREET,ROGERS AVENUE,NOSTRAND AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,07/16/2010 08:50:01 AM,,07/16/2010 12:00:00 AM,09 BROOKLYN,3012760001.0,BROOKLYN,997821.0,182688.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.66810269400133,-73.9510802429195,"(40.668102694001334, -73.9510802429195)",True,False,False
18274473,07/17/2010 01:48:51 AM,07/17/2010 02:19:01 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11225,1195 PRESIDENT STREET,PRESIDENT STREET,ROGERS AVENUE,NOSTRAND AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,07/17/2010 09:48:51 AM,,07/17/2010 12:00:00 AM,09 BROOKLYN,3012760001.0,BROOKLYN,997821.0,182688.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.66810269400133,-73.9510802429195,"(40.668102694001334, -73.9510802429195)",True,False,False
18334580,07/24/2010 10:58:42 PM,07/24/2010 11:33:41 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11225,1195 PRESIDENT STREET,PRESIDENT STREET,ROGERS AVENUE,NOSTRAND AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,07/25/2010 06:58:42 AM,,07/24/2010 12:00:00 AM,09 BROOKLYN,3012760001.0,BROOKLYN,997821.0,182688.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.66810269400133,-73.9510802429195,"(40.668102694001334, -73.9510802429195)",True,False,False
18334933,07/24/2010 09:30:19 PM,07/24/2010 10:38:56 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11225,1195 PRESIDENT STREET,PRESIDENT STREET,ROGERS AVENUE,NOSTRAND AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,07/25/2010 05:30:19 AM,,07/24/2010 12:00:00 AM,09 BROOKLYN,3012760001.0,BROOKLYN,997821.0,182688.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.66810269400133,-73.9510802429195,"(40.668102694001334, -73.9510802429195)",True,False,False
18282654,07/17/2010 02:41:31 AM,07/17/2010 04:01:40 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11225,1195 PRESIDENT STREET,PRESIDENT STREET,ROGERS AVENUE,NOSTRAND AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,07/17/2010 10:41:31 AM,,07/17/2010 12:00:00 AM,09 BROOKLYN,3012760001.0,BROOKLYN,997821.0,182688.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.66810269400133,-73.9510802429195,"(40.668102694001334, -73.9510802429195)",True,False,False
18319371,07/22/2010 10:48:02 PM,07/23/2010 02:30:25 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11225,1195 PRESIDENT STREET,PRESIDENT STREET,ROGERS AVENUE,NOSTRAND AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,07/23/2010 06:48:02 AM,,07/23/2010 12:00:00 AM,09 BROOKLYN,3012760001.0,BROOKLYN,997821.0,182688.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.66810269400133,-73.9510802429195,"(40.668102694001334, -73.9510802429195)",True,False,False
22307081,12/11/2011 09:11:33 PM,12/11/2011 11:26:13 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11225.0,1195 PRESIDENT STREET,PRESIDENT STREET,ROGERS AVENUE,NOSTRAND AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/12/2011 05:11:33 AM,The Police Department responded to the complaint and determined that police action was not necessary.,12/11/2011 11:26:14 PM,09 BROOKLYN,3012760001.0,BROOKLYN,997821.0,182688.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.66810269400133,-73.9510802429195,"(40.668102694001334, -73.9510802429195)",True,False,False
23021478,04/07/2012 12:00:00 AM,04/09/2012 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11225,1195 PRESIDENT STREET,PRESIDENT STREET,ROGERS AVENUE,NOSTRAND AVENUE,,,ADDRESS,BROOKLYN,,,Closed,05/07/2012 12:15:50 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,04/09/2012 12:00:00 AM,09 BROOKLYN,3012760001.0,BROOKLYN,997821.0,182688.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.66810269400133,-73.9510802429195,"(40.668102694001334, -73.9510802429195)",True,False,False
23002766,04/04/2012 12:00:00 AM,04/09/2012 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,11225,1195 PRESIDENT STREET,PRESIDENT STREET,ROGERS AVENUE,NOSTRAND AVENUE,,,ADDRESS,BROOKLYN,,,Closed,05/04/2012 02:22:10 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,04/09/2012 12:00:00 AM,09 BROOKLYN,3012760001.0,BROOKLYN,997821.0,182688.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.66810269400133,-73.9510802429195,"(40.668102694001334, -73.9510802429195)",True,False,False
