Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26479750,10/13/2013 12:46:55 AM,10/13/2013 01:06:29 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10012,12 SPRING STREET,SPRING STREET,BOWERY,ELIZABETH STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/13/2013 08:46:55 AM,The Police Department responded to the complaint and took action to fix the condition.,10/13/2013 01:06:29 AM,02 MANHATTAN,1004780018.0,MANHATTAN,985752.0,202047.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72124893316328,-73.99458138200244,"(40.721248933163274, -73.99458138200244)",True,True,False
26555671,10/26/2013 01:33:22 AM,10/26/2013 02:21:03 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10012,12 SPRING STREET,SPRING STREET,BOWERY,ELIZABETH STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/26/2013 09:33:22 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/26/2013 02:21:03 AM,02 MANHATTAN,1004780018.0,MANHATTAN,985752.0,202047.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72124893316328,-73.99458138200244,"(40.721248933163274, -73.99458138200244)",True,True,False
26609556,11/02/2013 01:44:18 AM,11/02/2013 02:07:01 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10012.0,12 SPRING STREET,SPRING STREET,BOWERY,ELIZABETH STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,11/02/2013 09:44:18 AM,The Police Department responded to the complaint and took action to fix the condition.,11/02/2013 02:07:01 AM,02 MANHATTAN,1004780018.0,MANHATTAN,985752.0,202047.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72124893316328,-73.99458138200244,"(40.721248933163274, -73.99458138200244)",True,True,False
26565927,10/27/2013 12:44:56 AM,10/27/2013 02:50:43 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10012.0,12 SPRING STREET,SPRING STREET,BOWERY,ELIZABETH STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/27/2013 08:44:56 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/27/2013 02:50:43 AM,02 MANHATTAN,1004780018.0,MANHATTAN,985752.0,202047.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72124893316328,-73.99458138200244,"(40.721248933163274, -73.99458138200244)",True,True,False
26567299,10/27/2013 12:48:11 AM,10/27/2013 02:13:46 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10012.0,12 SPRING STREET,SPRING STREET,BOWERY,ELIZABETH STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/27/2013 08:48:11 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/27/2013 02:13:46 AM,02 MANHATTAN,1004780018.0,MANHATTAN,985752.0,202047.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72124893316328,-73.99458138200244,"(40.721248933163274, -73.99458138200244)",True,True,False
26824639,10/12/2013 01:54:38 AM,10/12/2013 03:19:16 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10012.0,12 SPRING STREET,SPRING STREET,BOWERY,ELIZABETH STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/12/2013 09:54:38 AM,The Police Department responded to the complaint and took action to fix the condition.,10/12/2013 03:18:28 AM,02 MANHATTAN,1004780018.0,MANHATTAN,985752.0,202047.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72124893316328,-73.99458138200244,"(40.721248933163274, -73.99458138200244)",True,True,False
26837075,12/08/2013 07:57:02 AM,06/06/2014 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10012,12 SPRING STREET,SPRING STREET,BOWERY,ELIZABETH STREET,,,ADDRESS,NEW YORK,,,Closed,05/02/2014 03:32:17 PM,"The cleaning crew was dispatched, but the owner refused to have the graffiti removed.",06/16/2014 04:55:38 PM,02 MANHATTAN,1004780018.0,MANHATTAN,985752.0,202047.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.72124893316328,-73.99458138200244,"(40.721248933163274, -73.99458138200244)",True,True,True
18692665,09/15/2010 09:41:41 AM,10/27/2010 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10012.0,12 SPRING STREET,SPRING STREET,BOWERY,ELIZABETH STREET,,,ADDRESS,NEW YORK,,,Closed,,The City has removed the graffiti from this property.,11/08/2010 03:23:27 PM,02 MANHATTAN,1004780018.0,MANHATTAN,985752.0,202047.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.72124893316328,-73.99458138200244,"(40.721248933163274, -73.99458138200244)",True,False,False
19304216,12/09/2010 11:53:02 PM,12/10/2010 01:13:06 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10012,12 SPRING STREET,SPRING STREET,BOWERY,ELIZABETH STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,12/10/2010 07:53:02 AM,The Police Department responded to the complaint and took action to fix the condition.,12/10/2010 01:13:06 AM,02 MANHATTAN,1004780018.0,MANHATTAN,985755.0,202046.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72124618789477,-73.99457055942048,"(40.721246187894764, -73.99457055942048)",True,False,False
20220203,04/12/2011 11:40:32 PM,04/13/2011 01:23:15 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10012.0,12 SPRING STREET,SPRING STREET,BOWERY,ELIZABETH STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,04/13/2011 07:40:32 AM,The Police Department responded to the complaint and took action to fix the condition.,04/13/2011 01:23:15 AM,02 MANHATTAN,1004780018.0,MANHATTAN,985755.0,202046.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72124618789477,-73.99457055942048,"(40.721246187894764, -73.99457055942048)",True,False,False
20483741,05/22/2011 03:24:08 AM,05/22/2011 04:06:18 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10012,12 SPRING STREET,SPRING STREET,BOWERY,ELIZABETH STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,05/22/2011 11:24:08 AM,The Police Department responded to the complaint and took action to fix the condition.,05/22/2011 04:06:18 AM,02 MANHATTAN,1004780018.0,MANHATTAN,985755.0,202046.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72124618789477,-73.99457055942048,"(40.721246187894764, -73.99457055942048)",True,False,False
20658362,06/18/2011 02:08:39 AM,06/18/2011 04:17:16 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10012,12 SPRING STREET,SPRING STREET,BOWERY,ELIZABETH STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,06/18/2011 10:08:39 AM,The Police Department responded to the complaint and took action to fix the condition.,06/18/2011 04:17:16 AM,02 MANHATTAN,1004780018.0,MANHATTAN,985755.0,202046.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72124618789477,-73.99457055942048,"(40.721246187894764, -73.99457055942048)",True,False,False
21729729,10/26/2011 12:13:06 AM,10/26/2011 12:13:26 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10012,12 SPRING STREET,SPRING STREET,BOWERY,ELIZABETH STREET,,,ADDRESS,NEW YORK,,,Closed,,Thank you for your report. The City will use the information you provided for tracking and reporting purposes. 311 will not have any further status information.,10/26/2011 12:14:50 AM,02 MANHATTAN,1004780018.0,MANHATTAN,985755.0,202046.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72124618789477,-73.99457055942048,"(40.721246187894764, -73.99457055942048)",True,False,False
21976451,11/30/2011 01:12:27 AM,11/30/2011 02:02:39 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10012,12 SPRING STREET,SPRING STREET,BOWERY,ELIZABETH STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,11/30/2011 09:12:27 AM,The Police Department reviewed your complaint and provided additional information below.,11/30/2011 02:02:39 AM,02 MANHATTAN,1004780018.0,MANHATTAN,985755.0,202046.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72124618789477,-73.99457055942048,"(40.721246187894764, -73.99457055942048)",True,False,False
22350807,12/19/2011 12:49:49 AM,12/19/2011 05:54:00 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10012.0,12 SPRING STREET,SPRING STREET,BOWERY,ELIZABETH STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,12/19/2011 08:49:49 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/19/2011 05:54:00 AM,02 MANHATTAN,1004780018.0,MANHATTAN,985755.0,202046.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72124618789477,-73.99457055942048,"(40.721246187894764, -73.99457055942048)",True,False,False
22430974,01/01/2012 04:47:45 AM,02/10/2012 01:13:01 AM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,10012,12 SPRING STREET,SPRING STREET,BOWERY,ELIZABETH STREET,,,ADDRESS,NEW YORK,,,Closed,02/10/2012 01:06:01 PM,"Because you live outside the tri-state area, the Taxi and Limousine Commission will send instructions on how to submit written testimony in 14 days. Please note your Service Request number for future reference.",02/10/2012 01:13:01 AM,02 MANHATTAN,1004780018.0,MANHATTAN,985755.0,202046.0,ONLINE,Unspecified,MANHATTAN,,,Other,,,,,40.72124618789477,-73.99457055942048,"(40.721246187894764, -73.99457055942048)",False,False,False
22741137,02/19/2012 02:48:05 AM,02/19/2012 03:19:29 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10012,12 SPRING STREET,SPRING STREET,BOWERY,ELIZABETH STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,02/19/2012 10:48:05 AM,The Police Department responded to the complaint and took action to fix the condition.,02/19/2012 03:19:29 AM,02 MANHATTAN,1004780018.0,MANHATTAN,985755.0,202046.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72124618789477,-73.99457055942048,"(40.721246187894764, -73.99457055942048)",True,False,False
22855104,03/09/2012 01:50:13 PM,04/23/2012 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10012,12 SPRING STREET,SPRING STREET,BOWERY,ELIZABETH STREET,,,ADDRESS,NEW YORK,,,Closed,,The City has removed the graffiti from this property.,04/27/2012 11:38:55 AM,02 MANHATTAN,1004780018.0,MANHATTAN,985752.0,202047.0,OTHER,Unspecified,MANHATTAN,,,,,,,,40.72124893316328,-73.99458138200244,"(40.721248933163274, -73.99458138200244)",True,False,False
23185631,05/07/2012 06:50:11 PM,07/03/2012 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10012.0,12 SPRING STREET,SPRING STREET,BOWERY,ELIZABETH STREET,,,ADDRESS,NEW YORK,,,Closed,,The City has removed the graffiti from this property.,07/10/2012 12:27:49 PM,02 MANHATTAN,1004780018.0,MANHATTAN,985752.0,202047.0,OTHER,Unspecified,MANHATTAN,,,,,,,,40.72124893316328,-73.99458138200244,"(40.721248933163274, -73.99458138200244)",True,False,False
23298414,05/25/2012 08:57:02 AM,08/15/2012 04:08:32 PM,DOITT,Department of Information Technology and Telecommunications,Public Payphone Complaint,Lost Coin,Street and Sidewalk,10012,12 SPRING STREET,SPRING STREET,BOWERY,ELIZABETH STREET,,,ADDRESS,NEW YORK,,,Closed,07/09/2012 08:57:02 AM,The complaint has been investigated and the condition has been corrected.,08/15/2012 04:08:32 PM,02 MANHATTAN,1004780018.0,MANHATTAN,985755.0,202046.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72124618789477,-73.99457055942048,"(40.721246187894764, -73.99457055942048)",False,False,False
23589870,07/10/2012 06:50:07 PM,08/24/2012 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10012,12 SPRING STREET,SPRING STREET,BOWERY,ELIZABETH STREET,,,ADDRESS,NEW YORK,,,Closed,,The City has removed the graffiti from this property.,09/14/2012 10:41:20 AM,02 MANHATTAN,1004780018.0,MANHATTAN,985752.0,202047.0,OTHER,Unspecified,MANHATTAN,,,,,,,,40.72124893316328,-73.99458138200244,"(40.721248933163274, -73.99458138200244)",True,False,False
24519433,12/02/2012 02:50:32 AM,12/02/2012 03:42:03 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10012,12 SPRING STREET,SPRING STREET,BOWERY,ELIZABETH STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,12/02/2012 10:50:32 AM,The Police Department responded to the complaint and took action to fix the condition.,12/02/2012 03:42:03 AM,02 MANHATTAN,1004780018.0,MANHATTAN,985755.0,202046.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72124618789477,-73.99457055942048,"(40.721246187894764, -73.99457055942048)",True,False,False
24863649,01/26/2013 01:15:17 AM,01/26/2013 01:23:29 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10012.0,12 SPRING STREET,SPRING STREET,BOWERY,ELIZABETH STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,01/26/2013 09:15:17 AM,The Police Department responded to the complaint and took action to fix the condition.,01/26/2013 01:23:29 AM,02 MANHATTAN,1004780018.0,MANHATTAN,985755.0,202046.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72124618789477,-73.99457055942048,"(40.721246187894764, -73.99457055942048)",True,True,False
24922623,02/03/2013 01:37:14 AM,02/03/2013 02:39:47 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10012.0,12 SPRING STREET,SPRING STREET,BOWERY,ELIZABETH STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,02/03/2013 09:37:14 AM,The Police Department responded to the complaint and took action to fix the condition.,02/03/2013 02:39:47 AM,02 MANHATTAN,1004780018.0,MANHATTAN,985755.0,202046.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72124618789477,-73.99457055942048,"(40.721246187894764, -73.99457055942048)",True,True,False
25235753,03/24/2013 12:45:01 AM,03/24/2013 01:41:08 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10012,12 SPRING STREET,SPRING STREET,BOWERY,ELIZABETH STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,03/24/2013 08:45:01 AM,The Police Department responded to the complaint and took action to fix the condition.,03/24/2013 01:41:04 AM,02 MANHATTAN,1004780018.0,MANHATTAN,985755.0,202046.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72124618789477,-73.99457055942048,"(40.721246187894764, -73.99457055942048)",True,True,False
