Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26317396,09/15/2013 11:18:10 PM,09/16/2013 05:54:30 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11226,1236 ROGERS AVENUE,ROGERS AVENUE,NEWKIRK AVENUE,FOSTER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/16/2013 07:18:10 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/16/2013 05:54:31 AM,17 BROOKLYN,3052130043.0,BROOKLYN,997769.0,172278.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.63952960074872,-73.95128855589117,"(40.639529600748716, -73.95128855589117)",True,True,False
26265277,09/07/2013 02:02:18 AM,09/07/2013 05:41:10 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11226,1236 ROGERS AVENUE,ROGERS AVENUE,NEWKIRK AVENUE,FOSTER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/07/2013 10:02:18 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/07/2013 05:41:10 AM,17 BROOKLYN,3052130043.0,BROOKLYN,997769.0,172278.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.63952960074872,-73.95128855589117,"(40.639529600748716, -73.95128855589117)",True,True,False
26270794,09/07/2013 10:47:12 PM,09/08/2013 05:01:32 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11226,1236 ROGERS AVENUE,ROGERS AVENUE,NEWKIRK AVENUE,FOSTER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/08/2013 06:47:12 AM,The Police Department responded to the complaint and took action to fix the condition.,09/08/2013 05:01:32 AM,17 BROOKLYN,3052130043.0,BROOKLYN,997769.0,172278.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.63952960074872,-73.95128855589117,"(40.639529600748716, -73.95128855589117)",True,True,False
26355310,09/22/2013 02:39:41 AM,09/22/2013 07:50:21 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11226,1236 ROGERS AVENUE,ROGERS AVENUE,NEWKIRK AVENUE,FOSTER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/22/2013 10:39:41 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/22/2013 07:50:21 AM,17 BROOKLYN,3052130043.0,BROOKLYN,997769.0,172278.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.63952960074872,-73.95128855589117,"(40.639529600748716, -73.95128855589117)",True,True,False
26358722,09/22/2013 02:45:39 AM,09/22/2013 07:51:23 AM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11226,1236 ROGERS AVENUE,ROGERS AVENUE,NEWKIRK AVENUE,FOSTER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/22/2013 10:45:39 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/22/2013 07:51:23 AM,17 BROOKLYN,3052130043.0,BROOKLYN,997769.0,172278.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.63952960074872,-73.95128855589117,"(40.639529600748716, -73.95128855589117)",False,True,False
26360857,09/23/2013 12:28:55 AM,09/23/2013 12:50:48 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11226,1236 ROGERS AVENUE,ROGERS AVENUE,NEWKIRK AVENUE,FOSTER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/23/2013 08:28:55 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/23/2013 12:50:48 AM,17 BROOKLYN,3052130043.0,BROOKLYN,997769.0,172278.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.63952960074872,-73.95128855589117,"(40.639529600748716, -73.95128855589117)",True,True,False
26411603,09/30/2013 02:47:12 AM,09/30/2013 03:29:23 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11226,1236 ROGERS AVENUE,ROGERS AVENUE,NEWKIRK AVENUE,FOSTER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/30/2013 10:47:12 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/30/2013 03:29:23 AM,17 BROOKLYN,3052130043.0,BROOKLYN,997769.0,172278.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.63952960074872,-73.95128855589117,"(40.639529600748716, -73.95128855589117)",True,True,False
26437055,10/05/2013 01:24:46 AM,10/05/2013 02:05:47 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11226,1236 ROGERS AVENUE,ROGERS AVENUE,NEWKIRK AVENUE,FOSTER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/05/2013 09:24:46 AM,The Police Department responded to the complaint and took action to fix the condition.,10/05/2013 02:05:47 AM,17 BROOKLYN,3052130043.0,BROOKLYN,997769.0,172278.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.63952960074872,-73.95128855589117,"(40.639529600748716, -73.95128855589117)",True,True,False
26437911,10/05/2013 01:47:23 AM,10/05/2013 01:56:09 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11226,1236 ROGERS AVENUE,ROGERS AVENUE,NEWKIRK AVENUE,FOSTER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/05/2013 09:47:23 AM,The Police Department responded to the complaint and took action to fix the condition.,10/05/2013 01:56:09 AM,17 BROOKLYN,3052130043.0,BROOKLYN,997769.0,172278.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.63952960074872,-73.95128855589117,"(40.639529600748716, -73.95128855589117)",True,True,False
26442717,10/06/2013 12:25:41 AM,10/06/2013 02:38:49 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11226,1236 ROGERS AVENUE,ROGERS AVENUE,NEWKIRK AVENUE,FOSTER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/06/2013 08:25:41 AM,The Police Department responded to the complaint and took action to fix the condition.,10/06/2013 02:38:49 AM,17 BROOKLYN,3052130043.0,BROOKLYN,997769.0,172278.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.63952960074872,-73.95128855589117,"(40.639529600748716, -73.95128855589117)",True,True,False
