Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
27177147,01/17/2014 02:44:58 AM,01/17/2014 05:38:36 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10462.0,1237 CASTLE HILL AVENUE,CASTLE HILL AVENUE,ELLIS AVENUE,NEWBOLD AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,01/17/2014 10:44:58 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/17/2014 05:36:52 AM,09 BRONX,2038130048.0,BRONX,1025403.0,242772.0,PHONE,Unspecified,BRONX,,,,,,,,40.832932564750315,-73.85128707911524,"(40.83293256475031, -73.85128707911524)",True,False,False
28291702,06/18/2014 03:31:00 PM,06/20/2014 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,10462.0,1237 CASTLE HILL AVENUE,CASTLE HILL AVENUE,ELLIS AVENUE,NEWBOLD AVENUE,,,ADDRESS,BRONX,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,06/20/2014 12:00:00 PM,09 BRONX,2038130048.0,BRONX,1025403.0,242772.0,ONLINE,Unspecified,BRONX,,,,,,,,40.832932564750315,-73.85128707911524,"(40.83293256475031, -73.85128707911524)",True,True,False
28947694,09/24/2014 09:32:56 PM,09/25/2014 04:26:15 AM,NYPD,New York City Police Department,Drinking,Underage - Licensed Est,Club/Bar/Restaurant,10462.0,1237 CASTLE HILL AVENUE,CASTLE HILL AVENUE,ELLIS AVENUE,NEWBOLD AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,09/25/2014 05:32:56 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/25/2014 04:26:15 AM,09 BRONX,2038130048.0,BRONX,1025403.0,242772.0,PHONE,Unspecified,BRONX,,,,,,,,40.832932564750315,-73.85128707911524,"(40.83293256475031, -73.85128707911524)",True,True,False
19472371,12/28/2010 11:02:00 AM,12/28/2010 01:15:00 PM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10462.0,1237 CASTLE HILL AVENUE,CASTLE HILL AVENUE,ELLIS AVE,NEWBOLD AVE,,,ADDRESS,BRONX,,,Closed,,The Department of Environmental Protection investigated this complaint and resolved the sewer backup issue.,12/28/2010 01:15:00 PM,09 BRONX,2038130048.0,BRONX,1025403.0,242772.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.832932564750315,-73.85128707911524,"(40.83293256475031, -73.85128707911524)",False,False,False
19472382,12/28/2010 11:44:00 AM,12/28/2010 11:44:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10462.0,1237 CASTLE HILL AVENUE,CASTLE HILL AVENUE,ELLIS AVE,NEWBOLD AVE,,,ADDRESS,BRONX,,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",12/28/2010 11:44:00 AM,09 BRONX,2038130048.0,BRONX,1025403.0,242772.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.832932564750315,-73.85128707911524,"(40.83293256475031, -73.85128707911524)",False,False,False
25850936,07/01/2013 05:28:00 PM,07/02/2013 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,10462.0,1237 CASTLE HILL AVENUE,CASTLE HILL AVENUE,ELLIS AVENUE,NEWBOLD AVENUE,,,ADDRESS,BRONX,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,07/02/2013 12:00:00 PM,09 BRONX,2038130048.0,BRONX,1025403.0,242772.0,PHONE,Unspecified,BRONX,,,,,,,,40.832932564750315,-73.85128707911524,"(40.83293256475031, -73.85128707911524)",True,False,False
25894944,07/08/2013 04:34:00 PM,07/09/2013 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,10462.0,1237 CASTLE HILL AVENUE,CASTLE HILL AVENUE,ELLIS AVENUE,NEWBOLD AVENUE,,,ADDRESS,BRONX,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,07/09/2013 12:00:00 PM,09 BRONX,2038130048.0,BRONX,1025403.0,242772.0,ONLINE,Unspecified,BRONX,,,,,,,,40.832932564750315,-73.85128707911524,"(40.83293256475031, -73.85128707911524)",True,False,False
25897216,07/08/2013 04:30:00 PM,07/09/2013 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10462.0,1237 CASTLE HILL AVENUE,CASTLE HILL AVENUE,ELLIS AVENUE,NEWBOLD AVENUE,,,ADDRESS,BRONX,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,07/09/2013 12:00:00 PM,09 BRONX,2038130048.0,BRONX,1025403.0,242772.0,ONLINE,Unspecified,BRONX,,,,,,,,40.832932564750315,-73.85128707911524,"(40.83293256475031, -73.85128707911524)",True,False,False
27171521,01/17/2014 09:47:00 AM,01/18/2014 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,10462.0,1237 CASTLE HILL AVENUE,CASTLE HILL AVENUE,ELLIS AVENUE,NEWBOLD AVENUE,,,ADDRESS,BRONX,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,01/18/2014 12:00:00 PM,09 BRONX,2038130048.0,BRONX,1025403.0,242772.0,ONLINE,Unspecified,BRONX,,,,,,,,40.832932564750315,-73.85128707911524,"(40.83293256475031, -73.85128707911524)",True,False,False
27863079,04/18/2014 02:14:00 AM,04/18/2014 05:06:54 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10462,1237 CASTLE HILL AVENUE,CASTLE HILL AVENUE,ELLIS AVENUE,NEWBOLD AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,04/18/2014 10:14:00 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/18/2014 05:05:59 AM,09 BRONX,2038130048.0,BRONX,1025403.0,242772.0,PHONE,Unspecified,BRONX,,,,,,,,40.832932564750315,-73.85128707911524,"(40.83293256475031, -73.85128707911524)",True,True,False
