Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
29131678,12/05/2011 08:00:40 PM,12/06/2011 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Facade - Defective/Cracking (Ll11/98),,11419.0,124-20 LIBERTY AVENUE,LIBERTY AVENUE,124 STREET,125 STREET,,,ADDRESS,South Richmond Hill,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,12/06/2011 12:00:00 AM,10 QUEENS,4095780010.0,QUEENS,1034193.0,189940.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.687877286760994,-73.81991558645119,"(40.687877286760994, -73.81991558645119)",True,False,False
26572720,10/27/2013 07:13:34 PM,,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Commercial Building,11419.0,124-20 LIBERTY AVENUE,LIBERTY AVENUE,124 STREET,125 STREET,,,ADDRESS,SOUTH RICHMOND HILL,,,Assigned,12/03/2013 07:13:34 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",10/28/2013 04:14:00 PM,10 QUEENS,4095780010.0,QUEENS,1034193.0,189940.0,PHONE,Unspecified,QUEENS,,,,,,,,40.687877286760994,-73.81991558645119,"(40.687877286760994, -73.81991558645119)",True,True,False
24202570,10/15/2012 04:15:25 PM,01/01/1900 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,11419.0,124-20 LIBERTY AVENUE,LIBERTY AVENUE,124 STREET,125 STREET,,,ADDRESS,SOUTH RICHMOND HILL,,,Assigned,11/21/2012 04:15:25 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",10/16/2012 03:54:10 PM,10 QUEENS,4095780010.0,QUEENS,1034193.0,189940.0,PHONE,Unspecified,QUEENS,,,,,,,,40.687877286760994,-73.81991558645119,"(40.687877286760994, -73.81991558645119)",True,False,False
20001370,03/10/2011 05:04:43 PM,01/01/1900 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,11419.0,124-20 LIBERTY AVENUE,LIBERTY AVENUE,124 STREET,125 STREET,,,ADDRESS,SOUTH RICHMOND HILL,,,Assigned,04/16/2011 05:04:43 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",03/15/2011 05:25:01 PM,10 QUEENS,4095780010.0,QUEENS,1034193.0,189940.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.687877286760994,-73.81991558645119,"(40.687877286760994, -73.81991558645119)",True,False,False
24207550,10/15/2012 04:46:00 PM,10/16/2012 12:00:00 PM,DSNY,P - Queens,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,11419.0,124-20 LIBERTY AVENUE,LIBERTY AVENUE,124 STREET,125 STREET,,,ADDRESS,SOUTH RICHMOND HILL,,,Closed,,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",10/16/2012 12:00:00 PM,10 QUEENS,4095780010.0,QUEENS,1034193.0,189940.0,PHONE,Unspecified,QUEENS,,,,,,,,40.687877286760994,-73.81991558645119,"(40.687877286760994, -73.81991558645119)",True,False,False
24208058,10/15/2012 04:42:00 PM,10/18/2012 12:00:00 PM,DSNY,A - Queens,Other Enforcement,E6 Commercial Waste Disposal,Sidewalk,11419.0,124-20 LIBERTY AVENUE,LIBERTY AVENUE,124 STREET,125 STREET,,,ADDRESS,SOUTH RICHMOND HILL,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,10/18/2012 12:00:00 PM,10 QUEENS,4095780010.0,QUEENS,1034193.0,189940.0,PHONE,Unspecified,QUEENS,,,,,,,,40.687877286760994,-73.81991558645119,"(40.687877286760994, -73.81991558645119)",True,False,False
26633270,11/06/2013 09:41:00 AM,11/08/2013 12:00:00 PM,DSNY,P - Queens,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,11419.0,124-20 LIBERTY AVENUE,LIBERTY AVENUE,124 STREET,125 STREET,,,ADDRESS,South Richmond Hill,,,Closed,,"The Department of Sanitation will note this location for periodic surveillance, which may take place at various times.",11/08/2013 12:00:00 PM,10 QUEENS,4095780010.0,QUEENS,1034193.0,189940.0,PHONE,Unspecified,QUEENS,,,,,,,,40.687877286760994,-73.81991558645119,"(40.687877286760994, -73.81991558645119)",True,True,False
26634464,11/06/2013 09:45:00 AM,11/06/2013 12:00:00 PM,DSNY,Queens East 10,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11419.0,124-20 LIBERTY AVENUE,LIBERTY AVENUE,124 STREET,125 STREET,,,ADDRESS,South Richmond Hill,,,Closed,,The Department of Sanitation removed the items.,11/06/2013 12:00:00 PM,10 QUEENS,4095780010.0,QUEENS,1034193.0,189940.0,PHONE,Unspecified,QUEENS,,,,,,,,40.687877286760994,-73.81991558645119,"(40.687877286760994, -73.81991558645119)",True,True,False
21622482,10/11/2011 04:07:00 PM,10/12/2011 12:00:00 PM,DSNY,Queens East 10,Overflowing Litter Baskets,6 Overflowing Litter Baskets,Sidewalk,11419.0,124-20 LIBERTY AVENUE,LIBERTY AVENUE,124 STREET,125 STREET,,,ADDRESS,SOUTH RICHMOND HILL,,,Closed,,The Department of Sanitation removed the items.,10/12/2011 12:00:00 PM,10 QUEENS,4095780010.0,QUEENS,1034193.0,189940.0,PHONE,Unspecified,QUEENS,,,,,,,,40.687877286760994,-73.81991558645119,"(40.687877286760994, -73.81991558645119)",False,False,False
19929542,02/28/2011 06:44:19 PM,05/10/2011 12:29:54 PM,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Ventilation,Commercial Building,11419,124-20 LIBERTY AVENUE,LIBERTY AVENUE,124 STREET,125 STREET,,,ADDRESS,SOUTH RICHMOND HILL,,,Closed,04/14/2011 06:44:19 PM,The Department of Health and Mental Hygiene has reviewed the complaint and has referred it to another Office/Bureau/Agency,05/10/2011 12:29:54 PM,10 QUEENS,4095780010.0,QUEENS,1034193.0,189940.0,PHONE,Unspecified,QUEENS,,,,,,,,40.687877286760994,-73.81991558645119,"(40.687877286760994, -73.81991558645119)",True,False,False
