Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
15990798,02/12/2010 04:54:57 PM,02/12/2010 06:34:45 PM,NYPD,New York City Police Department,Traffic/Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10003,125 EAST 11 STREET,EAST 11 STREET,4 AVENUE,3 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,02/13/2010 12:54:57 AM,,02/12/2010 12:00:00 AM,03 MANHATTAN,1005560068.0,MANHATTAN,987107.0,205887.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.73178846496097,-73.9896914512527,"(40.73178846496097, -73.9896914512527)",False,False,False
16102773,02/28/2010 04:19:25 PM,02/28/2010 08:20:05 PM,NYPD,New York City Police Department,Traffic/Illegal Parking,Blocked Crosswalk,Street/Sidewalk,10003.0,125 EAST 11 STREET,EAST 11 STREET,4 AVENUE,3 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,03/01/2010 12:19:25 AM,,02/28/2010 12:00:00 AM,03 MANHATTAN,1005560068.0,MANHATTAN,987107.0,205887.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.73178846496097,-73.9896914512527,"(40.73178846496097, -73.9896914512527)",False,False,False
16407748,04/08/2010 12:49:38 PM,04/08/2010 12:49:38 PM,DOB,Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,,10003,125 EAST 11 STREET,EAST 11 STREET,4 AVENUE,3 AVENUE,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,04/08/2010 12:00:00 AM,03 MANHATTAN,1005560068.0,MANHATTAN,987107.0,205887.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.73178846496097,-73.9896914512527,"(40.73178846496097, -73.9896914512527)",True,False,False
16466939,04/17/2010 03:44:11 PM,04/17/2010 06:40:02 PM,NYPD,New York City Police Department,Traffic/Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,10003,125 EAST 11 STREET,EAST 11 STREET,4 AVENUE,3 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,04/17/2010 11:44:11 PM,,04/17/2010 12:00:00 AM,03 MANHATTAN,1005560068.0,MANHATTAN,987107.0,205887.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.73178846496097,-73.9896914512527,"(40.73178846496097, -73.9896914512527)",False,False,False
16508778,04/24/2010 01:21:51 AM,05/20/2010 02:12:44 AM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,10003,125 EAST 11 STREET,EAST 11 STREET,4 AVENUE,3 AVENUE,,,ADDRESS,NEW YORK,,,Closed,05/20/2010 01:27:14 PM,,05/20/2010 12:00:00 AM,03 MANHATTAN,1005560068.0,MANHATTAN,987107.0,205887.0,PHONE,Unspecified,MANHATTAN,,,Intersection,,,,,40.73178846496097,-73.9896914512527,"(40.73178846496097, -73.9896914512527)",False,False,False
16562110,05/02/2010 01:28:06 AM,05/02/2010 01:41:55 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10003,125 EAST 11 STREET,EAST 11 STREET,4 AVENUE,3 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,05/02/2010 09:28:06 AM,,05/02/2010 12:00:00 AM,03 MANHATTAN,1005560068.0,MANHATTAN,987107.0,205887.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.73178846496097,-73.9896914512527,"(40.73178846496097, -73.9896914512527)",True,False,False
16580199,05/04/2010 11:11:40 PM,05/05/2010 12:50:39 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10003,125 EAST 11 STREET,EAST 11 STREET,4 AVENUE,3 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,05/05/2010 07:11:40 AM,,05/05/2010 12:00:00 AM,03 MANHATTAN,1005560068.0,MANHATTAN,987107.0,205887.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.73178846496097,-73.9896914512527,"(40.73178846496097, -73.9896914512527)",True,False,False
16697556,05/21/2010 01:21:04 AM,05/21/2010 06:14:13 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10003,125 EAST 11 STREET,EAST 11 STREET,4 AVENUE,3 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,05/21/2010 09:21:04 AM,,05/21/2010 12:00:00 AM,03 MANHATTAN,1005560068.0,MANHATTAN,987107.0,205887.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.73178846496097,-73.9896914512527,"(40.73178846496097, -73.9896914512527)",True,False,False
16763107,05/30/2010 10:49:28 PM,05/30/2010 11:11:39 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10003.0,125 EAST 11 STREET,EAST 11 STREET,4 AVENUE,3 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,05/31/2010 06:49:28 AM,,05/30/2010 12:00:00 AM,03 MANHATTAN,1005560068.0,MANHATTAN,987107.0,205887.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.73178846496097,-73.9896914512527,"(40.73178846496097, -73.9896914512527)",True,False,False
16835725,06/10/2010 04:23:37 AM,06/10/2010 04:42:10 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10003,125 EAST 11 STREET,EAST 11 STREET,4 AVENUE,3 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,06/10/2010 12:23:37 PM,,06/10/2010 12:00:00 AM,03 MANHATTAN,1005560068.0,MANHATTAN,987107.0,205887.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.73178846496097,-73.9896914512527,"(40.73178846496097, -73.9896914512527)",True,False,False
