Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
16827426,06/08/2010 08:09:00 PM,06/14/2010 07:45:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10009.0,125 ST MARKS PLACE,ST MARKS PLACE,1 AVE,AVENUE A,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/14/2010 07:45:00 PM,03 MANHATTAN,1004360034.0,MANHATTAN,988569.0,204228.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.72723432247521,-73.98441736803314,"(40.72723432247521, -73.98441736803314)",True,False,False
16388577,04/06/2010 12:47:29 PM,04/07/2010 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Debris - Falling Or In Danger Of Falling,,10009,125 ST MARKS PLACE,ST MARKS PLACE,1 AVENUE,AVENUE A,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,04/07/2010 12:00:00 AM,03 MANHATTAN,1004360034.0,MANHATTAN,988569.0,204228.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.72723432247521,-73.98441736803314,"(40.72723432247521, -73.98441736803314)",True,False,False
16864325,06/14/2010 05:35:58 PM,06/22/2010 12:00:00 AM,DOB,Department of Buildings,Emergency Response Team (ERT),After Hours Work - Illegal,,10009,125 ST MARKS PLACE,ST MARKS PLACE,1 AVENUE,AVENUE A,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,06/22/2010 12:00:00 AM,03 MANHATTAN,1004360034.0,MANHATTAN,988569.0,204228.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.72723432247521,-73.98441736803314,"(40.72723432247521, -73.98441736803314)",False,False,False
16832909,06/08/2010 08:17:08 PM,07/14/2010 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,,10009,125 ST MARKS PLACE,ST MARKS PLACE,1 AVENUE,AVENUE A,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,07/14/2010 12:00:00 AM,03 MANHATTAN,1004360034.0,MANHATTAN,988569.0,204228.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.72723432247521,-73.98441736803314,"(40.72723432247521, -73.98441736803314)",True,False,False
16908436,06/21/2010 11:51:19 PM,06/22/2010 02:08:58 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10009.0,125 ST MARKS PLACE,ST MARKS PLACE,1 AVENUE,AVENUE A,,,ADDRESS,NEW YORK,,Precinct,Closed,06/22/2010 07:51:19 AM,,06/22/2010 12:00:00 AM,03 MANHATTAN,1004360034.0,MANHATTAN,988569.0,204228.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72723432247521,-73.98441736803314,"(40.72723432247521, -73.98441736803314)",True,False,False
18344928,07/26/2010 09:42:32 PM,07/26/2010 11:01:25 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10009,125 ST MARKS PLACE,ST MARKS PLACE,1 AVENUE,AVENUE A,,,ADDRESS,NEW YORK,,Precinct,Closed,07/27/2010 05:42:32 AM,,07/26/2010 12:00:00 AM,03 MANHATTAN,1004360034.0,MANHATTAN,988569.0,204228.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72723432247521,-73.98441736803314,"(40.72723432247521, -73.98441736803314)",True,False,False
18438295,08/08/2010 03:58:52 PM,08/08/2010 04:28:35 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10009,125 ST MARKS PLACE,ST MARKS PLACE,1 AVENUE,AVENUE A,,,ADDRESS,NEW YORK,,Precinct,Closed,08/08/2010 11:58:52 PM,,08/08/2010 12:00:00 AM,03 MANHATTAN,1004360034.0,MANHATTAN,988569.0,204228.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72723432247521,-73.98441736803314,"(40.72723432247521, -73.98441736803314)",True,False,False
18538240,08/23/2010 09:46:03 PM,08/23/2010 10:23:43 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10009,125 ST MARKS PLACE,ST MARKS PLACE,1 AVENUE,AVENUE A,,,ADDRESS,NEW YORK,,Precinct,Closed,08/24/2010 05:46:03 AM,,08/23/2010 12:00:00 AM,03 MANHATTAN,1004360034.0,MANHATTAN,988569.0,204228.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72723432247521,-73.98441736803314,"(40.72723432247521, -73.98441736803314)",True,False,False
18971192,10/25/2010 09:38:21 PM,10/25/2010 10:53:17 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10009,125 ST MARKS PLACE,ST MARKS PLACE,1 AVENUE,AVENUE A,,,ADDRESS,NEW YORK,,Precinct,Closed,10/26/2010 05:38:21 AM,The Police Department responded to the complaint and took action to fix the condition.,10/25/2010 12:00:00 AM,03 MANHATTAN,1004360034.0,MANHATTAN,988569.0,204228.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72723432247521,-73.98441736803314,"(40.72723432247521, -73.98441736803314)",True,False,False
20325182,04/28/2011 11:43:04 PM,04/29/2011 01:41:04 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10009,125 ST MARKS PLACE,ST MARKS PLACE,1 AVENUE,AVENUE A,,,ADDRESS,NEW YORK,,Precinct,Closed,04/29/2011 07:43:04 AM,The Police Department responded to the complaint and took action to fix the condition.,04/29/2011 01:41:04 AM,03 MANHATTAN,1004360034.0,MANHATTAN,988569.0,204228.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72723432247521,-73.98441736803314,"(40.72723432247521, -73.98441736803314)",True,False,False
