Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
19918375,02/26/2011 03:29:00 PM,02/27/2011 12:00:00 PM,DSNY,BCC - Bronx,Missed Collection (All Materials),1 Missed Collection,Sidewalk,10472.0,1250 MORRISON AVENUE,MORRISON AVENUE,WESTCHESTER AVENUE,EAST 172 STREET,,,ADDRESS,BRONX,,DSNY Garage,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,02/27/2011 12:00:00 PM,09 BRONX,2037780024.0,BRONX,1018878.0,241930.0,PHONE,Unspecified,BRONX,,,,,,,,40.83064951300121,-73.87487051728903,"(40.830649513001205, -73.87487051728903)",False,False,False
20558612,06/02/2011 08:22:00 AM,06/03/2011 12:00:00 PM,DSNY,BCC - Bronx,Missed Collection (All Materials),1 Missed Collection,Sidewalk,10472.0,1250 MORRISON AVENUE,MORRISON AVENUE,WESTCHESTER AVENUE,EAST 172 STREET,,,ADDRESS,BRONX,,DSNY Garage,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,06/03/2011 12:00:00 PM,09 BRONX,2037780024.0,BRONX,1018878.0,241930.0,PHONE,Unspecified,BRONX,,,,,,,,40.83064951300121,-73.87487051728903,"(40.830649513001205, -73.87487051728903)",False,False,False
23889181,08/28/2012 01:31:00 PM,08/29/2012 12:00:00 PM,DSNY,BCC - Bronx,Missed Collection (All Materials),1 Missed Collection,Sidewalk,10472.0,1250 MORRISON AVENUE,MORRISON AVENUE,WESTCHESTER AVENUE,EAST 172 STREET,,,ADDRESS,BRONX,,DSNY Garage,Closed,,The Department of Sanitation picked up the items and determined that the missed collection complaint was not warranted because the items were placed out for collection on the wrong day.,08/29/2012 12:00:00 PM,09 BRONX,2037780024.0,BRONX,1018878.0,241930.0,PHONE,Unspecified,BRONX,,,,,,,,40.83064951300121,-73.87487051728903,"(40.830649513001205, -73.87487051728903)",False,True,False
16117653,03/02/2010 05:55:08 PM,03/02/2010 08:52:08 PM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10472,1250 MORRISON AVENUE,MORRISON AVENUE,WESTCHESTER AVENUE,EAST 172 STREET,,,ADDRESS,BRONX,,Precinct,Closed,03/03/2010 01:55:08 AM,,03/02/2010 12:00:00 AM,09 BRONX,2037780024.0,BRONX,1018878.0,241930.0,PHONE,Unspecified,BRONX,,,,,,,,40.83064951300121,-73.87487051728903,"(40.830649513001205, -73.87487051728903)",True,False,False
16127586,03/03/2010 03:30:46 PM,03/03/2010 04:38:20 PM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10472,1250 MORRISON AVENUE,MORRISON AVENUE,WESTCHESTER AVENUE,EAST 172 STREET,,,ADDRESS,BRONX,,Precinct,Closed,03/03/2010 11:30:46 PM,,03/03/2010 12:00:00 AM,09 BRONX,2037780024.0,BRONX,1018878.0,241930.0,PHONE,Unspecified,BRONX,,,,,,,,40.83064951300121,-73.87487051728903,"(40.830649513001205, -73.87487051728903)",True,False,False
16127596,03/03/2010 02:55:14 PM,03/03/2010 04:38:21 PM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10472,1250 MORRISON AVENUE,MORRISON AVENUE,WESTCHESTER AVENUE,EAST 172 STREET,,,ADDRESS,BRONX,,Precinct,Closed,03/03/2010 10:55:14 PM,,03/03/2010 12:00:00 AM,09 BRONX,2037780024.0,BRONX,1018878.0,241930.0,PHONE,Unspecified,BRONX,,,,,,,,40.83064951300121,-73.87487051728903,"(40.830649513001205, -73.87487051728903)",True,False,False
16226974,03/16/2010 08:49:36 AM,03/16/2010 03:26:56 PM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10472,1250 MORRISON AVENUE,MORRISON AVENUE,WESTCHESTER AVENUE,EAST 172 STREET,,,ADDRESS,BRONX,,Precinct,Closed,03/16/2010 04:49:36 PM,,03/16/2010 12:00:00 AM,09 BRONX,2037780024.0,BRONX,1018878.0,241930.0,PHONE,Unspecified,BRONX,,,,,,,,40.83064951300121,-73.87487051728903,"(40.830649513001205, -73.87487051728903)",True,False,False
16236589,03/17/2010 10:45:17 AM,03/17/2010 07:11:02 PM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10472,1250 MORRISON AVENUE,MORRISON AVENUE,WESTCHESTER AVENUE,EAST 172 STREET,,,ADDRESS,BRONX,,Precinct,Closed,03/17/2010 06:45:17 PM,,03/17/2010 12:00:00 AM,09 BRONX,2037780024.0,BRONX,1018878.0,241930.0,PHONE,Unspecified,BRONX,,,,,,,,40.83064951300121,-73.87487051728903,"(40.830649513001205, -73.87487051728903)",True,False,False
16281144,03/23/2010 06:57:25 PM,03/23/2010 08:43:59 PM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10472,1250 MORRISON AVENUE,MORRISON AVENUE,WESTCHESTER AVENUE,EAST 172 STREET,,,ADDRESS,BRONX,,Precinct,Closed,03/24/2010 02:57:25 AM,,03/23/2010 12:00:00 AM,09 BRONX,2037780024.0,BRONX,1018878.0,241930.0,PHONE,Unspecified,BRONX,,,,,,,,40.83064951300121,-73.87487051728903,"(40.830649513001205, -73.87487051728903)",True,False,False
16345791,03/31/2010 08:29:26 PM,03/31/2010 10:21:12 PM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10472,1250 MORRISON AVENUE,MORRISON AVENUE,WESTCHESTER AVENUE,EAST 172 STREET,,,ADDRESS,BRONX,,Precinct,Closed,04/01/2010 04:29:26 AM,,03/31/2010 12:00:00 AM,09 BRONX,2037780024.0,BRONX,1018878.0,241930.0,PHONE,Unspecified,BRONX,,,,,,,,40.83064951300121,-73.87487051728903,"(40.830649513001205, -73.87487051728903)",True,False,False
