Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
16358147,04/01/2010 06:53:00 PM,04/20/2010 02:35:00 PM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11434.0,127-08 MERRICK BOULEVARD,MERRICK BOULEVARD,127 AVE,ANDERSON RD,,,ADDRESS,Jamaica,,,Closed,,The Department of Environmental Protection investigated the issue and found that the water source mentioned was not City water and therefore not under City jurisdiction.,04/20/2010 02:35:00 PM,12 QUEENS,4125280105.0,QUEENS,1049437.0,187588.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.68132246131228,-73.76497177577912,"(40.68132246131228, -73.76497177577913)",True,False,False
15939234,02/05/2010 11:41:50 AM,03/08/2010 03:46:56 PM,DOT,Department of Transportation,Sidewalk Condition,Sidewalk Violation,Sidewalk,11434.0,127-08 MERRICK BOULEVARD,MERRICK BOULEVARD,127 AVENUE,ANDERSON ROAD,,,ADDRESS,JAMAICA,,,Closed,03/07/2010 11:41:50 AM,,03/08/2010 12:00:00 AM,12 QUEENS,4125280105.0,QUEENS,1049352.0,187642.0,PHONE,Unspecified,QUEENS,,,,,,,,40.68147130407107,-73.76527771554805,"(40.68147130407107, -73.76527771554805)",False,False,False
16292504,03/24/2010 10:20:47 AM,04/08/2010 10:33:06 AM,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11434,127-08 MERRICK BOULEVARD,MERRICK BOULEVARD,127 AVENUE,ANDERSON ROAD,,,ADDRESS,JAMAICA,,,Closed,04/24/2010 07:09:00 AM,,04/08/2010 12:00:00 AM,12 QUEENS,4125280105.0,QUEENS,1049352.0,187642.0,PHONE,Unspecified,QUEENS,,,,,,,,40.68147130407107,-73.76527771554805,"(40.68147130407107, -73.76527771554805)",True,False,False
16452609,04/15/2010 10:01:02 AM,,DPR,Department of Parks and Recreation,Damaged Tree,Tree Leaning/Uprooted,Street,11434,127-08 MERRICK BOULEVARD,MERRICK BOULEVARD,127 AVENUE,ANDERSON ROAD,,,ADDRESS,JAMAICA,,,Open,04/23/2010 10:01:02 AM,,,12 QUEENS,4125280105.0,QUEENS,1049352.0,187642.0,PHONE,Unspecified,QUEENS,,,,,,,,40.68147130407107,-73.76527771554805,"(40.68147130407107, -73.76527771554805)",False,False,False
16452610,04/15/2010 10:06:17 AM,04/15/2010 12:01:29 PM,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Sidewalk Consultation,Street,11434,127-08 MERRICK BOULEVARD,MERRICK BOULEVARD,127 AVENUE,ANDERSON ROAD,,,ADDRESS,JAMAICA,,,Closed,05/15/2010 10:06:17 AM,,04/15/2010 12:00:00 AM,12 QUEENS,4125280105.0,QUEENS,1049352.0,187642.0,PHONE,Unspecified,QUEENS,,,,,,,,40.68147130407107,-73.76527771554805,"(40.68147130407107, -73.76527771554805)",True,False,False
16907520,06/21/2010 01:25:00 PM,06/21/2010 02:25:08 PM,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,Street,11434.0,127-08 MERRICK BOULEVARD,MERRICK BOULEVARD,127 AVENUE,ANDERSON ROAD,,,ADDRESS,JAMAICA,,,Closed,06/29/2010 01:25:00 PM,,06/21/2010 12:00:00 AM,12 QUEENS,4125280105.0,QUEENS,1049352.0,187642.0,PHONE,Unspecified,QUEENS,,,,,,,,40.68147130407107,-73.76527771554805,"(40.68147130407107, -73.76527771554805)",False,False,False
21619826,10/11/2011 11:52:30 AM,10/11/2011 05:22:15 PM,DOB,DOB Inspections - Queens,Construction,Initial - CO,Street Address,11434.0,127-08 MERRICK BOULEVARD,MERRICK BOULEVARD,127 AVENUE,ANDERSON ROAD,,,ADDRESS,JAMAICA,,,Closed,10/15/2011 11:52:30 AM,The Department of Buildings contacted you and scheduled an inspection. See Notes to Customer for more details.,10/11/2011 05:22:15 PM,12 QUEENS,4125280105.0,QUEENS,1049352.0,187642.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.68147130407107,-73.76527771554805,"(40.68147130407107, -73.76527771554805)",False,False,False
22762695,02/23/2012 04:46:09 PM,02/27/2012 10:19:25 AM,DOB,DOB Inspections - Queens,Construction,Initial - PA,Street Address,11434.0,127-08 MERRICK BOULEVARD,MERRICK BOULEVARD,127 AVENUE,ANDERSON ROAD,,,ADDRESS,JAMAICA,,,Closed,02/27/2012 04:46:09 PM,The Department of Buildings contacted you and scheduled an inspection. See Notes to Customer for more details.,02/27/2012 10:19:25 AM,12 QUEENS,4125280105.0,QUEENS,1049352.0,187642.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.68147130407107,-73.76527771554805,"(40.68147130407107, -73.76527771554805)",False,True,False
22851621,03/09/2012 01:07:20 PM,03/09/2012 04:06:16 PM,DOB,DOB Inspections - Queens,Construction,Re-Inspect - No Show,,11434,127-08 MERRICK BOULEVARD,MERRICK BOULEVARD,127 AVENUE,ANDERSON ROAD,,,ADDRESS,JAMAICA,,,Closed,03/13/2012 01:07:20 PM,The Department of Buildings contacted you and scheduled an inspection. See Notes to Customer for more details.,03/09/2012 04:05:46 PM,12 QUEENS,4125280105.0,QUEENS,1049352.0,187642.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.68147130407107,-73.76527771554805,"(40.68147130407107, -73.76527771554805)",False,True,False
24246658,10/22/2012 05:23:55 PM,10/23/2012 08:23:43 AM,DOB,DOB Inspections - Queens,Construction,Initial - PA,Street Address,11434,127-08 MERRICK BOULEVARD,MERRICK BOULEVARD,127 AVENUE,ANDERSON ROAD,,,ADDRESS,JAMAICA,,,Closed,10/26/2012 05:23:55 PM,The Department of Buildings contacted you and scheduled an inspection. See Notes to Customer for more details.,10/23/2012 08:23:43 AM,12 QUEENS,4125280105.0,QUEENS,1049352.0,187642.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.68147130407107,-73.76527771554805,"(40.68147130407107, -73.76527771554805)",False,True,True
