Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
35524344,02/18/2017 11:17:16 PM,02/19/2017 01:24:38 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10306,130 LINCOLN AVENUE,LINCOLN AVENUE,SOUTH RAILROAD AVENUE,EDISON STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,02/19/2017 07:17:16 AM,The Police Department responded to the complaint and took action to fix the condition.,02/19/2017 01:24:38 AM,02 STATEN ISLAND,5036030044.0,STATEN ISLAND,954218.0,150264.0,MOBILE,Unspecified,STATEN ISLAND,,,,,,,,40.57906513842803,-74.10811287953392,"(40.57906513842802, -74.10811287953392)",True,True,False
35538403,02/21/2017 10:29:00 PM,02/22/2017 03:24:15 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10306,130 LINCOLN AVENUE,LINCOLN AVENUE,SOUTH RAILROAD AVENUE,EDISON STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,02/22/2017 06:29:00 AM,The Police Department responded to the complaint and took action to fix the condition.,02/22/2017 03:24:15 AM,02 STATEN ISLAND,5036030044.0,STATEN ISLAND,954218.0,150264.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.57906513842803,-74.10811287953392,"(40.57906513842802, -74.10811287953392)",True,True,False
28216602,06/09/2014 04:04:23 PM,06/16/2014 11:05:30 AM,DOT,Department of Transportation,Broken Muni Meter,Coin or Card Did Not Register,Street,10306.0,130 LINCOLN AVENUE,LINCOLN AVENUE,SOUTH RAILROAD AVENUE,EDISON STREET,,,ADDRESS,STATEN ISLAND,,,Closed,06/29/2014 04:04:23 PM,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",06/16/2014 11:05:30 AM,02 STATEN ISLAND,5036030044.0,STATEN ISLAND,954218.0,150264.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.57906513842803,-74.10811287953392,"(40.57906513842802, -74.10811287953392)",False,False,False
30580009,05/09/2015 04:13:59 PM,07/15/2015 12:00:00 AM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,10306.0,130 LINCOLN AVENUE,LINCOLN AVENUE,,,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,07/15/2015 12:00:00 AM,02 STATEN ISLAND,5036030044.0,STATEN ISLAND,954218.0,150264.0,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.57906513842803,-74.10811287953392,"(40.57906513842802, -74.10811287953392)",True,False,False
31136949,07/22/2015 07:19:04 AM,07/23/2015 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Working Contrary To Stop Work Order,,10306.0,130 LINCOLN AVENUE,LINCOLN AVENUE,,,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,07/23/2015 12:00:00 AM,02 STATEN ISLAND,5036030044.0,STATEN ISLAND,954218.0,150264.0,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.57906513842803,-74.10811287953392,"(40.57906513842802, -74.10811287953392)",True,False,False
31225538,08/03/2015 07:01:00 PM,,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10306.0,130 LINCOLN AVENUE,LINCOLN AVENUE,S RAILROAD AVE,EDISON ST,,,ADDRESS,STATEN ISLAND,,,Open,,,,02 STATEN ISLAND,5036030044.0,STATEN ISLAND,954218.0,150264.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.57906513842803,-74.10811287953392,"(40.57906513842802, -74.10811287953392)",True,False,False
18473236,08/12/2010 07:02:00 PM,08/13/2010 12:00:00 PM,DSNY,BCC - Staten Island,Sanitation Condition,12 Dead Animals,Sidewalk,10306.0,130 LINCOLN AVENUE,LINCOLN AVENUE,SOUTH RAILROAD AVENUE,EDISON STREET,,,ADDRESS,STATEN ISLAND,,DSNY Garage,Closed,,The Department of Sanitation cleaned the location.,08/13/2010 12:00:00 AM,02 STATEN ISLAND,5036030044.0,STATEN ISLAND,954218.0,150264.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.57906513842803,-74.10811287953392,"(40.57906513842802, -74.10811287953392)",True,False,False
23085696,04/19/2012 11:44:00 AM,04/22/2012 09:15:00 AM,DEP,Department of Environmental Protection,Sewer,Manhole Cover Broken/Making Noise (SB),,10306.0,130 LINCOLN AVENUE,LINCOLN AVENUE,S RAILROAD AVE,EDISON ST,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Environmental Protection investigated this complaint and resolved the issue with the sewer manhole cover.,04/22/2012 09:15:00 AM,02 STATEN ISLAND,5036030044.0,STATEN ISLAND,954218.0,150264.0,OTHER,Unspecified,STATEN ISLAND,,,,,,,,40.57906513842803,-74.10811287953392,"(40.57906513842802, -74.10811287953392)",False,False,False
24514809,12/01/2012 02:30:00 PM,12/06/2012 12:00:00 PM,DSNY,A - Staten Island,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10306.0,130 LINCOLN AVENUE,LINCOLN AVENUE,SOUTH RAILROAD AVENUE,EDISON STREET,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,12/06/2012 12:00:00 PM,02 STATEN ISLAND,5036030044.0,STATEN ISLAND,954218.0,150264.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.57906513842803,-74.10811287953392,"(40.57906513842802, -74.10811287953392)",True,False,False
25845041,06/29/2013 06:16:00 AM,07/07/2013 12:00:00 PM,DEP,Department of Environmental Protection,Sewer,Manhole Cover Broken/Making Noise (SB),,10306.0,130 LINCOLN AVENUE,LINCOLN AVENUE,S RAILROAD AVE,EDISON ST,,,ADDRESS,STATEN ISLAND,,,Closed,,"The status of this Service Request is currently not available online. Please call 311 for further assistance. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",07/07/2013 12:00:00 PM,02 STATEN ISLAND,5036030044.0,STATEN ISLAND,954218.0,150264.0,OTHER,Unspecified,STATEN ISLAND,,,,,,,,40.57906513842803,-74.10811287953392,"(40.57906513842802, -74.10811287953392)",False,False,False
