Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26510386,10/19/2013 01:41:13 AM,10/19/2013 03:48:27 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002,131 CHRYSTIE STREET,CHRYSTIE STREET,BROOME STREET,DELANCEY STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/19/2013 09:41:13 AM,The Police Department responded to the complaint and took action to fix the condition.,10/19/2013 03:48:27 AM,03 MANHATTAN,1004240032.0,MANHATTAN,986130.0,201362.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.71936870099545,-73.99321789983325,"(40.71936870099545, -73.99321789983325)",True,True,False
26612274,11/02/2013 11:01:33 PM,11/03/2013 12:38:35 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10002.0,131 CHRYSTIE STREET,CHRYSTIE STREET,BROOME STREET,DELANCEY STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,11/03/2013 07:01:33 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/03/2013 12:38:35 AM,03 MANHATTAN,1004240032.0,MANHATTAN,986130.0,201362.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71936870099545,-73.99321789983325,"(40.71936870099545, -73.99321789983325)",True,True,False
15804487,01/25/2010 09:32:39 AM,04/30/2010 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10002,131 CHRYSTIE STREET,CHRYSTIE STREET,BROOME STREET,DELANCEY STREET,,,ADDRESS,NEW YORK,,,Closed,,The City has removed the graffiti from this property.,04/30/2010 01:13:41 PM,03 MANHATTAN,1004240032.0,MANHATTAN,986130.0,201362.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.71936870099545,-73.99321789983325,"(40.71936870099545, -73.99321789983325)",True,False,False
17570648,07/02/2010 01:30:55 PM,08/04/2010 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10002,131 CHRYSTIE STREET,CHRYSTIE STREET,BROOME STREET,DELANCEY STREET,,,ADDRESS,NEW YORK,,,Closed,,"The City inspected the property for cleaning, but no graffiti was found.",08/04/2010 11:38:00 AM,03 MANHATTAN,1004240032.0,MANHATTAN,986130.0,201362.0,OTHER,Unspecified,MANHATTAN,,,,,,,,40.71936870099545,-73.99321789983325,"(40.71936870099545, -73.99321789983325)",True,False,False
18692692,09/15/2010 08:39:09 AM,09/20/2010 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10002.0,131 CHRYSTIE STREET,CHRYSTIE STREET,BROOME STREET,DELANCEY STREET,,,ADDRESS,NEW YORK,,,Closed,,The City has removed the graffiti from this property.,09/20/2010 10:47:54 AM,03 MANHATTAN,1004240032.0,MANHATTAN,986130.0,201362.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.71936870099545,-73.99321789983325,"(40.71936870099545, -73.99321789983325)",True,False,False
18797856,09/29/2010 10:51:35 PM,10/01/2010 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Debris - Falling Or In Danger Of Falling,,10002,131 CHRYSTIE STREET,CHRYSTIE STREET,BROOME STREET,DELANCEY STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and issued an Environmental Control Board violation.,10/01/2010 12:00:00 AM,03 MANHATTAN,1004240032.0,MANHATTAN,986130.0,201362.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.71936870099545,-73.99321789983325,"(40.71936870099545, -73.99321789983325)",True,False,False
18997863,10/28/2010 09:04:44 AM,11/04/2010 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10002.0,131 CHRYSTIE STREET,CHRYSTIE STREET,BROOME STREET,DELANCEY STREET,,,ADDRESS,NEW YORK,,,Closed,,The City has removed the graffiti from this property.,11/04/2010 10:53:06 AM,03 MANHATTAN,1004240032.0,MANHATTAN,986130.0,201362.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.71936870099545,-73.99321789983325,"(40.71936870099545, -73.99321789983325)",True,False,False
20418735,04/25/2011 02:25:39 PM,08/11/2011 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,10002,131 CHRYSTIE STREET,CHRYSTIE STREET,BROOME STREET,DELANCEY STREET,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",08/11/2011 12:00:00 AM,03 MANHATTAN,1004240032.0,MANHATTAN,986130.0,201362.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.71936870099545,-73.99321789983325,"(40.71936870099545, -73.99321789983325)",True,False,False
21354707,09/03/2011 01:39:38 AM,09/03/2011 01:39:52 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10002.0,131 CHRYSTIE STREET,CHRYSTIE STREET,BROOME STREET,DELANCEY STREET,,,ADDRESS,NEW YORK,,,Closed,,Thank you for your report. The City will use the information you provided for tracking and reporting purposes. 311 will not have any further status information.,09/03/2011 01:41:13 AM,03 MANHATTAN,1004240032.0,MANHATTAN,986130.0,201362.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.71936870099545,-73.99321789983325,"(40.71936870099545, -73.99321789983325)",True,False,False
21663429,10/16/2011 12:54:03 AM,10/16/2011 12:54:47 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10002.0,131 CHRYSTIE STREET,CHRYSTIE STREET,BROOME STREET,DELANCEY STREET,,,ADDRESS,NEW YORK,,,Closed,,Thank you for your report. The City will use the information you provided for tracking and reporting purposes. 311 will not have any further status information.,10/16/2011 12:56:00 AM,03 MANHATTAN,1004240032.0,MANHATTAN,986130.0,201362.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.71936870099545,-73.99321789983325,"(40.71936870099545, -73.99321789983325)",True,False,False
