Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26343225,09/19/2013 12:29:49 PM,09/23/2013 01:04:09 PM,DOT,Department of Transportation,Broken Muni Meter,Out of Order,Street,10002,138 LUDLOW STREET,LUDLOW STREET,RIVINGTON STREET,STANTON STREET,,,ADDRESS,NEW YORK,,,Closed,10/09/2013 12:29:49 PM,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",09/23/2013 01:04:09 PM,03 MANHATTAN,1004110042.0,MANHATTAN,987529.0,201746.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72042228058381,-73.98817082018844,"(40.72042228058381, -73.98817082018844)",False,False,False
26349546,09/20/2013 04:50:13 AM,09/23/2013 01:05:39 PM,DOT,Department of Transportation,Broken Muni Meter,No Receipt,Street,10002,138 LUDLOW STREET,LUDLOW STREET,RIVINGTON STREET,STANTON STREET,,,ADDRESS,NEW YORK,,,Closed,10/11/2013 04:50:13 AM,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",09/23/2013 01:05:39 PM,03 MANHATTAN,1004110042.0,MANHATTAN,987529.0,201746.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72042228058381,-73.98817082018844,"(40.72042228058381, -73.98817082018844)",False,False,False
35501802,02/15/2017 12:50:29 PM,02/23/2017 10:30:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,10002,138 LUDLOW STREET,LUDLOW STREET,RIVINGTON STREET,STANTON STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,02/23/2017 10:30:00 AM,03 MANHATTAN,1004110042.0,MANHATTAN,987529.0,201746.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.72042228058381,-73.98817082018844,"(40.72042228058381, -73.98817082018844)",False,True,False
26340744,09/19/2013 06:24:32 PM,09/23/2013 01:05:24 PM,DOT,Department of Transportation,Broken Muni Meter,No Receipt,Street,10002,138 LUDLOW STREET,LUDLOW STREET,RIVINGTON STREET,STANTON STREET,,,ADDRESS,NEW YORK,,,Closed,10/10/2013 06:24:32 PM,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",09/23/2013 01:05:24 PM,03 MANHATTAN,1004110042.0,MANHATTAN,987529.0,201746.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72042228058381,-73.98817082018844,"(40.72042228058381, -73.98817082018844)",False,False,False
26650497,11/08/2013 10:46:24 PM,11/08/2013 10:55:24 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002.0,138 LUDLOW STREET,LUDLOW STREET,RIVINGTON STREET,STANTON STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,11/09/2013 06:46:24 AM,The Police Department responded to the complaint and took action to fix the condition.,11/08/2013 10:55:24 PM,03 MANHATTAN,1004110042.0,MANHATTAN,987529.0,201746.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72042228058381,-73.98817082018844,"(40.72042228058381, -73.98817082018844)",True,False,False
27046847,01/03/2014 03:25:19 AM,01/03/2014 04:14:04 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002.0,138 LUDLOW STREET,LUDLOW STREET,RIVINGTON STREET,STANTON STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,01/03/2014 11:25:19 AM,The Police Department responded to the complaint and took action to fix the condition.,01/03/2014 04:14:04 AM,03 MANHATTAN,1004110042.0,MANHATTAN,987529.0,201746.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72042228058381,-73.98817082018844,"(40.72042228058381, -73.98817082018844)",True,False,False
27055512,01/04/2014 11:46:58 PM,01/05/2014 12:14:05 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002.0,138 LUDLOW STREET,LUDLOW STREET,RIVINGTON STREET,STANTON STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,01/05/2014 07:46:58 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/05/2014 12:14:05 AM,03 MANHATTAN,1004110042.0,MANHATTAN,987529.0,201746.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72042228058381,-73.98817082018844,"(40.72042228058381, -73.98817082018844)",True,False,False
27095495,01/08/2014 10:22:41 PM,01/08/2014 11:01:55 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002,138 LUDLOW STREET,LUDLOW STREET,RIVINGTON STREET,STANTON STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,01/09/2014 06:22:41 AM,The Police Department responded to the complaint and took action to fix the condition.,01/08/2014 11:01:55 PM,03 MANHATTAN,1004110042.0,MANHATTAN,987529.0,201746.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72042228058381,-73.98817082018844,"(40.72042228058381, -73.98817082018844)",True,False,False
27109506,01/10/2014 12:18:29 AM,01/10/2014 12:51:08 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002,138 LUDLOW STREET,LUDLOW STREET,RIVINGTON STREET,STANTON STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,01/10/2014 08:18:29 AM,The Police Department responded to the complaint and took action to fix the condition.,01/10/2014 12:51:08 AM,03 MANHATTAN,1004110042.0,MANHATTAN,987529.0,201746.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72042228058381,-73.98817082018844,"(40.72042228058381, -73.98817082018844)",True,False,False
27184031,01/19/2014 12:23:02 AM,01/19/2014 01:03:56 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002,138 LUDLOW STREET,LUDLOW STREET,RIVINGTON STREET,STANTON STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,01/19/2014 08:23:02 AM,The Police Department responded to the complaint and took action to fix the condition.,01/19/2014 01:03:56 AM,03 MANHATTAN,1004110042.0,MANHATTAN,987529.0,201746.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72042228058381,-73.98817082018844,"(40.72042228058381, -73.98817082018844)",True,False,False
