Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
27579472,03/06/2014 01:23:33 AM,03/06/2014 01:38:31 AM,NYPD,New York City Police Department,Non-Emergency Police Matter,Street Con Game,Street/Sidewalk,11435,139-37 JAMAICA AVENUE,JAMAICA AVENUE,143 STREET,144 STREET,,,ADDRESS,JAMAICA,,Precinct,Closed,03/06/2014 09:23:33 AM,The Police Department responded to the complaint and took action to fix the condition.,03/06/2014 01:38:11 AM,12 QUEENS,4096730019.0,QUEENS,1036413.0,195213.0,PHONE,Unspecified,QUEENS,,,,,,,,40.702337609906394,-73.8118699025886,"(40.7023376099064, -73.8118699025886)",True,True,False
27580808,03/06/2014 01:19:15 AM,03/06/2014 01:38:30 AM,NYPD,New York City Police Department,Drinking,Underage - Licensed Est,Club/Bar/Restaurant,11435,139-37 JAMAICA AVENUE,JAMAICA AVENUE,143 STREET,144 STREET,,,ADDRESS,JAMAICA,,Precinct,Closed,03/06/2014 09:19:15 AM,The Police Department responded to the complaint and took action to fix the condition.,03/06/2014 01:37:40 AM,12 QUEENS,4096730019.0,QUEENS,1036413.0,195213.0,PHONE,Unspecified,QUEENS,,,,,,,,40.702337609906394,-73.8118699025886,"(40.7023376099064, -73.8118699025886)",True,True,False
16054359,02/22/2010 05:04:10 PM,02/22/2010 08:42:01 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11435.0,139-37 JAMAICA AVENUE,JAMAICA AVENUE,143 STREET,144 STREET,,,ADDRESS,JAMAICA,,Precinct,Closed,02/23/2010 01:04:10 AM,,02/22/2010 12:00:00 AM,12 QUEENS,4096730019.0,QUEENS,1036413.0,195213.0,PHONE,Unspecified,QUEENS,,,,,,,,40.702337609906394,-73.8118699025886,"(40.7023376099064, -73.8118699025886)",True,False,False
18936458,10/20/2010 02:35:34 AM,10/20/2010 04:06:55 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11435,139-37 JAMAICA AVENUE,JAMAICA AVENUE,143 STREET,144 STREET,,,ADDRESS,JAMAICA,,Precinct,Closed,10/20/2010 10:35:34 AM,The Police Department responded to the complaint and took action to fix the condition.,10/20/2010 04:06:55 AM,12 QUEENS,4096730019.0,QUEENS,1036413.0,195213.0,PHONE,Unspecified,QUEENS,,,,,,,,40.702337609906394,-73.8118699025886,"(40.7023376099064, -73.8118699025886)",True,False,False
19095884,11/10/2010 10:44:30 PM,11/11/2010 02:22:09 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11435,139-37 JAMAICA AVENUE,JAMAICA AVENUE,143 STREET,144 STREET,,,ADDRESS,JAMAICA,,Precinct,Closed,11/11/2010 06:44:30 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/11/2010 12:00:00 AM,12 QUEENS,4096730019.0,QUEENS,1036413.0,195213.0,PHONE,Unspecified,QUEENS,,,,,,,,40.702337609906394,-73.8118699025886,"(40.7023376099064, -73.8118699025886)",True,False,False
19927735,02/27/2011 12:37:25 PM,03/03/2011 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Failure To Maintain,,11435,139-37 JAMAICA AVENUE,JAMAICA AVENUE,143 STREET,144 STREET,,,ADDRESS,JAMAICA,,,Closed,,The Department of Buildings investigated this complaint and issued an Environmental Control Board violation.,03/03/2011 12:00:00 AM,12 QUEENS,4096730019.0,QUEENS,1036413.0,195213.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.702337609906394,-73.8118699025886,"(40.7023376099064, -73.8118699025886)",True,False,False
20053693,03/16/2011 02:13:23 PM,04/04/2011 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Site Conditions Endangering Workers,,11435.0,139-37 JAMAICA AVENUE,JAMAICA AVENUE,143 STREET,144 STREET,,,ADDRESS,JAMAICA,,,Closed,,The Department of Buildings investigated this complaint and removed the stop work order.,04/04/2011 12:00:00 AM,12 QUEENS,4096730019.0,QUEENS,1036413.0,195213.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.702337609906394,-73.8118699025886,"(40.7023376099064, -73.8118699025886)",True,False,False
21447242,09/16/2011 12:35:04 AM,09/16/2011 01:49:45 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11435,139-37 JAMAICA AVENUE,JAMAICA AVENUE,143 STREET,144 STREET,,,ADDRESS,JAMAICA,,Precinct,Closed,09/16/2011 08:35:04 AM,The Police Department reviewed your complaint and provided additional information below.,09/16/2011 01:49:45 AM,12 QUEENS,4096730019.0,QUEENS,1036413.0,195213.0,PHONE,Unspecified,QUEENS,,,,,,,,40.702337609906394,-73.8118699025886,"(40.7023376099064, -73.8118699025886)",True,False,False
21455513,09/16/2011 12:11:27 PM,09/16/2011 03:28:22 PM,NYPD,New York City Police Department,Drinking,Underage - Licensed Est,Club/Bar/Restaurant,11435,139-37 JAMAICA AVENUE,JAMAICA AVENUE,143 STREET,144 STREET,,,ADDRESS,JAMAICA,,Precinct,Closed,09/16/2011 08:11:27 PM,The Police Department responded to the complaint and determined that police action was not necessary.,09/16/2011 03:28:22 PM,12 QUEENS,4096730019.0,QUEENS,1036413.0,195213.0,PHONE,Unspecified,QUEENS,,,,,,,,40.702337609906394,-73.8118699025886,"(40.7023376099064, -73.8118699025886)",True,False,False
22476551,01/08/2012 12:47:18 PM,01/09/2012 09:59:54 AM,DOB,DOB Inspections - Queens,Construction,Initial - CO,Street Address,11435,139-37 JAMAICA AVENUE,JAMAICA AVENUE,143 STREET,144 STREET,,,ADDRESS,JAMAICA,,,Closed,01/12/2012 12:47:18 PM,The Department of Buildings contacted you and scheduled an inspection. See Notes to Customer for more details.,01/09/2012 09:59:54 AM,12 QUEENS,4096730019.0,QUEENS,1036413.0,195213.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.702337609906394,-73.8118699025886,"(40.7023376099064, -73.8118699025886)",False,False,False
22479108,01/08/2012 12:44:03 PM,01/09/2012 09:57:15 AM,DOB,DOB Inspections - Queens,Construction,Initial - CO,Street Address,11435,139-37 JAMAICA AVENUE,JAMAICA AVENUE,143 STREET,144 STREET,,,ADDRESS,JAMAICA,,,Closed,01/12/2012 12:44:03 PM,The Department of Buildings contacted you and scheduled an inspection. See Notes to Customer for more details.,01/09/2012 09:57:15 AM,12 QUEENS,4096730019.0,QUEENS,1036413.0,195213.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.702337609906394,-73.8118699025886,"(40.7023376099064, -73.8118699025886)",False,False,False
22576363,01/23/2012 01:47:24 PM,01/24/2012 09:16:50 AM,DOB,DOB Inspections - Queens,Construction,Re-Inspect - Rslve Objections,Street Address,11435.0,139-37 JAMAICA AVENUE,JAMAICA AVENUE,143 STREET,144 STREET,,,ADDRESS,JAMAICA,,,Closed,01/27/2012 01:47:24 PM,The Department of Buildings contacted you and scheduled an inspection. See Notes to Customer for more details.,01/24/2012 09:16:50 AM,12 QUEENS,4096730019.0,QUEENS,1036413.0,195213.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.702337609906394,-73.8118699025886,"(40.7023376099064, -73.8118699025886)",False,False,False
