Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
28450206,07/11/2014 09:43:29 PM,07/12/2014 01:02:06 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10452.0,1404 OGDEN AVENUE,OGDEN AVENUE,WEST 171 STREET,BEND,,,ADDRESS,BRONX,,Precinct,Closed,07/12/2014 05:43:29 AM,The Police Department responded to the complaint and took action to fix the condition.,07/12/2014 01:02:07 AM,04 BRONX,2025220057.0,BRONX,1005285.0,246289.0,ONLINE,Unspecified,BRONX,,,,,,,,40.842656535366615,-73.92397559264802,"(40.84265653536661, -73.92397559264802)",True,False,False
28683943,08/14/2014 09:57:25 PM,08/15/2014 04:41:48 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10452.0,1404 OGDEN AVENUE,OGDEN AVENUE,WEST 171 STREET,BEND,,,ADDRESS,BRONX,,Precinct,Closed,08/15/2014 05:57:25 AM,The Police Department responded to the complaint and took action to fix the condition.,08/15/2014 04:41:48 AM,04 BRONX,2025220057.0,BRONX,1005285.0,246289.0,ONLINE,Unspecified,BRONX,,,,,,,,40.842656535366615,-73.92397559264802,"(40.84265653536661, -73.92397559264802)",True,False,False
31161510,07/25/2015 08:26:07 PM,07/25/2015 09:34:31 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10452,1404 OGDEN AVENUE,OGDEN AVENUE,WEST 171 STREET,BEND,,,ADDRESS,BRONX,,Precinct,Closed,07/26/2015 04:26:07 AM,The Police Department responded to the complaint and determined that police action was not necessary.,07/25/2015 09:34:31 PM,04 BRONX,2025220057.0,BRONX,1005285.0,246289.0,ONLINE,Unspecified,BRONX,,,,,,,,40.842656535366615,-73.92397559264802,"(40.84265653536661, -73.92397559264802)",True,True,False
31291195,08/11/2015 03:11:00 PM,08/11/2015 07:35:00 PM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10452.0,1404 OGDEN AVENUE,OGDEN AVENUE,WEST 171 ST,BEND,,,ADDRESS,BRONX,,,Closed,,"The Department of Environmental Protection has investigated this complaint. Upon investigation, there was no indication of a city sewer issue and there is a suspected sewer backup due to an internal plumbing issue.",08/11/2015 07:35:00 PM,04 BRONX,2025220057.0,BRONX,1005285.0,246289.0,PHONE,Unspecified,BRONX,,,,,,,,40.842656535366615,-73.92397559264802,"(40.84265653536661, -73.92397559264802)",False,True,False
31681967,10/05/2015 12:45:01 AM,10/05/2015 04:39:06 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10452.0,1404 OGDEN AVENUE,OGDEN AVENUE,WEST 171 STREET,BEND,,,ADDRESS,BRONX,,Precinct,Closed,10/05/2015 08:45:01 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/05/2015 04:39:07 AM,04 BRONX,2025220057.0,BRONX,1005285.0,246289.0,PHONE,Unspecified,BRONX,,,,,,,,40.842656535366615,-73.92397559264802,"(40.84265653536661, -73.92397559264802)",True,True,False
32291514,12/29/2015 12:05:23 PM,12/29/2015 02:42:37 PM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10452,1404 OGDEN AVENUE,OGDEN AVENUE,WEST 171 STREET,BEND,,,ADDRESS,BRONX,,Precinct,Closed,12/29/2015 08:05:23 PM,The Police Department responded to the complaint and took action to fix the condition.,12/29/2015 02:42:37 PM,04 BRONX,2025220057.0,BRONX,1005285.0,246289.0,PHONE,Unspecified,BRONX,,,,,,,,40.842656535366615,-73.92397559264802,"(40.84265653536661, -73.92397559264802)",True,True,False
32335874,01/05/2016 03:34:41 AM,01/05/2016 04:00:31 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10452,1404 OGDEN AVENUE,OGDEN AVENUE,WEST 171 STREET,BEND,,,ADDRESS,BRONX,,Precinct,Closed,01/05/2016 11:34:41 AM,The Police Department responded to the complaint and determined that police action was not necessary.,01/05/2016 04:00:31 PM,04 BRONX,2025220057.0,BRONX,1005285.0,246289.0,PHONE,Unspecified,BRONX,,,,,,,,40.842656535366615,-73.92397559264802,"(40.84265653536661, -73.92397559264802)",True,True,False
32432479,01/17/2016 01:33:18 AM,01/18/2016 01:07:22 AM,NYPD,New York City Police Department,Noise - Commercial,Car/Truck Music,Store/Commercial,10452.0,1404 OGDEN AVENUE,OGDEN AVENUE,WEST 171 STREET,BEND,,,ADDRESS,BRONX,,Precinct,Closed,01/17/2016 09:33:18 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/18/2016 01:07:22 AM,04 BRONX,2025220057.0,BRONX,1005285.0,246289.0,PHONE,Unspecified,BRONX,,,,,,,,40.842656535366615,-73.92397559264802,"(40.84265653536661, -73.92397559264802)",True,True,False
32436659,01/18/2016 12:49:10 AM,01/18/2016 08:18:13 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10452.0,1404 OGDEN AVENUE,OGDEN AVENUE,WEST 171 STREET,BEND,,,ADDRESS,BRONX,,Precinct,Closed,01/18/2016 08:49:10 AM,The Police Department responded to the complaint and took action to fix the condition.,01/18/2016 08:18:13 AM,04 BRONX,2025220057.0,BRONX,1005285.0,246289.0,PHONE,Unspecified,BRONX,,,,,,,,40.842656535366615,-73.92397559264802,"(40.84265653536661, -73.92397559264802)",True,True,False
32439292,01/18/2016 01:45:22 AM,01/18/2016 08:10:49 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10452.0,1404 OGDEN AVENUE,OGDEN AVENUE,WEST 171 STREET,BEND,,,ADDRESS,BRONX,,Precinct,Closed,01/18/2016 09:45:22 AM,The Police Department responded to the complaint and took action to fix the condition.,01/18/2016 08:10:49 AM,04 BRONX,2025220057.0,BRONX,1005285.0,246289.0,PHONE,Unspecified,BRONX,,,,,,,,40.842656535366615,-73.92397559264802,"(40.84265653536661, -73.92397559264802)",True,True,False
