Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
23713654,07/28/2012 09:45:00 AM,08/02/2012 12:00:00 PM,DSNY,A - Brooklyn,Dirty Conditions,E1 Improper Disposal,Sidewalk,11238.0,15 PUTNAM AVENUE,PUTNAM AVENUE,CAMBRIDGE PLACE,GRAND AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,08/02/2012 12:00:00 PM,02 BROOKLYN,3019810070.0,BROOKLYN,994819.0,187995.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68267330481374,-73.96189331126638,"(40.68267330481374, -73.96189331126637)",True,True,False
15889673,01/30/2010 03:52:48 AM,01/30/2010 04:19:04 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11238,15 PUTNAM AVENUE,PUTNAM AVENUE,CAMBRIDGE PLACE,GRAND AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/30/2010 11:52:48 AM,,01/30/2010 12:00:00 AM,02 BROOKLYN,3019810070.0,BROOKLYN,994819.0,187995.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68267330481374,-73.96189331126638,"(40.68267330481374, -73.96189331126637)",True,False,False
16668177,05/16/2010 04:17:18 AM,05/16/2010 07:17:00 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11238,15 PUTNAM AVENUE,PUTNAM AVENUE,CAMBRIDGE PLACE,GRAND AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/16/2010 12:17:18 PM,,05/16/2010 12:00:00 AM,02 BROOKLYN,3019810070.0,BROOKLYN,994819.0,187995.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68267330481374,-73.96189331126638,"(40.68267330481374, -73.96189331126637)",True,False,False
16709434,05/21/2010 07:51:48 AM,05/22/2010 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Failure to Comply with Vacate Order,,11238,15 PUTNAM AVENUE,PUTNAM AVENUE,CAMBRIDGE PLACE,GRAND AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,05/22/2010 12:00:00 AM,02 BROOKLYN,3019810070.0,BROOKLYN,994819.0,187995.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.68267330481374,-73.96189331126638,"(40.68267330481374, -73.96189331126637)",True,False,False
18266308,07/15/2010 11:17:12 PM,07/16/2010 02:21:27 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11238,15 PUTNAM AVENUE,PUTNAM AVENUE,CAMBRIDGE PLACE,GRAND AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,07/16/2010 07:17:12 AM,,07/16/2010 12:00:00 AM,02 BROOKLYN,3019810070.0,BROOKLYN,994819.0,187995.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68267330481374,-73.96189331126638,"(40.68267330481374, -73.96189331126637)",True,False,False
19123217,11/14/2010 09:54:32 PM,11/14/2010 11:18:11 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11238,15 PUTNAM AVENUE,PUTNAM AVENUE,CAMBRIDGE PLACE,GRAND AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/15/2010 05:54:32 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/14/2010 12:00:00 AM,02 BROOKLYN,3019810070.0,BROOKLYN,994819.0,187995.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68267330481374,-73.96189331126638,"(40.68267330481374, -73.96189331126637)",True,False,False
19160306,11/19/2010 11:38:49 PM,11/20/2010 12:52:11 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11238.0,15 PUTNAM AVENUE,PUTNAM AVENUE,CAMBRIDGE PLACE,GRAND AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/20/2010 07:38:49 AM,The Police Department responded to the complaint and took action to fix the condition.,11/20/2010 12:52:11 AM,02 BROOKLYN,3019810070.0,BROOKLYN,994819.0,187995.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68267330481374,-73.96189331126638,"(40.68267330481374, -73.96189331126637)",True,False,False
19173316,11/21/2010 11:18:03 PM,11/22/2010 02:44:38 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11238.0,15 PUTNAM AVENUE,PUTNAM AVENUE,CAMBRIDGE PLACE,GRAND AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/22/2010 07:18:03 AM,The Police Department responded to the complaint and took action to fix the condition.,11/22/2010 02:44:38 AM,02 BROOKLYN,3019810070.0,BROOKLYN,994819.0,187995.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68267330481374,-73.96189331126638,"(40.68267330481374, -73.96189331126637)",True,False,False
19380974,12/19/2010 11:27:44 PM,12/20/2010 04:35:00 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11238.0,15 PUTNAM AVENUE,PUTNAM AVENUE,CAMBRIDGE PLACE,GRAND AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/20/2010 07:27:44 AM,The Police Department responded to the complaint and took action to fix the condition.,12/20/2010 04:35:00 AM,02 BROOKLYN,3019810070.0,BROOKLYN,994819.0,187995.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68267330481374,-73.96189331126638,"(40.68267330481374, -73.96189331126637)",True,False,False
23722176,07/31/2012 10:52:52 PM,08/01/2012 05:33:45 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11238,15 PUTNAM AVENUE,PUTNAM AVENUE,CAMBRIDGE PLACE,GRAND AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,08/01/2012 06:52:52 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/01/2012 05:33:45 AM,02 BROOKLYN,3019810070.0,BROOKLYN,994819.0,187995.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68267330481374,-73.96189331126638,"(40.68267330481374, -73.96189331126637)",True,True,False
