Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26304206,09/12/2013 01:14:58 PM,09/17/2013 09:32:05 AM,DOT,Department of Transportation,Broken Muni Meter,No Receipt,Street,10013,150 VARICK STREET,VARICK STREET,SPRING STREET,VANDAM STREET,,,ADDRESS,NEW YORK,,,Closed,10/03/2013 01:14:58 PM,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",09/17/2013 09:32:05 AM,02 MANHATTAN,1005050001.0,MANHATTAN,982672.0,203830.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72614282299024,-74.00569321379687,"(40.72614282299024, -74.00569321379687)",False,True,False
26440450,10/05/2013 10:45:01 PM,10/05/2013 11:41:35 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10013,150 VARICK STREET,VARICK STREET,SPRING STREET,VANDAM STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/06/2013 06:45:01 AM,The Police Department responded to the complaint and took action to fix the condition.,10/05/2013 11:41:35 PM,02 MANHATTAN,1005050001.0,MANHATTAN,982672.0,203830.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72614282299024,-74.00569321379687,"(40.72614282299024, -74.00569321379687)",True,True,False
26828183,12/06/2013 12:02:22 PM,12/16/2013 01:58:22 PM,DOT,Department of Transportation,Broken Muni Meter,No Receipt,Street,10013,150 VARICK STREET,VARICK STREET,SPRING STREET,VANDAM STREET,,,ADDRESS,NEW YORK,,,Closed,12/27/2013 12:02:22 PM,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",12/16/2013 01:58:22 PM,02 MANHATTAN,1005050001.0,MANHATTAN,982672.0,203830.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72614282299024,-74.00569321379687,"(40.72614282299024, -74.00569321379687)",False,True,False
25594830,05/23/2013 02:49:00 PM,05/29/2013 01:30:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,10013.0,150 VARICK STREET,VARICK STREET,SPRING ST,VANDAM ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",05/29/2013 01:30:00 PM,02 MANHATTAN,1005050001.0,MANHATTAN,982672.0,203830.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72614282299024,-74.00569321379687,"(40.72614282299024, -74.00569321379687)",True,True,False
25744770,06/14/2013 11:13:00 AM,06/19/2013 03:00:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,10013.0,150 VARICK STREET,VARICK STREET,SPRING ST,VANDAM ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/19/2013 03:00:00 PM,02 MANHATTAN,1005050001.0,MANHATTAN,982672.0,203830.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72614282299024,-74.00569321379687,"(40.72614282299024, -74.00569321379687)",True,True,False
25964960,07/18/2013 09:43:00 AM,07/26/2013 12:00:00 PM,DSNY,A - Manhattan,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10013.0,150 VARICK STREET,VARICK STREET,SPRING STREET,VANDAM STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,07/26/2013 12:00:00 PM,02 MANHATTAN,1005050001.0,MANHATTAN,982672.0,203830.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72614282299024,-74.00569321379687,"(40.72614282299024, -74.00569321379687)",True,True,False
26594891,10/30/2013 09:06:00 AM,11/01/2013 12:00:00 PM,DSNY,Manhattan 02,Derelict Bicycle,14B Derelict Bicycle,Street,10013.0,150 VARICK STREET,VARICK STREET,SPRING STREET,VANDAM STREET,,,ADDRESS,NEW YORK,,DSNY Garage,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,11/01/2013 12:00:00 PM,02 MANHATTAN,1005050001.0,MANHATTAN,982672.0,203830.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72614282299024,-74.00569321379687,"(40.72614282299024, -74.00569321379687)",False,True,False
16106590,03/01/2010 10:51:55 AM,03/01/2010 01:07:28 PM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10013.0,150 VARICK STREET,VARICK STREET,SPRING STREET,VANDAM STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,03/01/2010 06:51:55 PM,,03/01/2010 12:00:00 AM,02 MANHATTAN,1005050001.0,MANHATTAN,982672.0,203830.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72614282299024,-74.00569321379687,"(40.72614282299024, -74.00569321379687)",False,False,False
16430600,04/12/2010 10:51:18 AM,04/12/2010 10:51:18 AM,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,,10013,150 VARICK STREET,VARICK STREET,SPRING STREET,VANDAM STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and issued Environmental Control Board and Department of Buildings violations.,04/12/2010 12:00:00 AM,02 MANHATTAN,1005050001.0,MANHATTAN,982672.0,203830.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.72614282299024,-74.00569321379687,"(40.72614282299024, -74.00569321379687)",True,False,False
16430601,04/12/2010 10:53:26 AM,04/12/2010 10:53:26 AM,DOB,Department of Buildings,General Construction/Plumbing,Egress - Doors Locked/Blocked/Improper/No Secondary Means,,10013,150 VARICK STREET,VARICK STREET,SPRING STREET,VANDAM STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and issued Environmental Control Board and Department of Buildings violations.,04/12/2010 12:00:00 AM,02 MANHATTAN,1005050001.0,MANHATTAN,982672.0,203830.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.72614282299024,-74.00569321379687,"(40.72614282299024, -74.00569321379687)",True,False,False
16797457,06/04/2010 03:51:47 PM,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Bare Hands in Contact w/ Food,Restaurant/Bar/Deli/Bakery,10013,150 VARICK STREET,VARICK STREET,SPRING STREET,VANDAM STREET,,,ADDRESS,NEW YORK,,,Pending,07/11/2010 03:51:47 PM,,06/04/2010 12:00:00 AM,02 MANHATTAN,1005050001.0,MANHATTAN,982672.0,203830.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.72614282299024,-74.00569321379687,"(40.72614282299024, -74.00569321379687)",True,False,False
16846093,06/11/2010 09:58:00 AM,06/13/2010 05:52:02 AM,DOT,Department of Transportation,Broken Muni Meter,No Receipt,Street,10013.0,150 VARICK STREET,VARICK STREET,SPRING STREET,VANDAM STREET,,,ADDRESS,NEW YORK,,,Closed,06/25/2010 09:58:00 AM,,06/13/2010 12:00:00 AM,02 MANHATTAN,1005050001.0,MANHATTAN,982672.0,203830.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72614282299024,-74.00569321379687,"(40.72614282299024, -74.00569321379687)",False,False,False
17572605,07/03/2010 11:18:04 AM,07/08/2010 03:27:10 PM,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Ventilation,Commercial Building,10013,150 VARICK STREET,VARICK STREET,SPRING STREET,VANDAM STREET,,,ADDRESS,NEW YORK,,,Closed,08/17/2010 11:18:04 AM,,07/08/2010 03:26:56 PM,02 MANHATTAN,1005050001.0,MANHATTAN,982672.0,203830.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72614282299024,-74.00569321379687,"(40.72614282299024, -74.00569321379687)",True,False,False
18266420,07/15/2010 07:13:06 PM,08/09/2010 02:12:34 AM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,10013,150 VARICK STREET,VARICK STREET,SPRING STREET,VANDAM STREET,,,ADDRESS,NEW YORK,,,Closed,08/09/2010 03:04:00 PM,,08/09/2010 12:00:00 AM,02 MANHATTAN,1005050001.0,MANHATTAN,982672.0,203830.0,PHONE,Unspecified,MANHATTAN,,,Other,,,,,40.72614282299024,-74.00569321379687,"(40.72614282299024, -74.00569321379687)",False,False,False
18514212,08/19/2010 07:46:31 AM,08/19/2010 09:25:35 AM,DOT,Department of Transportation,Street Condition,Cave-in,Street,10013,150 VARICK STREET,VARICK STREET,SPRING STREET,VANDAM STREET,,,ADDRESS,NEW YORK,,,Closed,08/29/2010 07:46:31 AM,,08/19/2010 12:00:00 AM,02 MANHATTAN,1005050001.0,MANHATTAN,982672.0,203830.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72614282299024,-74.00569321379687,"(40.72614282299024, -74.00569321379687)",False,False,False
18584928,08/30/2010 12:54:35 PM,08/30/2010 01:51:06 PM,DOT,Department of Transportation,Broken Muni Meter,No Receipt,Street,10013,150 VARICK STREET,VARICK STREET,SPRING STREET,VANDAM STREET,,,ADDRESS,NEW YORK,,,Closed,09/13/2010 12:54:35 PM,,08/30/2010 12:00:00 AM,02 MANHATTAN,1005050001.0,MANHATTAN,982672.0,203830.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72614282299024,-74.00569321379687,"(40.72614282299024, -74.00569321379687)",False,False,False
18682494,09/14/2010 01:48:13 PM,09/14/2010 03:42:40 PM,DOT,Department of Transportation,Broken Muni Meter,Coin or Card Did Not Register,Street,10013,150 VARICK STREET,VARICK STREET,SPRING STREET,VANDAM STREET,,,ADDRESS,NEW YORK,,,Closed,10/04/2010 01:48:13 PM,,09/14/2010 12:00:00 AM,02 MANHATTAN,1005050001.0,MANHATTAN,982672.0,203830.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72614282299024,-74.00569321379687,"(40.72614282299024, -74.00569321379687)",False,False,False
18840252,10/06/2010 09:32:27 AM,10/06/2010 01:31:28 PM,DOT,Department of Transportation,Broken Muni Meter,Out of Order,Street,10013,150 VARICK STREET,VARICK STREET,SPRING STREET,VANDAM STREET,,,ADDRESS,NEW YORK,,,Closed,10/26/2010 09:32:27 AM,"The condition was inspected and it was in compliance with Department of Transportation standards, not hazardous, or a valid permit exists.",10/06/2010 12:00:00 AM,02 MANHATTAN,1005050001.0,MANHATTAN,982672.0,203830.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72614282299024,-74.00569321379687,"(40.72614282299024, -74.00569321379687)",False,False,False
18917688,10/18/2010 02:59:08 PM,11/09/2010 02:12:36 AM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,10013,150 VARICK STREET,VARICK STREET,SPRING STREET,VANDAM STREET,,,ADDRESS,NEW YORK,,,Closed,11/09/2010 11:31:07 AM,The Taxi and Limousine Commission will send a confirmation letter in 14 days to confirm your complaint details. At the hearing you may be required to provide information regarding this complaint. Please note your Service Request number for future reference.,11/09/2010 02:11:23 AM,02 MANHATTAN,1005050001.0,MANHATTAN,982672.0,203830.0,PHONE,Unspecified,MANHATTAN,,,Intersection,,,,,40.72614282299024,-74.00569321379687,"(40.72614282299024, -74.00569321379687)",False,False,False
19094231,11/10/2010 06:30:56 PM,11/15/2010 11:36:41 AM,DOT,Department of Transportation,Street Condition,Failed Street Repair,Street,10013,150 VARICK STREET,VARICK STREET,SPRING STREET,VANDAM STREET,,,ADDRESS,NEW YORK,,,Closed,11/20/2010 06:30:56 PM,"The Department of Transportation inspected the condition and issued a Corrective Action Repair (CAR) to the contractor or utility company. The responsible party has a maximum of 30 days to correct the condition.  If the condition still exists, a summons will be issued.  In some cases, the Department of Transportation will make the repairs and charge the responsible party for the costs.",11/15/2010 12:00:00 AM,02 MANHATTAN,1005050001.0,MANHATTAN,982672.0,203830.0,OTHER,Unspecified,MANHATTAN,,,,,,,,40.72614282299024,-74.00569321379687,"(40.72614282299024, -74.00569321379687)",False,False,False
19177384,11/22/2010 11:17:34 PM,12/08/2010 01:07:29 AM,DCA,Department of Consumer Affairs,Consumer Complaint,False Advertising,,10013,150 VARICK STREET,VARICK STREET,SPRING STREET,VANDAM STREET,,,ADDRESS,NEW YORK,,,Closed,12/08/2010 12:40:55 PM,"The Department of Consumer Affairs mailed you a complaint form. If you received the form and have not yet completed it, please do so. Be sure to follow the instructions on the form and return it to DCA with all required documentation.     311 can assist those who have not received the complaint form by creating a new Service Request. Additionally, 311 can assist those who returned the form but want to inquire about the status of the filed complaint.",12/08/2010 01:07:29 AM,02 MANHATTAN,1005050001.0,MANHATTAN,982672.0,203830.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72614282299024,-74.00569321379687,"(40.72614282299024, -74.00569321379687)",True,False,False
19177385,11/22/2010 11:27:57 PM,12/08/2010 01:07:34 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Overcharge,,10013,150 VARICK STREET,VARICK STREET,SPRING STREET,VANDAM STREET,,,ADDRESS,NEW YORK,,,Closed,12/08/2010 02:19:34 PM,"The Department of Consumer Affairs mailed you a complaint form. If you received the form and have not yet completed it, please do so. Be sure to follow the instructions on the form and return it to DCA with all required documentation.     311 can assist those who have not received the complaint form by creating a new Service Request. Additionally, 311 can assist those who returned the form but want to inquire about the status of the filed complaint.",12/08/2010 01:07:34 AM,02 MANHATTAN,1005050001.0,MANHATTAN,982672.0,203830.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72614282299024,-74.00569321379687,"(40.72614282299024, -74.00569321379687)",True,False,False
19664551,01/24/2011 11:43:56 PM,02/15/2011 02:13:02 AM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,10013,150 VARICK STREET,VARICK STREET,SPRING STREET,VANDAM STREET,,,ADDRESS,NEW YORK,,,Closed,02/15/2011 02:03:46 PM,The Taxi and Limousine Commission will send a confirmation letter in 14 days to confirm your complaint details. At the hearing you may be required to provide information regarding this complaint. Please note your Service Request number for future reference.,02/15/2011 02:13:02 AM,02 MANHATTAN,1005050001.0,MANHATTAN,982672.0,203830.0,ONLINE,Unspecified,MANHATTAN,,,Other,,,,,40.72614282299024,-74.00569321379687,"(40.72614282299024, -74.00569321379687)",False,False,False
19979908,03/07/2011 10:30:14 PM,03/29/2011 02:11:46 AM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,10013.0,150 VARICK STREET,VARICK STREET,SPRING STREET,VANDAM STREET,,,ADDRESS,NEW YORK,,,Closed,03/29/2011 12:27:45 PM,The Taxi and Limousine Commission will send a confirmation letter in 14 days to confirm your complaint details. At the hearing you may be required to provide information regarding this complaint. Please note your Service Request number for future reference.,03/29/2011 02:11:46 AM,02 MANHATTAN,1005050001.0,MANHATTAN,982672.0,203830.0,ONLINE,Unspecified,MANHATTAN,,,Other,,,,,40.72614282299024,-74.00569321379687,"(40.72614282299024, -74.00569321379687)",False,False,False
20090989,03/19/2011 02:01:46 PM,03/23/2011 12:00:00 AM,DOB,Department of Buildings,Plumbing,Plumbing-Defective/Leaking/Not Maintained,,10013.0,150 VARICK STREET,VARICK STREET,SPRING STREET,VANDAM STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,03/23/2011 12:00:00 AM,02 MANHATTAN,1005050001.0,MANHATTAN,982672.0,203830.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.72614282299024,-74.00569321379687,"(40.72614282299024, -74.00569321379687)",True,False,False
20407894,05/11/2011 09:36:30 AM,05/11/2011 09:36:30 AM,DOB,Department of Buildings,General Construction/Plumbing,Failure To Maintain,,10013,150 VARICK STREET,VARICK STREET,SPRING STREET,VANDAM STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and issued an Environmental Control Board violation.,05/11/2011 12:00:00 AM,Unspecified MANHATTAN,1005050001.0,MANHATTAN,982672.0,203830.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.72614282299024,-74.00569321379687,"(40.72614282299024, -74.00569321379687)",True,False,False
20465242,05/19/2011 07:23:50 PM,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Food Contains Foreign Object,Restaurant/Bar/Deli/Bakery,10013,150 VARICK STREET,VARICK STREET,SPRING STREET,VANDAM STREET,,,ADDRESS,NEW YORK,,,Pending,06/25/2011 07:23:50 PM,The Department of Health and Mental Hygiene has received and processed your complaint.  All restaurants and mobile food vendors are inspected annually.  Restaurant inspection results can be found on WWW.NYC.GOV or a copy of the inspection can be requested from 311.,05/20/2011 06:19:48 PM,02 MANHATTAN,1005050001.0,MANHATTAN,982672.0,203830.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72614282299024,-74.00569321379687,"(40.72614282299024, -74.00569321379687)",True,False,False
20776530,07/06/2011 12:44:40 PM,08/08/2011 02:12:24 AM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,10013,150 VARICK STREET,VARICK STREET,SPRING STREET,VANDAM STREET,,,ADDRESS,NEW YORK,,,Closed,08/08/2011 01:48:00 PM,The Taxi and Limousine Commission will send a confirmation letter in 14 days to confirm your complaint details. At the hearing you may be required to provide information regarding this complaint. Please note your Service Request number for future reference.,08/08/2011 02:12:24 AM,02 MANHATTAN,1005050001.0,MANHATTAN,982672.0,203830.0,ONLINE,Unspecified,MANHATTAN,,,Other,,,,,40.72614282299024,-74.00569321379687,"(40.72614282299024, -74.00569321379687)",False,False,False
21609646,10/09/2011 12:56:49 AM,11/03/2011 02:12:55 AM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,10013,150 VARICK STREET,VARICK STREET,SPRING STREET,VANDAM STREET,,,ADDRESS,NEW YORK,,,Closed,11/03/2011 05:32:23 PM,The Taxi and Limousine Commission will send a confirmation letter in 14 days to confirm your complaint details. At the hearing you may be required to provide information regarding this complaint. Please note your Service Request number for future reference.,11/03/2011 02:12:55 AM,02 MANHATTAN,1005050001.0,MANHATTAN,982672.0,203830.0,ONLINE,Unspecified,MANHATTAN,,,Other,,,,,40.72614282299024,-74.00569321379687,"(40.72614282299024, -74.00569321379687)",False,False,False
