Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26566494,10/26/2013 03:33:35 AM,10/26/2013 08:37:27 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10033.0,1506 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,WEST 185 STREET,WEST 186 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/26/2013 11:33:35 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/26/2013 08:37:27 AM,12 MANHATTAN,1021570036.0,MANHATTAN,1003126.0,249687.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.85198792048085,-73.93176905150462,"(40.85198792048085, -73.93176905150462)",True,False,False
27122537,01/10/2014 11:04:07 PM,01/10/2014 11:29:23 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10033,1506 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,WEST 185 STREET,WEST 186 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,01/11/2014 07:04:07 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/10/2014 11:29:23 PM,12 MANHATTAN,1021570036.0,MANHATTAN,1003126.0,249687.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.85198792048085,-73.93176905150462,"(40.85198792048085, -73.93176905150462)",True,False,False
27282315,01/28/2014 03:51:55 AM,01/28/2014 08:26:04 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10033.0,1506 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,WEST 185 STREET,WEST 186 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,01/28/2014 11:51:55 AM,The Police Department responded to the complaint and took action to fix the condition.,01/28/2014 08:26:04 AM,12 MANHATTAN,1021570036.0,MANHATTAN,1003126.0,249687.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.85198792048085,-73.93176905150462,"(40.85198792048085, -73.93176905150462)",True,False,False
27477282,02/20/2014 04:18:09 AM,02/20/2014 10:51:52 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10033,1506 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,WEST 185 STREET,WEST 186 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,02/20/2014 12:18:09 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/20/2014 10:51:25 AM,12 MANHATTAN,1021570036.0,MANHATTAN,1003126.0,249687.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.85198792048085,-73.93176905150462,"(40.85198792048085, -73.93176905150462)",True,False,False
27478697,02/20/2014 03:46:41 AM,02/20/2014 10:52:58 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10033,1506 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,WEST 185 STREET,WEST 186 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,02/20/2014 11:46:41 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/20/2014 10:51:59 AM,12 MANHATTAN,1021570036.0,MANHATTAN,1003126.0,249687.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.85198792048085,-73.93176905150462,"(40.85198792048085, -73.93176905150462)",True,False,False
27486395,02/20/2014 04:03:43 AM,02/20/2014 10:51:53 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10033,1506 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,WEST 185 STREET,WEST 186 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,02/20/2014 12:03:43 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/20/2014 10:51:34 AM,12 MANHATTAN,1021570036.0,MANHATTAN,1003126.0,249687.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.85198792048085,-73.93176905150462,"(40.85198792048085, -73.93176905150462)",True,False,False
29234005,11/06/2014 07:43:00 PM,11/07/2014 01:10:34 AM,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Store/Commercial,10033,1506 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,WEST 185 STREET,WEST 186 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,11/07/2014 03:43:00 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/07/2014 01:10:34 AM,12 MANHATTAN,1021570036.0,MANHATTAN,1003126.0,249687.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.85198792048085,-73.93176905150462,"(40.85198792048085, -73.93176905150462)",True,False,False
29699335,01/12/2015 02:30:44 AM,01/12/2015 12:53:12 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10033,1506 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,WEST 185 STREET,WEST 186 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,01/12/2015 10:30:44 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/12/2015 12:53:13 PM,12 MANHATTAN,1021570036.0,MANHATTAN,1003126.0,249687.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.85198792048085,-73.93176905150462,"(40.85198792048085, -73.93176905150462)",True,False,False
30199987,03/17/2015 08:42:56 PM,03/18/2015 01:57:04 AM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,10033,1506 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,WEST 185 STREET,WEST 186 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,03/18/2015 04:42:56 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/18/2015 01:57:04 AM,12 MANHATTAN,1021570036.0,MANHATTAN,1003126.0,249687.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.85198792048085,-73.93176905150462,"(40.85198792048085, -73.93176905150462)",False,False,False
31300678,08/12/2015 09:55:50 PM,08/13/2015 03:28:33 AM,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Store/Commercial,10033.0,1506 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,WEST 185 STREET,WEST 186 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,08/13/2015 05:55:50 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/13/2015 03:28:33 AM,12 MANHATTAN,1021570036.0,MANHATTAN,1003126.0,249687.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.85198792048085,-73.93176905150462,"(40.85198792048085, -73.93176905150462)",True,False,False
