Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
27609177,03/10/2014 09:33:38 PM,03/11/2014 01:55:20 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10026.0,153 LENOX AVENUE,LENOX AVENUE,WEST 117 STREET,WEST 118 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,03/11/2014 05:33:38 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/11/2014 01:55:20 AM,10 MANHATTAN,1019020035.0,MANHATTAN,998390.0,231863.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.803074991486525,-73.94892579925812,"(40.80307499148652, -73.94892579925813)",True,False,False
29293068,11/14/2014 12:00:00 AM,11/18/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10026,153 LENOX AVENUE,LENOX AVENUE,WEST 117 STREET,WEST 118 STREET,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",11/18/2014 12:00:00 AM,10 MANHATTAN,1019020035.0,MANHATTAN,998390.0,231863.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.803074991486525,-73.94892579925812,"(40.80307499148652, -73.94892579925813)",True,False,False
30660152,05/20/2015 12:00:00 AM,06/09/2015 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL,COOKING GAS,RESIDENTIAL BUILDING,10026.0,153 LENOX AVENUE,LENOX AVENUE,,,,,ADDRESS,NEW YORK,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,06/09/2015 12:00:00 AM,10 MANHATTAN,1019020035.0,MANHATTAN,998390.0,231863.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.803074991486525,-73.94892579925812,"(40.80307499148652, -73.94892579925813)",True,True,False
15813021,01/26/2010 11:53:00 AM,01/27/2010 01:45:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10026.0,153 LENOX AVENUE,LENOX AVENUE,W 117 ST,W 118 ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",01/27/2010 01:45:00 PM,10 MANHATTAN,1019020035.0,MANHATTAN,998390.0,231863.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.803074991486525,-73.94892579925812,"(40.80307499148652, -73.94892579925813)",True,False,False
25583892,05/21/2013 07:04:00 AM,06/19/2013 12:00:00 PM,DSNY,A - Manhattan,Dirty Conditions,E11 Litter Surveillance,Sidewalk,10026.0,153 LENOX AVENUE,LENOX AVENUE,WEST 117 STREET,WEST 118 STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,06/19/2013 12:00:00 PM,10 MANHATTAN,1019020035.0,MANHATTAN,998390.0,231863.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.803074991486525,-73.94892579925812,"(40.80307499148652, -73.94892579925813)",True,False,False
28067205,05/17/2014 09:14:41 PM,05/18/2014 04:06:55 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10026.0,153 LENOX AVENUE,LENOX AVENUE,WEST 117 STREET,WEST 118 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,05/18/2014 05:14:41 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,05/18/2014 04:06:56 AM,10 MANHATTAN,1019020035.0,MANHATTAN,998390.0,231863.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.803074991486525,-73.94892579925812,"(40.80307499148652, -73.94892579925813)",True,False,False
28546427,07/24/2014 06:48:50 PM,07/25/2014 01:04:28 AM,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Street/Sidewalk,10026,153 LENOX AVENUE,LENOX AVENUE,WEST 117 STREET,WEST 118 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,07/25/2014 02:48:50 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/25/2014 01:04:28 AM,10 MANHATTAN,1019020035.0,MANHATTAN,998390.0,231863.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.803074991486525,-73.94892579925812,"(40.80307499148652, -73.94892579925813)",True,False,False
30524911,05/01/2015 08:26:58 PM,05/01/2015 08:48:16 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10026,153 LENOX AVENUE,LENOX AVENUE,WEST 117 STREET,WEST 118 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,05/02/2015 04:26:58 AM,The Police Department responded to the complaint and took action to fix the condition.,05/01/2015 08:48:16 PM,10 MANHATTAN,1019020035.0,MANHATTAN,998390.0,231863.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.803074991486525,-73.94892579925812,"(40.80307499148652, -73.94892579925813)",True,True,False
30682158,05/23/2015 04:33:36 PM,05/23/2015 05:00:05 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10026,153 LENOX AVENUE,LENOX AVENUE,WEST 117 STREET,WEST 118 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,05/24/2015 12:33:36 AM,The Police Department reviewed your complaint and provided additional information below.,05/23/2015 05:00:05 PM,10 MANHATTAN,1019020035.0,MANHATTAN,998390.0,231863.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.803074991486525,-73.94892579925812,"(40.80307499148652, -73.94892579925813)",True,True,False
30728346,05/29/2015 04:09:00 PM,06/01/2015 12:00:00 PM,DSNY,A - Manhattan,Recycling Enforcement,ER1 Resident Recyc. (Owner/Manager,Sidewalk,10026,153 LENOX AVENUE,LENOX AVENUE,,,,,ADDRESS,NEW YORK,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,06/01/2015 12:00:00 PM,10 MANHATTAN,1019020035.0,MANHATTAN,998390.0,231863.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.803074991486525,-73.94892579925812,"(40.80307499148652, -73.94892579925813)",False,True,False
