Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
18267066,07/15/2010 09:23:54 PM,07/15/2010 10:59:33 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10308,154 MANSION AVENUE,MANSION AVENUE,HILLSIDE TERRACE,WHITMAN AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,07/16/2010 05:23:54 AM,,07/15/2010 12:00:00 AM,03 STATEN ISLAND,5052070039.0,STATEN ISLAND,945019.0,137537.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.544096088789225,-74.14115468967245,"(40.54409608878923, -74.14115468967245)",True,False,False
17604329,07/08/2010 09:49:41 PM,07/08/2010 10:00:47 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10308,154 MANSION AVENUE,MANSION AVENUE,HILLSIDE TERRACE,WHITMAN AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,07/09/2010 05:49:41 AM,,07/08/2010 12:00:00 AM,03 STATEN ISLAND,5052070039.0,STATEN ISLAND,945019.0,137537.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.544096088789225,-74.14115468967245,"(40.54409608878923, -74.14115468967245)",True,False,False
18476018,08/13/2010 09:43:30 PM,08/13/2010 11:04:44 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10308,154 MANSION AVENUE,MANSION AVENUE,HILLSIDE TERRACE,WHITMAN AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,08/14/2010 05:43:30 AM,,08/13/2010 12:00:00 AM,03 STATEN ISLAND,5052070039.0,STATEN ISLAND,945019.0,137537.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.544096088789225,-74.14115468967245,"(40.54409608878923, -74.14115468967245)",True,False,False
18561098,08/26/2010 09:05:08 PM,08/26/2010 11:49:39 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10308.0,154 MANSION AVENUE,MANSION AVENUE,HILLSIDE TERRACE,WHITMAN AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,08/27/2010 05:05:08 AM,,08/26/2010 12:00:00 AM,03 STATEN ISLAND,5052070039.0,STATEN ISLAND,945019.0,137537.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.544096088789225,-74.14115468967245,"(40.54409608878923, -74.14115468967245)",True,False,False
20369272,05/05/2011 10:37:29 PM,05/06/2011 12:23:45 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10308,154 MANSION AVENUE,MANSION AVENUE,HILLSIDE TERRACE,WHITMAN AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,05/06/2011 06:37:29 AM,The Police Department responded to the complaint and took action to fix the condition.,05/06/2011 12:23:45 AM,03 STATEN ISLAND,5052070039.0,STATEN ISLAND,945019.0,137537.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.544096088789225,-74.14115468967245,"(40.54409608878923, -74.14115468967245)",True,False,False
20651056,06/16/2011 08:59:33 PM,06/17/2011 12:01:55 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10308,154 MANSION AVENUE,MANSION AVENUE,HILLSIDE TERRACE,WHITMAN AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,06/17/2011 04:59:33 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/17/2011 12:01:55 AM,03 STATEN ISLAND,5052070039.0,STATEN ISLAND,945019.0,137537.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.544096088789225,-74.14115468967245,"(40.54409608878923, -74.14115468967245)",True,False,False
20727618,06/28/2011 08:44:35 PM,06/28/2011 09:33:11 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10308,154 MANSION AVENUE,MANSION AVENUE,HILLSIDE TERRACE,WHITMAN AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,06/29/2011 04:44:35 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/28/2011 09:33:11 PM,03 STATEN ISLAND,5052070039.0,STATEN ISLAND,945019.0,137537.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.544096088789225,-74.14115468967245,"(40.54409608878923, -74.14115468967245)",True,False,False
20743628,06/30/2011 08:34:15 PM,06/30/2011 09:11:19 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10308,154 MANSION AVENUE,MANSION AVENUE,HILLSIDE TERRACE,WHITMAN AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,07/01/2011 04:34:15 AM,The Police Department responded to the complaint and took action to fix the condition.,06/30/2011 09:11:19 PM,03 STATEN ISLAND,5052070039.0,STATEN ISLAND,945019.0,137537.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.544096088789225,-74.14115468967245,"(40.54409608878923, -74.14115468967245)",True,False,False
20743895,06/30/2011 09:13:08 PM,06/30/2011 09:22:29 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10308,154 MANSION AVENUE,MANSION AVENUE,HILLSIDE TERRACE,WHITMAN AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,07/01/2011 05:13:08 AM,The Police Department responded to the complaint and took action to fix the condition.,06/30/2011 09:22:29 PM,03 STATEN ISLAND,5052070039.0,STATEN ISLAND,945019.0,137537.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.544096088789225,-74.14115468967245,"(40.54409608878923, -74.14115468967245)",True,False,False
20821883,07/13/2011 03:03:20 PM,07/13/2011 03:04:22 PM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10308.0,154 MANSION AVENUE,MANSION AVENUE,HILLSIDE TERRACE,WHITMAN AVENUE,,,ADDRESS,STATEN ISLAND,,,Closed,,Thank you for your report. The City will use the information you provided for tracking and reporting purposes. 311 will not have any further status information.,07/13/2011 03:05:39 PM,03 STATEN ISLAND,5052070039.0,STATEN ISLAND,945019.0,137537.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.544096088789225,-74.14115468967245,"(40.54409608878923, -74.14115468967245)",True,False,False
20877629,07/21/2011 08:37:48 PM,07/21/2011 10:22:16 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10308,154 MANSION AVENUE,MANSION AVENUE,HILLSIDE TERRACE,WHITMAN AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,07/22/2011 04:37:48 AM,,07/21/2011 10:22:16 PM,03 STATEN ISLAND,5052070039.0,STATEN ISLAND,945019.0,137537.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.544096088789225,-74.14115468967245,"(40.54409608878923, -74.14115468967245)",True,False,False
20925943,07/28/2011 09:28:33 PM,07/28/2011 11:00:29 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10308,154 MANSION AVENUE,MANSION AVENUE,HILLSIDE TERRACE,WHITMAN AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,07/29/2011 05:28:33 AM,,07/28/2011 11:00:29 PM,03 STATEN ISLAND,5052070039.0,STATEN ISLAND,945019.0,137537.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.544096088789225,-74.14115468967245,"(40.54409608878923, -74.14115468967245)",True,False,False
