Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26330562,09/18/2013 12:17:36 AM,09/18/2013 12:56:38 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11222,158 NORMAN AVENUE,NORMAN AVENUE,NEWEL STREET,DIAMOND STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/18/2013 08:17:36 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/18/2013 12:56:38 AM,01 BROOKLYN,3026510003.0,BROOKLYN,998641.0,204014.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.72663629269381,-73.94807880153184,"(40.72663629269381, -73.94807880153185)",True,True,False
26514448,10/19/2013 11:38:36 PM,10/20/2013 03:30:33 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11222,158 NORMAN AVENUE,NORMAN AVENUE,NEWEL STREET,DIAMOND STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/20/2013 07:38:36 AM,The Police Department responded to the complaint and took action to fix the condition.,10/20/2013 03:30:33 AM,01 BROOKLYN,3026510003.0,BROOKLYN,998641.0,204014.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.72663629269381,-73.94807880153184,"(40.72663629269381, -73.94807880153185)",True,True,False
26563692,10/26/2013 01:08:13 AM,10/26/2013 07:31:22 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11222.0,158 NORMAN AVENUE,NORMAN AVENUE,NEWEL STREET,DIAMOND STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/26/2013 09:08:13 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/26/2013 07:31:22 AM,01 BROOKLYN,3026510003.0,BROOKLYN,998641.0,204014.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.72663629269381,-73.94807880153184,"(40.72663629269381, -73.94807880153185)",True,True,False
26790444,12/01/2013 02:27:14 AM,12/01/2013 02:40:18 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11222,158 NORMAN AVENUE,NORMAN AVENUE,NEWEL STREET,DIAMOND STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/01/2013 10:27:14 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,12/01/2013 02:40:18 AM,01 BROOKLYN,3026510003.0,BROOKLYN,998641.0,204014.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.72663629269381,-73.94807880153184,"(40.72663629269381, -73.94807880153185)",True,True,False
18767190,09/26/2010 03:40:27 AM,09/26/2010 04:26:18 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11222,158 NORMAN AVENUE,NORMAN AVENUE,NEWEL STREET,DIAMOND STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/26/2010 11:40:27 AM,,09/26/2010 12:00:00 AM,01 BROOKLYN,3026510003.0,BROOKLYN,998641.0,204014.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.72663629269381,-73.94807880153184,"(40.72663629269381, -73.94807880153185)",True,False,False
22262439,12/05/2011 11:32:57 PM,12/06/2011 12:57:27 AM,NYPD,New York City Police Department,Drinking,Underage - Licensed Est,Club/Bar/Restaurant,11222,158 NORMAN AVENUE,NORMAN AVENUE,NEWEL STREET,DIAMOND STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/06/2011 07:32:57 AM,The Police Department reviewed your complaint and provided additional information below.,12/06/2011 12:57:27 AM,01 BROOKLYN,3026510003.0,BROOKLYN,998641.0,204014.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.72663629269381,-73.94807880153184,"(40.72663629269381, -73.94807880153185)",True,False,False
23391668,06/09/2012 09:45:07 PM,06/09/2012 10:26:49 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11222.0,158 NORMAN AVENUE,NORMAN AVENUE,NEWEL STREET,DIAMOND STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/10/2012 05:45:07 AM,The Police Department responded to the complaint and took action to fix the condition.,06/09/2012 10:26:49 PM,01 BROOKLYN,3026510003.0,BROOKLYN,998641.0,204014.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.72663629269381,-73.94807880153184,"(40.72663629269381, -73.94807880153185)",True,False,False
24773172,01/13/2013 12:40:35 AM,01/13/2013 01:01:43 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11222,158 NORMAN AVENUE,NORMAN AVENUE,NEWEL STREET,DIAMOND STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/13/2013 08:40:35 AM,The Police Department responded to the complaint and took action to fix the condition.,01/13/2013 01:01:43 AM,01 BROOKLYN,3026510003.0,BROOKLYN,998641.0,204014.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.72663629269381,-73.94807880153184,"(40.72663629269381, -73.94807880153185)",True,False,False
25437209,04/28/2013 12:21:44 AM,04/28/2013 06:12:25 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11222,158 NORMAN AVENUE,NORMAN AVENUE,NEWEL STREET,DIAMOND STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,04/28/2013 08:21:44 AM,The Police Department responded to the complaint and took action to fix the condition.,04/28/2013 06:12:25 AM,01 BROOKLYN,3026510003.0,BROOKLYN,998641.0,204014.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.72663629269381,-73.94807880153184,"(40.72663629269381, -73.94807880153185)",True,True,False
25458724,05/01/2013 12:05:09 AM,05/01/2013 12:59:35 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11222.0,158 NORMAN AVENUE,NORMAN AVENUE,NEWEL STREET,DIAMOND STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/01/2013 08:05:09 AM,The Police Department responded to the complaint and took action to fix the condition.,05/01/2013 12:59:35 AM,01 BROOKLYN,3026510003.0,BROOKLYN,998641.0,204014.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.72663629269381,-73.94807880153184,"(40.72663629269381, -73.94807880153185)",True,True,False
25780534,06/21/2013 12:06:24 AM,06/21/2013 04:23:18 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11222.0,158 NORMAN AVENUE,NORMAN AVENUE,NEWEL STREET,DIAMOND STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/21/2013 08:06:24 AM,The Police Department responded to the complaint and took action to fix the condition.,06/21/2013 04:23:18 AM,01 BROOKLYN,3026510003.0,BROOKLYN,998641.0,204014.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.72663629269381,-73.94807880153184,"(40.72663629269381, -73.94807880153185)",True,True,False
25913265,07/10/2013 03:06:16 AM,07/10/2013 04:19:40 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11222,158 NORMAN AVENUE,NORMAN AVENUE,NEWEL STREET,DIAMOND STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,07/10/2013 11:06:16 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/10/2013 04:19:40 AM,01 BROOKLYN,3026510003.0,BROOKLYN,998641.0,204014.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.72663629269381,-73.94807880153184,"(40.72663629269381, -73.94807880153185)",True,True,False
