Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26237817,09/02/2013 01:18:31 AM,09/02/2013 04:29:27 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002,159 EAST HOUSTON STREET,EAST HOUSTON STREET,ELDRIDGE STREET,1 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,09/02/2013 09:18:31 AM,The Police Department responded to the complaint and took action to fix the condition.,09/02/2013 04:29:27 AM,03 MANHATTAN,1004170018.0,MANHATTAN,987277.0,202709.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72306557278975,-73.98907949147022,"(40.72306557278975, -73.98907949147022)",True,True,False
26305291,09/12/2013 11:59:48 PM,09/13/2013 12:39:46 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002,159 EAST HOUSTON STREET,EAST HOUSTON STREET,ELDRIDGE STREET,1 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,09/13/2013 07:59:48 AM,The Police Department responded to the complaint and took action to fix the condition.,09/13/2013 12:39:46 AM,03 MANHATTAN,1004170018.0,MANHATTAN,987277.0,202709.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72306557278975,-73.98907949147022,"(40.72306557278975, -73.98907949147022)",True,True,True
26356059,09/21/2013 04:31:40 PM,09/21/2013 04:59:27 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002,159 EAST HOUSTON STREET,EAST HOUSTON STREET,ELDRIDGE STREET,1 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,09/22/2013 12:31:40 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/21/2013 04:59:27 PM,03 MANHATTAN,1004170018.0,MANHATTAN,987277.0,202709.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72306557278975,-73.98907949147022,"(40.72306557278975, -73.98907949147022)",True,True,True
26371204,09/24/2013 11:59:51 PM,09/25/2013 01:37:37 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002,159 EAST HOUSTON STREET,EAST HOUSTON STREET,ELDRIDGE STREET,1 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,09/25/2013 07:59:51 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/25/2013 01:37:37 AM,03 MANHATTAN,1004170018.0,MANHATTAN,987277.0,202709.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72306557278975,-73.98907949147022,"(40.72306557278975, -73.98907949147022)",True,True,True
26376135,09/25/2013 10:26:40 PM,09/25/2013 11:30:02 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002,159 EAST HOUSTON STREET,EAST HOUSTON STREET,ELDRIDGE STREET,1 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,09/26/2013 06:26:40 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/25/2013 11:30:02 PM,03 MANHATTAN,1004170018.0,MANHATTAN,987277.0,202709.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72306557278975,-73.98907949147022,"(40.72306557278975, -73.98907949147022)",True,True,True
26335817,09/19/2013 12:40:22 AM,09/19/2013 02:53:07 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002,159 EAST HOUSTON STREET,EAST HOUSTON STREET,ELDRIDGE STREET,1 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,09/19/2013 08:40:22 AM,The Police Department responded to the complaint and took action to fix the condition.,09/19/2013 02:53:07 AM,03 MANHATTAN,1004170018.0,MANHATTAN,987277.0,202709.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72306557278975,-73.98907949147022,"(40.72306557278975, -73.98907949147022)",True,True,True
20239786,04/14/2011 01:08:00 PM,04/23/2011 01:15:00 AM,DEP,Department of Environmental Protection,Noise,Noise: Loud Music/Nighttime(Mark Date And Time) (NP1),,10002.0,159 EAST HOUSTON STREET,EAST HOUSTON STREET,ELDRIDGE ST,ALLEN ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",04/23/2011 01:15:00 AM,03 MANHATTAN,1004170018.0,MANHATTAN,987277.0,202709.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.72306557278975,-73.98907949147022,"(40.72306557278975, -73.98907949147022)",True,False,False
15640857,01/04/2010 01:01:25 AM,01/04/2010 11:23:29 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002,159 EAST HOUSTON STREET,EAST HOUSTON STREET,ELDRIDGE STREET,1 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,01/04/2010 09:01:25 AM,,01/04/2010 12:00:00 AM,03 MANHATTAN,1004170018.0,MANHATTAN,987277.0,202709.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72306557278975,-73.98907949147022,"(40.72306557278975, -73.98907949147022)",True,False,False
15749850,01/18/2010 12:02:27 AM,01/18/2010 02:01:38 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002,159 EAST HOUSTON STREET,EAST HOUSTON STREET,ELDRIDGE STREET,1 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,01/18/2010 08:02:27 AM,,01/18/2010 12:00:00 AM,03 MANHATTAN,1004170018.0,MANHATTAN,987277.0,202709.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72306557278975,-73.98907949147022,"(40.72306557278975, -73.98907949147022)",True,False,False
15778493,01/21/2010 08:40:05 AM,04/10/2010 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10002,159 EAST HOUSTON STREET,EAST HOUSTON STREET,ELDRIDGE STREET,1 AVENUE,,,ADDRESS,NEW YORK,,,Closed,,The City has removed the graffiti from this property.,04/10/2010 04:38:19 AM,03 MANHATTAN,1004170018.0,MANHATTAN,987277.0,202709.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.72306557278975,-73.98907949147022,"(40.72306557278975, -73.98907949147022)",True,False,False
