Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
16517650,04/24/2010 01:09:44 AM,05/20/2010 12:00:00 AM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,10310.0,163 DONGAN STREET,DONGAN STREET,CASTLETON AVENUE,WHITE PLACE,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Buildings investigated this complaint and issued an Environmental Control Board violation.,05/20/2010 12:00:00 AM,01 STATEN ISLAND,5002120033.0,STATEN ISLAND,949812.0,170119.0,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.6335469788473,-74.12407536061238,"(40.6335469788473, -74.12407536061238)",True,False,False
19011239,10/30/2010 01:05:48 PM,10/30/2010 01:05:48 PM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,10310.0,163 DONGAN STREET,DONGAN STREET,CASTLETON AVENUE,WHITE PLACE,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Buildings investigated this complaint and issued an Environmental Control Board violation.,10/30/2010 12:00:00 AM,01 STATEN ISLAND,5002120033.0,STATEN ISLAND,949812.0,170119.0,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.6335469788473,-74.12407536061238,"(40.6335469788473, -74.12407536061238)",True,False,False
22618140,01/30/2012 10:29:00 AM,01/30/2012 12:00:00 PM,DSNY,BCC - Staten Island,Other Enforcement,E10 Obstruction (Street/Sidewalk),Sidewalk,10310.0,163 DONGAN STREET,DONGAN STREET,CASTLETON AVENUE,WHITE PLACE,,,ADDRESS,STATEN ISLAND,,DSNY Garage,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,01/30/2012 12:00:00 PM,01 STATEN ISLAND,5002120033.0,STATEN ISLAND,949812.0,170119.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.6335469788473,-74.12407536061238,"(40.6335469788473, -74.12407536061238)",True,True,False
22691303,02/10/2012 02:13:00 PM,02/11/2012 12:00:00 PM,DSNY,BCC - Staten Island,Other Enforcement,E10 Obstruction (Street/Sidewalk),Sidewalk,10310.0,163 DONGAN STREET,DONGAN STREET,CASTLETON AVENUE,WHITE PLACE,,,ADDRESS,STATEN ISLAND,,DSNY Garage,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,02/11/2012 12:00:00 PM,01 STATEN ISLAND,5002120033.0,STATEN ISLAND,949812.0,170119.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.6335469788473,-74.12407536061238,"(40.6335469788473, -74.12407536061238)",True,True,False
23255809,05/18/2012 11:59:00 AM,08/04/2012 01:45:00 AM,DEP,Department of Environmental Protection,Noise,Noise: Loud Music/Nighttime(Mark Date And Time) (NP1),,10310.0,163 DONGAN STREET,DONGAN STREET,CASTLETON AVE,WHITE PL,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Environmental Protection observed a violation of the New York City Air/Noise Code at the time of inspection and issued a notice of violation.,08/04/2012 01:45:00 AM,01 STATEN ISLAND,5002120033.0,STATEN ISLAND,949812.0,170119.0,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.6335469788473,-74.12407536061238,"(40.6335469788473, -74.12407536061238)",True,True,False
15745049,01/17/2010 01:17:19 AM,01/17/2010 01:54:26 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10310,163 DONGAN STREET,DONGAN STREET,CASTLETON AVENUE,WHITE PLACE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,01/17/2010 09:17:19 AM,,01/17/2010 12:00:00 AM,01 STATEN ISLAND,5002120033.0,STATEN ISLAND,949812.0,170119.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.6335469788473,-74.12407536061238,"(40.6335469788473, -74.12407536061238)",True,False,False
15746497,01/17/2010 02:14:43 AM,01/17/2010 03:19:11 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10310,163 DONGAN STREET,DONGAN STREET,CASTLETON AVENUE,WHITE PLACE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,01/17/2010 10:14:43 AM,,01/17/2010 12:00:00 AM,01 STATEN ISLAND,5002120033.0,STATEN ISLAND,949812.0,170119.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.6335469788473,-74.12407536061238,"(40.6335469788473, -74.12407536061238)",True,False,False
15775266,01/21/2010 10:43:09 PM,01/22/2010 04:46:46 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10310,163 DONGAN STREET,DONGAN STREET,CASTLETON AVENUE,WHITE PLACE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,01/22/2010 06:43:09 AM,,01/22/2010 12:00:00 AM,01 STATEN ISLAND,5002120033.0,STATEN ISLAND,949812.0,170119.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.6335469788473,-74.12407536061238,"(40.6335469788473, -74.12407536061238)",True,False,False
15784262,01/22/2010 11:03:44 PM,01/22/2010 11:34:41 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10310,163 DONGAN STREET,DONGAN STREET,CASTLETON AVENUE,WHITE PLACE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,01/23/2010 07:03:44 AM,,01/22/2010 12:00:00 AM,01 STATEN ISLAND,5002120033.0,STATEN ISLAND,949812.0,170119.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.6335469788473,-74.12407536061238,"(40.6335469788473, -74.12407536061238)",True,False,False
15793111,01/24/2010 03:15:24 AM,01/24/2010 04:37:01 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10310,163 DONGAN STREET,DONGAN STREET,CASTLETON AVENUE,WHITE PLACE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,01/24/2010 11:15:24 AM,,01/24/2010 12:00:00 AM,01 STATEN ISLAND,5002120033.0,STATEN ISLAND,949812.0,170119.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.6335469788473,-74.12407536061238,"(40.6335469788473, -74.12407536061238)",True,False,False
16044981,02/20/2010 10:48:30 PM,02/20/2010 11:12:46 PM,NYPD,New York City Police Department,Noise - Commercial,Car/Truck Music,Store/Commercial,10310.0,163 DONGAN STREET,DONGAN STREET,CASTLETON AVENUE,WHITE PLACE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,02/21/2010 06:48:30 AM,,02/20/2010 12:00:00 AM,01 STATEN ISLAND,5002120033.0,STATEN ISLAND,949812.0,170119.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.6335469788473,-74.12407536061238,"(40.6335469788473, -74.12407536061238)",True,False,False
