Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
16791763,06/03/2010 03:58:00 PM,06/03/2010 04:00:00 PM,DEP,Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,11213.0,1647 PACIFIC STREET,PACIFIC STREET,ALBANY AVE,TROY AVE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,06/03/2010 04:00:00 PM,08 BROOKLYN,3013340037.0,BROOKLYN,1001938.0,185903.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.676919877509924,-73.93623114770057,"(40.676919877509924, -73.93623114770057)",True,False,False
23155658,05/01/2012 06:21:00 PM,05/07/2012 05:45:00 PM,DEP,Department of Environmental Protection,Air Quality,"Air: Smoke, Other (Use Comments) (AA5)",,11213.0,1647 PACIFIC STREET,PACIFIC STREET,ALBANY AVE,TROY AVE,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",05/07/2012 05:45:00 PM,08 BROOKLYN,3013340037.0,BROOKLYN,1001938.0,185903.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.676919877509924,-73.93623114770057,"(40.676919877509924, -73.93623114770057)",False,False,False
29269771,11/11/2014 02:15:40 PM,11/11/2014 06:54:07 PM,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Store/Commercial,11213,1647 PACIFIC STREET,PACIFIC STREET,ALBANY AVENUE,TROY AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/11/2014 10:15:40 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/11/2014 06:54:07 PM,08 BROOKLYN,3013340037.0,BROOKLYN,1001938.0,185903.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.676919877509924,-73.93623114770057,"(40.676919877509924, -73.93623114770057)",True,True,False
17568209,07/02/2010 03:11:38 PM,07/13/2011 09:06:27 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,11213,1647 PACIFIC STREET,PACIFIC STREET,ALBANY AVENUE,TROY AVENUE,,,ADDRESS,BROOKLYN,,,Closed,08/11/2010 08:45:28 AM,"The Department of Consumer Affairs inspected the business you named in your Service Request. To check results, call 311 with your Service Request Number and ask for Service Request Status - DCA.",07/06/2010 08:45:28 AM,08 BROOKLYN,3013340037.0,BROOKLYN,1001938.0,185903.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.676919877509924,-73.93623114770057,"(40.676919877509924, -73.93623114770057)",True,False,False
17568210,07/02/2010 03:15:26 PM,07/02/2010 04:35:02 PM,NYPD,New York City Police Department,Drinking,Underage - Licensed Est,Club/Bar/Restaurant,11213,1647 PACIFIC STREET,PACIFIC STREET,ALBANY AVENUE,TROY AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,07/02/2010 11:15:26 PM,,07/02/2010 12:00:00 AM,08 BROOKLYN,3013340037.0,BROOKLYN,1001938.0,185903.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.676919877509924,-73.93623114770057,"(40.676919877509924, -73.93623114770057)",True,False,False
17568211,07/02/2010 03:24:10 PM,09/01/2010 06:14:28 AM,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Permit/License/Certificate,Restaurant/Bar/Deli/Bakery,11213,1647 PACIFIC STREET,PACIFIC STREET,ALBANY AVENUE,TROY AVENUE,,,ADDRESS,BROOKLYN,,,Closed,08/31/2010 03:24:10 PM,,09/01/2010 12:00:00 AM,08 BROOKLYN,3013340037.0,BROOKLYN,1001938.0,185903.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.676919877509924,-73.93623114770057,"(40.676919877509924, -73.93623114770057)",True,False,False
18715183,09/18/2010 07:35:06 PM,09/20/2010 03:11:23 PM,DCA,Department of Consumer Affairs,Consumer Complaint,Prohibited Item Sale to Minor,,11213,1647 PACIFIC STREET,PACIFIC STREET,ALBANY AVENUE,TROY AVENUE,,,ADDRESS,BROOKLYN,,,Closed,09/22/2010 07:35:06 PM,,09/20/2010 12:00:00 AM,08 BROOKLYN,3013340037.0,BROOKLYN,1001938.0,185903.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.676919877509924,-73.93623114770057,"(40.676919877509924, -73.93623114770057)",True,False,False
21405443,09/09/2011 07:09:00 PM,09/26/2011 08:00:00 PM,DEP,Department of Environmental Protection,Air Quality,"Air: Smoke, Commercial (AA2)",,11213,1647 PACIFIC STREET,PACIFIC STREET,ALBANY AVENUE,TROY AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",09/26/2011 08:00:00 PM,08 BROOKLYN,3013340037.0,BROOKLYN,1001938.0,185903.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.676919877509924,-73.93623114770057,"(40.676919877509924, -73.93623114770057)",False,False,False
21880575,11/14/2011 02:37:26 PM,12/02/2011 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,11213,1647 PACIFIC STREET,PACIFIC STREET,ALBANY AVENUE,TROY AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The City has removed the graffiti from this property.,12/14/2011 12:16:14 PM,08 BROOKLYN,3013340037.0,BROOKLYN,1001938.0,185903.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.676919877509924,-73.93623114770057,"(40.676919877509924, -73.93623114770057)",True,False,False
23156860,05/01/2012 06:53:10 PM,05/02/2012 08:50:51 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,11213,1647 PACIFIC STREET,PACIFIC STREET,ALBANY AVENUE,TROY AVENUE,,,ADDRESS,BROOKLYN,,,Closed,06/07/2012 08:50:23 AM,"The Department of Consumer Affairs is scheduling an inspection which will take place within 35 days. Please do not file duplicate complaints or call to check results during this time. After 35 days, call 311 with your Service Request Number and ask for Service Request Status - DCA.",05/02/2012 08:50:51 AM,08 BROOKLYN,3013340037.0,BROOKLYN,1001938.0,185903.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.676919877509924,-73.93623114770057,"(40.676919877509924, -73.93623114770057)",True,False,False
23157056,05/01/2012 06:58:01 PM,05/02/2012 10:58:41 AM,DCA,Department of Consumer Affairs,Consumer Complaint,False Advertising,,11213,1647 PACIFIC STREET,PACIFIC STREET,ALBANY AVENUE,TROY AVENUE,,,ADDRESS,BROOKLYN,,,Closed,06/07/2012 10:57:44 AM,"The Department of Consumer Affairs is scheduling an inspection which will take place within 35 days. Please do not file duplicate complaints or call to check results during this time. After 35 days, call 311 with your Service Request Number and ask for Service Request Status - DCA.",05/02/2012 10:58:42 AM,08 BROOKLYN,3013340037.0,BROOKLYN,1001938.0,185903.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.676919877509924,-73.93623114770057,"(40.676919877509924, -73.93623114770057)",True,False,False
