Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26418365,10/01/2013 02:39:07 AM,10/01/2013 04:42:24 AM,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Club/Bar/Restaurant,10002,169 EAST BROADWAY,EAST BROADWAY,RUTGERS STREET,CANAL STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/01/2013 10:39:07 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/01/2013 04:42:24 AM,03 MANHATTAN,1002840026.0,MANHATTAN,987066.0,199434.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.71407655470496,-73.98984208631849,"(40.71407655470496, -73.98984208631848)",True,False,False
26396407,09/28/2013 10:22:11 AM,10/25/2013 06:49:54 PM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,10002.0,169 EAST BROADWAY,EAST BROADWAY,RUTGERS STREET,CANAL STREET,,,ADDRESS,NEW YORK,,,Closed,11/14/2013 10:39:44 AM,The Taxi and Limousine Commission will send a confirmation letter in 14 days to confirm your complaint details. At the hearing you may be required to provide information regarding this complaint. Please note your Service Request number for future reference.,10/25/2013 06:49:54 PM,03 MANHATTAN,1002840026.0,MANHATTAN,987066.0,199434.0,ONLINE,Unspecified,MANHATTAN,,,Other,,,,,40.71407655470496,-73.98984208631849,"(40.71407655470496, -73.98984208631848)",False,False,False
26611089,11/03/2013 01:43:44 AM,11/03/2013 05:57:39 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002.0,169 EAST BROADWAY,EAST BROADWAY,RUTGERS STREET,CANAL STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,11/03/2013 09:43:44 AM,The Police Department responded to the complaint and took action to fix the condition.,11/03/2013 01:47:56 AM,03 MANHATTAN,1002840026.0,MANHATTAN,987066.0,199434.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.71407655470496,-73.98984208631849,"(40.71407655470496, -73.98984208631848)",True,False,False
26929896,12/22/2013 12:28:07 AM,12/22/2013 02:19:20 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10002.0,169 EAST BROADWAY,EAST BROADWAY,RUTGERS STREET,CANAL STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,12/22/2013 08:28:07 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/22/2013 02:19:20 AM,03 MANHATTAN,1002840026.0,MANHATTAN,987066.0,199434.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.71407655470496,-73.98984208631849,"(40.71407655470496, -73.98984208631848)",True,False,False
26918954,12/20/2013 01:40:52 AM,12/20/2013 03:23:06 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10002.0,169 EAST BROADWAY,EAST BROADWAY,RUTGERS STREET,CANAL STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,12/20/2013 09:40:52 AM,The Police Department responded to the complaint and took action to fix the condition.,12/20/2013 03:23:06 AM,03 MANHATTAN,1002840026.0,MANHATTAN,987066.0,199434.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71407655470496,-73.98984208631849,"(40.71407655470496, -73.98984208631848)",True,False,False
26949261,12/23/2013 07:04:38 PM,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,10002.0,169 EAST BROADWAY,EAST BROADWAY,RUTGERS STREET,CANAL STREET,,,ADDRESS,NEW YORK,,,Open,,"The Taxi and Limousine Commission requires you to attend a hearing to process a complaint against a yellow cab driver. Since you are not willing to attend a hearing, your complaint will be used for planning purposes. Please note your Service Request number for future reference.",,03 MANHATTAN,1002840026.0,MANHATTAN,987066.0,199434.0,ONLINE,Unspecified,MANHATTAN,,,Other,,,,,40.71407655470496,-73.98984208631849,"(40.71407655470496, -73.98984208631848)",False,False,False
27108396,01/10/2014 01:36:26 AM,01/10/2014 02:06:33 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10002,169 EAST BROADWAY,EAST BROADWAY,RUTGERS STREET,CANAL STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,01/10/2014 09:36:26 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/10/2014 02:06:33 AM,03 MANHATTAN,1002840026.0,MANHATTAN,987066.0,199434.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.71407655470496,-73.98984208631849,"(40.71407655470496, -73.98984208631848)",True,False,False
27192346,01/20/2014 12:35:38 AM,01/20/2014 01:26:47 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10002,169 EAST BROADWAY,EAST BROADWAY,RUTGERS STREET,CANAL STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,01/20/2014 08:35:38 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/20/2014 01:26:47 AM,03 MANHATTAN,1002840026.0,MANHATTAN,987066.0,199434.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71407655470496,-73.98984208631849,"(40.71407655470496, -73.98984208631848)",True,False,False
27244449,01/25/2014 11:13:17 PM,01/26/2014 12:16:40 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10002.0,169 EAST BROADWAY,EAST BROADWAY,RUTGERS STREET,CANAL STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,01/26/2014 07:13:17 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/26/2014 12:16:40 AM,03 MANHATTAN,1002840026.0,MANHATTAN,987066.0,199434.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71407655470496,-73.98984208631849,"(40.71407655470496, -73.98984208631848)",True,False,False
27315168,02/01/2014 08:55:10 PM,05/15/2014 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal. Commercial Use In Resident Zone,,10002.0,169 EAST BROADWAY,EAST BROADWAY,RUTGERS STREET,CANAL STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,05/15/2014 12:00:00 AM,03 MANHATTAN,1002840026.0,MANHATTAN,987066.0,199434.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.71407655470496,-73.98984208631849,"(40.71407655470496, -73.98984208631848)",True,False,False
27612095,03/11/2014 11:57:22 PM,03/12/2014 12:17:04 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,10002.0,169 EAST BROADWAY,EAST BROADWAY,,,,,LATLONG,NEW YORK,,Precinct,Closed,03/12/2014 07:57:22 AM,The Police Department responded to the complaint and determined that police action was not necessary.,03/12/2014 12:17:04 AM,03 MANHATTAN,,MANHATTAN,987088.0,199346.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.71383500867967,-73.98976276471625,"(40.713835008679666, -73.98976276471625)",True,False,False
27658253,03/18/2014 11:30:01 PM,03/18/2014 11:53:31 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,10002.0,169 EAST BROADWAY,EAST BROADWAY,,,,,LATLONG,NEW YORK,,Precinct,Closed,03/19/2014 07:30:01 AM,The Police Department responded to the complaint and determined that police action was not necessary.,03/18/2014 11:53:31 PM,03 MANHATTAN,,MANHATTAN,987088.0,199346.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.71383500867967,-73.98976276471625,"(40.713835008679666, -73.98976276471625)",True,False,False
27661648,03/18/2014 11:26:53 PM,03/18/2014 11:55:37 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,10002.0,169 EAST BROADWAY,EAST BROADWAY,,,,,LATLONG,NEW YORK,,Precinct,Closed,03/19/2014 07:26:53 AM,The Police Department responded to the complaint and determined that police action was not necessary.,03/18/2014 11:55:37 PM,03 MANHATTAN,,MANHATTAN,987088.0,199346.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.71383500867967,-73.98976276471625,"(40.713835008679666, -73.98976276471625)",True,False,False
27666510,03/18/2014 11:24:10 PM,03/18/2014 11:55:38 PM,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Store/Commercial,10002.0,169 EAST BROADWAY,EAST BROADWAY,,,,,LATLONG,NEW YORK,,Precinct,Closed,03/19/2014 07:24:10 AM,The Police Department responded to the complaint and determined that police action was not necessary.,03/18/2014 11:55:38 PM,03 MANHATTAN,,MANHATTAN,987088.0,199346.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.71383500867967,-73.98976276471625,"(40.713835008679666, -73.98976276471625)",True,False,False
