Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26249304,09/03/2013 05:08:37 PM,09/17/2013 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,10304,171 BROAD STREET,BROAD STREET,CEDAR STREET,GORDON STREET,,,ADDRESS,STATEN ISLAND,,,Closed,,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",09/17/2013 12:00:00 AM,01 STATEN ISLAND,5005410001.0,STATEN ISLAND,961916.0,166748.0,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.6243330863834,-74.08045519546104,"(40.6243330863834, -74.08045519546104)",True,True,False
26223436,07/22/2013 08:04:19 AM,07/31/2013 09:45:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,,171 BROAD STREET,BROAD STREET,CEDAR STREET,GORDON STREET,,,,,,,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,07/31/2013 09:45:00 AM,Unspecified STATEN ISLAND,,STATEN ISLAND,,,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,,,,False,True,False
16511387,04/23/2010 08:40:00 PM,06/06/2010 12:00:00 PM,DEP,Department of Environmental Protection,Sewer,Catch Basin Sunken/Damaged/Raised (SC1),,10304.0,171 BROAD STREET,BROAD STREET,CANAL ST,GORDON ST,,,ADDRESS,STATEN ISLAND,,,Closed,,"The Department of Environmental Protection inspected your complaint and repaired the problem. If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",06/06/2010 12:00:00 PM,01 STATEN ISLAND,5005410001.0,STATEN ISLAND,961916.0,166748.0,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.6243330863834,-74.08045519546104,"(40.6243330863834, -74.08045519546104)",False,False,False
16890407,06/17/2010 04:21:00 PM,06/26/2010 09:00:00 AM,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,10304.0,171 BROAD STREET,BROAD STREET,CANAL ST,GORDON ST,,,ADDRESS,STATEN ISLAND,,,Closed,,"The Department of Environmental Protection inspected your complaint and cleaned the catch basin or inlet. If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",06/26/2010 09:00:00 AM,01 STATEN ISLAND,5005410001.0,STATEN ISLAND,961916.0,166748.0,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.6243330863834,-74.08045519546104,"(40.6243330863834, -74.08045519546104)",False,False,False
21841259,11/08/2011 01:31:00 PM,11/09/2011 12:00:00 PM,DSNY,A - Staten Island,Dirty Conditions,E1 Improper Disposal,Sidewalk,10304.0,171 BROAD STREET,BROAD STREET,CEDAR STREET,GORDON STREET,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,11/09/2011 12:00:00 PM,01 STATEN ISLAND,5005410001.0,STATEN ISLAND,961916.0,166748.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.6243330863834,-74.08045519546104,"(40.6243330863834, -74.08045519546104)",True,False,False
23027940,04/09/2012 01:28:00 PM,04/09/2012 07:30:00 PM,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,10304.0,171 BROAD STREET,BROAD STREET,CANAL ST,GORDON ST,,,ADDRESS,STATEN ISLAND,,,Closed,,"The Department of Environmental Protection inspected your complaint and cleaned the catch basin or inlet. If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",04/09/2012 07:30:00 PM,01 STATEN ISLAND,5005410001.0,STATEN ISLAND,961916.0,166748.0,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.6243330863834,-74.08045519546104,"(40.6243330863834, -74.08045519546104)",False,False,False
23509078,06/27/2012 04:51:00 PM,06/27/2012 07:00:00 PM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10304.0,171 BROAD STREET,BROAD STREET,CANAL ST,GORDON ST,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Environmental Protection has investigated this complaint. There was no indication of a city sewer issue and a courtesy  flush was performed.,06/27/2012 07:00:00 PM,01 STATEN ISLAND,5005410001.0,STATEN ISLAND,961916.0,166748.0,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.6243330863834,-74.08045519546104,"(40.6243330863834, -74.08045519546104)",False,False,False
23919771,09/04/2012 05:15:00 PM,09/07/2012 12:00:00 PM,DSNY,BCC - Staten Island,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,10304.0,171 BROAD STREET,BROAD STREET,CEDAR STREET,GORDON STREET,,,ADDRESS,STATEN ISLAND,,DSNY Garage,Closed,,The Department of Sanitation removed the items.,09/07/2012 12:00:00 PM,01 STATEN ISLAND,5005410001.0,STATEN ISLAND,961916.0,166748.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.6243330863834,-74.08045519546104,"(40.6243330863834, -74.08045519546104)",True,False,False
20088770,03/23/2011 11:35:11 PM,03/24/2011 12:20:33 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10304.0,171 BROAD STREET,BROAD STREET,CEDAR STREET,GORDON STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,03/24/2011 07:35:11 AM,The Police Department responded to the complaint and determined that police action was not necessary.,03/24/2011 12:20:33 AM,01 STATEN ISLAND,5005410001.0,STATEN ISLAND,961850.0,166720.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.62425606564738,-74.08069285842855,"(40.62425606564738, -74.08069285842855)",True,False,False
21328163,09/01/2011 05:10:08 PM,09/02/2011 01:56:38 PM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,10304.0,171 BROAD STREET,BROAD STREET,CEDAR STREET,GORDON STREET,,,ADDRESS,STATEN ISLAND,,,Closed,10/08/2011 01:56:32 PM,"The Department of Consumer Affairs is scheduling an inspection which will take place within 35 days. Please do not file duplicate complaints or call to check results during this time. After 35 days, call 311 with your Service Request Number and ask for Service Request Status - DCA.",09/02/2011 01:56:38 PM,01 STATEN ISLAND,5005410001.0,STATEN ISLAND,961850.0,166720.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.62425606564738,-74.08069285842855,"(40.62425606564738, -74.08069285842855)",True,False,False
