Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26316106,09/14/2013 10:51:12 PM,09/15/2013 02:12:43 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Television,Club/Bar/Restaurant,10453,1710 UNIVERSITY AVENUE,UNIVERSITY AVENUE,BRANDT PLACE,WEST 176 STREET,,,ADDRESS,BRONX,,Precinct,Closed,09/15/2013 06:51:12 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/15/2013 02:12:43 AM,05 BRONX,2028760102.0,BRONX,1006920.0,248451.0,PHONE,Unspecified,BRONX,,,,,,,,40.84858654150406,-73.9180590921724,"(40.84858654150406, -73.91805909217241)",True,True,False
26361356,09/22/2013 09:16:11 PM,09/22/2013 11:58:01 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10453,1710 UNIVERSITY AVENUE,UNIVERSITY AVENUE,BRANDT PLACE,WEST 176 STREET,,,ADDRESS,BRONX,,Precinct,Closed,09/23/2013 05:16:11 AM,The Police Department responded to the complaint and took action to fix the condition.,09/22/2013 11:58:01 PM,05 BRONX,2028760102.0,BRONX,1006920.0,248451.0,ONLINE,Unspecified,BRONX,,,,,,,,40.84858654150406,-73.9180590921724,"(40.84858654150406, -73.91805909217241)",True,True,False
26612094,11/02/2013 02:13:14 AM,11/02/2013 06:13:31 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10453.0,1710 UNIVERSITY AVENUE,UNIVERSITY AVENUE,BRANDT PLACE,WEST 176 STREET,,,ADDRESS,BRONX,,Precinct,Closed,11/02/2013 10:13:14 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/02/2013 06:13:31 AM,05 BRONX,2028760102.0,BRONX,1006920.0,248451.0,ONLINE,Unspecified,BRONX,,,,,,,,40.84858654150406,-73.9180590921724,"(40.84858654150406, -73.91805909217241)",True,True,False
26826235,10/12/2013 12:36:18 AM,10/12/2013 07:33:38 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10453.0,1710 UNIVERSITY AVENUE,UNIVERSITY AVENUE,BRANDT PLACE,WEST 176 STREET,,,ADDRESS,BRONX,,Precinct,Closed,10/12/2013 08:36:18 AM,The Police Department responded to the complaint and took action to fix the condition.,10/12/2013 07:32:33 AM,05 BRONX,2028760102.0,BRONX,1006920.0,248451.0,ONLINE,Unspecified,BRONX,,,,,,,,40.84858654150406,-73.9180590921724,"(40.84858654150406, -73.91805909217241)",True,True,False
28002379,05/08/2014 11:37:59 PM,05/09/2014 05:11:57 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10453,1710 UNIVERSITY AVENUE,UNIVERSITY AVENUE,BRANDT PLACE,WEST 176 STREET,,,ADDRESS,BRONX,,Precinct,Closed,05/09/2014 07:37:59 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,05/09/2014 05:11:57 AM,05 BRONX,2028760102.0,BRONX,1006920.0,248451.0,ONLINE,Unspecified,BRONX,,,,,,,,40.84858654150406,-73.9180590921724,"(40.84858654150406, -73.91805909217241)",True,True,True
27601374,03/08/2014 12:48:23 AM,03/08/2014 06:15:22 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10453.0,1710 UNIVERSITY AVENUE,UNIVERSITY AVENUE,BRANDT PLACE,WEST 176 STREET,,,ADDRESS,BRONX,,Precinct,Closed,03/08/2014 08:48:23 AM,The Police Department responded to the complaint and determined that police action was not necessary.,03/08/2014 06:13:50 AM,05 BRONX,2028760102.0,BRONX,1006920.0,248451.0,ONLINE,Unspecified,BRONX,,,,,,,,40.84858654150406,-73.9180590921724,"(40.84858654150406, -73.91805909217241)",True,True,False
27976459,05/04/2014 09:42:28 PM,05/04/2014 11:29:07 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10453,1710 UNIVERSITY AVENUE,UNIVERSITY AVENUE,BRANDT PLACE,WEST 176 STREET,,,ADDRESS,BRONX,,Precinct,Closed,05/05/2014 05:42:28 AM,The Police Department responded to the complaint and took action to fix the condition.,05/04/2014 11:29:07 PM,05 BRONX,2028760102.0,BRONX,1006920.0,248451.0,ONLINE,Unspecified,BRONX,,,,,,,,40.84858654150406,-73.9180590921724,"(40.84858654150406, -73.91805909217241)",True,True,True
16267578,03/21/2010 08:51:00 PM,03/21/2010 09:34:50 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10453.0,1710 UNIVERSITY AVENUE,UNIVERSITY AVENUE,BRANDT PLACE,WEST 176 STREET,,,ADDRESS,BRONX,,Precinct,Closed,03/22/2010 04:51:00 AM,,03/21/2010 12:00:00 AM,05 BRONX,2028760102.0,BRONX,1006920.0,248451.0,PHONE,Unspecified,BRONX,,,,,,,,40.84858654150406,-73.9180590921724,"(40.84858654150406, -73.91805909217241)",True,False,False
16658420,05/14/2010 10:17:05 PM,05/14/2010 10:37:52 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10453,1710 UNIVERSITY AVENUE,UNIVERSITY AVENUE,BRANDT PLACE,WEST 176 STREET,,,ADDRESS,BRONX,,Precinct,Closed,05/15/2010 06:17:05 AM,,05/14/2010 12:00:00 AM,05 BRONX,2028760102.0,BRONX,1006920.0,248451.0,PHONE,Unspecified,BRONX,,,,,,,,40.84858654150406,-73.9180590921724,"(40.84858654150406, -73.91805909217241)",True,False,False
16715843,05/24/2010 12:47:31 AM,05/24/2010 07:55:34 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10453,1710 UNIVERSITY AVENUE,UNIVERSITY AVENUE,BRANDT PLACE,WEST 176 STREET,,,ADDRESS,BRONX,,Precinct,Closed,05/24/2010 08:47:31 AM,,05/24/2010 12:00:00 AM,05 BRONX,2028760102.0,BRONX,1006920.0,248451.0,PHONE,Unspecified,BRONX,,,,,,,,40.84858654150406,-73.9180590921724,"(40.84858654150406, -73.91805909217241)",True,False,False
