Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26384548,09/26/2013 11:26:10 AM,09/26/2013 02:25:22 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10461,1729 CROSBY AVENUE,CROSBY AVENUE,ROBERTS AVENUE,BUHRE AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,09/26/2013 07:26:10 PM,The Police Department responded to the complaint and took action to fix the condition.,09/26/2013 02:25:22 PM,10 BRONX,2041690026.0,BRONX,1030858.0,247506.0,PHONE,Unspecified,BRONX,,,,,,,,40.84589889060936,-73.83154171485825,"(40.84589889060936, -73.83154171485825)",True,False,False
26400241,09/28/2013 03:33:41 AM,09/28/2013 06:45:25 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10461.0,1729 CROSBY AVENUE,CROSBY AVENUE,ROBERTS AVENUE,BUHRE AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,09/28/2013 11:33:41 AM,The Police Department responded to the complaint and took action to fix the condition.,09/28/2013 06:35:30 AM,10 BRONX,2041690026.0,BRONX,1030858.0,247506.0,PHONE,Unspecified,BRONX,,,,,,,,40.84589889060936,-73.83154171485825,"(40.84589889060936, -73.83154171485825)",True,False,False
26446109,10/07/2013 12:50:20 AM,10/07/2013 02:01:53 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10461.0,1729 CROSBY AVENUE,CROSBY AVENUE,ROBERTS AVENUE,BUHRE AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,10/07/2013 08:50:20 AM,The Police Department responded to the complaint and took action to fix the condition.,10/07/2013 02:01:53 AM,10 BRONX,2041690026.0,BRONX,1030858.0,247506.0,ONLINE,Unspecified,BRONX,,,,,,,,40.84589889060936,-73.83154171485825,"(40.84589889060936, -73.83154171485825)",True,False,False
30069044,03/01/2015 04:42:09 AM,03/01/2015 06:55:06 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10461.0,1729 CROSBY AVENUE,CROSBY AVENUE,ROBERTS AVENUE,BUHRE AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,03/01/2015 12:42:09 PM,The Police Department responded to the complaint and determined that police action was not necessary.,03/01/2015 06:55:06 AM,10 BRONX,2041690026.0,BRONX,1030858.0,247506.0,ONLINE,Unspecified,BRONX,,,,,,,,40.84589889060936,-73.83154171485825,"(40.84589889060936, -73.83154171485825)",True,True,False
27705947,03/24/2014 07:44:07 PM,05/24/2014 06:40:06 AM,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Food Contaminated,Restaurant/Bar/Deli/Bakery,10461,1729 CROSBY AVENUE,CROSBY AVENUE,ROBERTS AVENUE,BUHRE AVENUE,,,ADDRESS,BRONX,,,Closed,05/23/2014 07:44:07 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",05/24/2014 06:40:06 AM,10 BRONX,2041690026.0,BRONX,1030858.0,247506.0,PHONE,Unspecified,BRONX,,,,,,,,40.84589889060936,-73.83154171485825,"(40.84589889060936, -73.83154171485825)",True,False,False
27728233,03/27/2014 05:12:25 PM,04/04/2014 10:01:29 AM,DOT,Department of Transportation,Broken Muni Meter,No Receipt,Street,10461,1729 CROSBY AVENUE,CROSBY AVENUE,ROBERTS AVENUE,BUHRE AVENUE,,,ADDRESS,BRONX,,,Closed,04/17/2014 05:12:25 PM,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",04/04/2014 10:01:29 AM,10 BRONX,2041690026.0,BRONX,1030858.0,247506.0,PHONE,Unspecified,BRONX,,,,,,,,40.84589889060936,-73.83154171485825,"(40.84589889060936, -73.83154171485825)",False,False,False
27834174,04/12/2014 11:46:43 PM,04/13/2014 07:30:43 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10461,1729 CROSBY AVENUE,CROSBY AVENUE,ROBERTS AVENUE,BUHRE AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,04/13/2014 07:46:43 AM,The Police Department responded to the complaint and took action to fix the condition.,04/13/2014 07:30:43 AM,10 BRONX,2041690026.0,BRONX,1030858.0,247506.0,ONLINE,Unspecified,BRONX,,,,,,,,40.84589889060936,-73.83154171485825,"(40.84589889060936, -73.83154171485825)",True,False,False
27857769,04/16/2014 11:05:31 PM,04/17/2014 05:29:55 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10461,1729 CROSBY AVENUE,CROSBY AVENUE,ROBERTS AVENUE,BUHRE AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,04/17/2014 07:05:31 AM,The Police Department responded to the complaint and took action to fix the condition.,04/17/2014 05:29:55 AM,10 BRONX,2041690026.0,BRONX,1030858.0,247506.0,ONLINE,Unspecified,BRONX,,,,,,,,40.84589889060936,-73.83154171485825,"(40.84589889060936, -73.83154171485825)",True,False,False
27874664,04/18/2014 11:14:41 PM,04/19/2014 07:03:52 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10461,1729 CROSBY AVENUE,CROSBY AVENUE,ROBERTS AVENUE,BUHRE AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,04/19/2014 07:14:41 AM,The Police Department responded to the complaint and took action to fix the condition.,04/19/2014 07:03:48 AM,10 BRONX,2041690026.0,BRONX,1030858.0,247506.0,ONLINE,Unspecified,BRONX,,,,,,,,40.84589889060936,-73.83154171485825,"(40.84589889060936, -73.83154171485825)",True,False,False
27880830,04/20/2014 11:18:48 PM,04/21/2014 07:06:17 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10461,1729 CROSBY AVENUE,CROSBY AVENUE,ROBERTS AVENUE,BUHRE AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,04/21/2014 07:18:48 AM,The Police Department responded to the complaint and determined that police action was not necessary.,04/21/2014 07:05:33 AM,10 BRONX,2041690026.0,BRONX,1030858.0,247506.0,ONLINE,Unspecified,BRONX,,,,,,,,40.84589889060936,-73.83154171485825,"(40.84589889060936, -73.83154171485825)",True,False,False
