Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26356586,09/21/2013 02:41:25 AM,10/17/2013 07:05:43 PM,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,Sidewalk,11249,174 BEDFORD AVENUE,BEDFORD AVENUE,NORTH 8 STREET,NORTH 7 STREET,,,ADDRESS,BROOKLYN,,,Closed,10/21/2013 02:41:25 AM,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",10/17/2013 07:05:43 PM,01 BROOKLYN,3023190022.0,BROOKLYN,996034.0,200891.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.7180682708366,-73.95749004677705,"(40.7180682708366, -73.95749004677705)",False,True,False
22843560,03/09/2012 01:49:18 AM,03/09/2012 02:33:38 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,,11249.0,174 BEDFORD AVENUE,BEDFORD AVENUE,NORTH 8 STREET,NORTH 7 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,03/09/2012 09:49:18 AM,The Police Department responded to the complaint and took action to fix the condition.,03/09/2012 02:32:53 AM,01 BROOKLYN,3023190022.0,BROOKLYN,996034.0,200891.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.7180682708366,-73.95749004677705,"(40.7180682708366, -73.95749004677705)",True,False,False
20473365,05/20/2011 09:51:49 AM,05/20/2011 01:07:04 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,174 BEDFORD AVENUE,BEDFORD AVENUE,NORTH 8 STREET,NORTH 7 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/20/2011 05:51:49 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,05/20/2011 01:07:04 PM,01 BROOKLYN,3023190022.0,BROOKLYN,996034.0,200891.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.7180682708366,-73.95749004677705,"(40.7180682708366, -73.95749004677705)",True,False,False
20765407,07/05/2011 02:42:37 AM,07/05/2011 02:42:55 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,11211,174 BEDFORD AVENUE,BEDFORD AVENUE,NORTH 8 STREET,NORTH 7 STREET,,,ADDRESS,BROOKLYN,,,Closed,,Thank you for your report. The City will use the information you provided for tracking and reporting purposes. 311 will not have any further status information.,07/05/2011 02:44:25 AM,01 BROOKLYN,3023190022.0,BROOKLYN,996034.0,200891.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.7180682708366,-73.95749004677705,"(40.7180682708366, -73.95749004677705)",True,False,False
20792145,07/08/2011 10:57:15 PM,07/08/2011 10:57:45 PM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,11211.0,174 BEDFORD AVENUE,BEDFORD AVENUE,NORTH 8 STREET,NORTH 7 STREET,,,ADDRESS,BROOKLYN,,,Closed,,Thank you for your report. The City will use the information you provided for tracking and reporting purposes. 311 will not have any further status information.,07/08/2011 10:59:35 PM,01 BROOKLYN,3023190022.0,BROOKLYN,996034.0,200891.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.7180682708366,-73.95749004677705,"(40.7180682708366, -73.95749004677705)",True,False,False
20801425,07/10/2011 11:48:53 PM,07/11/2011 04:30:43 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11211.0,174 BEDFORD AVENUE,BEDFORD AVENUE,NORTH 8 STREET,NORTH 7 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,07/11/2011 07:48:53 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/11/2011 04:30:43 AM,01 BROOKLYN,3023190022.0,BROOKLYN,996034.0,200891.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.7180682708366,-73.95749004677705,"(40.7180682708366, -73.95749004677705)",True,False,False
20924546,07/28/2011 07:38:11 AM,07/28/2011 10:32:29 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,174 BEDFORD AVENUE,BEDFORD AVENUE,NORTH 8 STREET,NORTH 7 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,07/28/2011 03:38:11 PM,,07/28/2011 10:32:29 AM,01 BROOKLYN,3023190022.0,BROOKLYN,996034.0,200891.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.7180682708366,-73.95749004677705,"(40.7180682708366, -73.95749004677705)",True,False,False
21510005,09/25/2011 11:00:41 PM,09/25/2011 11:09:08 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11211.0,174 BEDFORD AVENUE,BEDFORD AVENUE,NORTH 8 STREET,NORTH 7 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/26/2011 07:00:41 AM,The Police Department reviewed your complaint and provided additional information below.,09/25/2011 11:09:08 PM,01 BROOKLYN,3023190022.0,BROOKLYN,996034.0,200891.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.7180682708366,-73.95749004677705,"(40.7180682708366, -73.95749004677705)",True,False,False
21687019,10/19/2011 10:58:16 PM,10/20/2011 07:22:49 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,174 BEDFORD AVENUE,BEDFORD AVENUE,NORTH 8 STREET,NORTH 7 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/20/2011 06:58:16 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/20/2011 07:22:49 AM,01 BROOKLYN,3023190022.0,BROOKLYN,996034.0,200891.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.7180682708366,-73.95749004677705,"(40.7180682708366, -73.95749004677705)",True,False,False
21742134,10/26/2011 10:18:41 PM,10/27/2011 01:37:36 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,174 BEDFORD AVENUE,BEDFORD AVENUE,NORTH 8 STREET,NORTH 7 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/27/2011 06:18:41 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/27/2011 01:37:36 AM,01 BROOKLYN,3023190022.0,BROOKLYN,996034.0,200891.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.7180682708366,-73.95749004677705,"(40.7180682708366, -73.95749004677705)",True,False,False
