Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
16259967,03/19/2010 02:27:00 PM,03/19/2010 09:30:00 PM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11226.0,1744 NOSTRAND AVENUE,NOSTRAND AVENUE,CORTELYOU RD,CLARENDON RD,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",03/19/2010 09:30:00 PM,17 BROOKLYN,3051730035.0,BROOKLYN,998460.0,173719.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.643483754328244,-73.94879572126754,"(40.64348375432824, -73.94879572126754)",False,False,False
26316888,09/14/2013 04:16:00 PM,09/14/2013 06:00:00 PM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11226.0,1744 NOSTRAND AVENUE,NOSTRAND AVENUE,CORTELYOU RD,CLARENDON RD,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Environmental Protection investigated this complaint and found there was no sewer back up in the city system at the time of the inspection.,09/14/2013 06:00:00 PM,17 BROOKLYN,3051730035.0,BROOKLYN,998460.0,173719.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.643483754328244,-73.94879572126754,"(40.64348375432824, -73.94879572126754)",False,False,False
26321842,09/16/2013 06:27:00 PM,09/17/2013 11:15:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11226.0,1744 NOSTRAND AVENUE,NOSTRAND AVENUE,CORTELYOU RD,CLARENDON RD,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed and attributed to grease. Work was performed to relieve the blockage.,09/17/2013 11:15:00 AM,17 BROOKLYN,3051730035.0,BROOKLYN,998460.0,173719.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.643483754328244,-73.94879572126754,"(40.64348375432824, -73.94879572126754)",False,False,False
33959875,07/29/2016 01:44:30 PM,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11226.0,1744 NOSTRAND AVENUE,NOSTRAND AVENUE,CORTELYOU ROAD,CLARENDON ROAD,,,ADDRESS,BROOKLYN,,,Open,07/19/2018 01:44:30 PM,"The Department of Parks and Recreation will review your request within one year. It may take up to 24 months to inspect the location for planting. To learn more about the street tree planting process, visit www.nyc.gov/parks. Please note your Service Request number for future reference.",,17 BROOKLYN,3051730035.0,BROOKLYN,998460.0,173719.0,OTHER,Unspecified,BROOKLYN,,,,,,,,40.643483754328244,-73.94879572126754,"(40.64348375432824, -73.94879572126754)",False,True,False
34168254,08/25/2016 11:16:02 PM,08/26/2016 01:52:13 AM,NYPD,New York City Police Department,Drinking,Underage - Licensed Est,Club/Bar/Restaurant,11226,1744 NOSTRAND AVENUE,NOSTRAND AVENUE,CORTELYOU ROAD,CLARENDON ROAD,,,ADDRESS,BROOKLYN,,Precinct,Closed,08/26/2016 07:16:02 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/26/2016 01:52:13 AM,17 BROOKLYN,3051730035.0,BROOKLYN,998460.0,173719.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.643483754328244,-73.94879572126754,"(40.64348375432824, -73.94879572126754)",True,True,False
34490153,10/07/2016 10:03:24 AM,10/11/2016 12:31:34 PM,DOT,Department of Transportation,Broken Muni Meter,No Receipt,Street,11226.0,1744 NOSTRAND AVENUE,NOSTRAND AVENUE,CORTELYOU ROAD,CLARENDON ROAD,,,ADDRESS,BROOKLYN,,,Closed,10/28/2016 10:03:24 AM,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",10/11/2016 12:31:34 PM,17 BROOKLYN,3051730035.0,BROOKLYN,998460.0,173719.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.643483754328244,-73.94879572126754,"(40.64348375432824, -73.94879572126754)",False,True,False
34940311,12/06/2016 05:22:23 PM,12/09/2016 12:00:00 AM,DOB,Department of Buildings,Plumbing,Gas Hook-Up/Piping - Illegal Or Defective,,11226.0,1744 NOSTRAND AVENUE,NOSTRAND AVENUE,,,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",12/09/2016 12:00:00 AM,17 BROOKLYN,3051730035.0,BROOKLYN,998460.0,173719.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.643483754328244,-73.94879572126754,"(40.64348375432824, -73.94879572126754)",True,True,False
35249649,01/14/2017 12:00:00 AM,01/17/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,11226.0,1744 NOSTRAND AVENUE,NOSTRAND AVENUE,,,,,LATLONG,BROOKLYN,,,Closed,02/13/2017 04:44:46 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/17/2017 12:00:00 AM,Unspecified BROOKLYN,,BROOKLYN,998389.0,173705.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.643445440976905,-73.94905159177485,"(40.643445440976905, -73.94905159177485)",True,True,False
35552518,02/21/2017 08:00:34 PM,02/27/2017 12:00:00 AM,DOB,Department of Buildings,Electrical,Electrical Wiring Defective/Exposed,,11226.0,1744 NOSTRAND AVENUE,NOSTRAND AVENUE,,,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",02/27/2017 12:00:00 AM,17 BROOKLYN,3051730035.0,BROOKLYN,998460.0,173719.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.643483754328244,-73.94879572126754,"(40.64348375432824, -73.94879572126754)",True,True,False
18990618,10/27/2010 10:46:01 AM,12/14/2010 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Failure To Maintain,,11226.0,1744 NOSTRAND AVENUE,NOSTRAND AVENUE,CORTELYOU ROAD,CLARENDON ROAD,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,12/14/2010 12:00:00 AM,17 BROOKLYN,3051730035.0,BROOKLYN,998460.0,173719.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.643483754328244,-73.94879572126754,"(40.64348375432824, -73.94879572126754)",True,False,False
