Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
18568635,08/27/2010 09:31:23 PM,01/01/1900 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,10461,1808 HONE AVENUE,HONE AVENUE,MORRIS PARK AVENUE,RHINELANDER AVENUE,,,ADDRESS,BRONX,,,Assigned,10/03/2010 09:31:23 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",08/31/2010 05:03:45 PM,11 BRONX,,BRONX,1024374.0,248708.0,PHONE,Unspecified,BRONX,,,,,,,,40.84922986597552,-73.85497001294844,"(40.849229865975516, -73.85497001294844)",True,False,False
20518387,05/27/2011 06:41:04 PM,01/01/1900 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,10461.0,1808 HONE AVENUE,HONE AVENUE,MORRIS PARK AVENUE,RHINELANDER AVENUE,,,ADDRESS,BRONX,,,Assigned,07/03/2011 06:41:04 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",06/01/2011 10:55:53 AM,11 BRONX,,BRONX,1024374.0,248708.0,PHONE,Unspecified,BRONX,,,,,,,,40.84922986597552,-73.85497001294844,"(40.849229865975516, -73.85497001294844)",True,False,False
19168208,11/20/2010 10:42:35 AM,01/01/1900 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,10461,1808 HONE AVENUE,HONE AVENUE,MORRIS PARK AVENUE,RHINELANDER AVENUE,,,ADDRESS,BRONX,,,Assigned,12/27/2010 10:42:35 AM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",11/23/2010 05:17:11 PM,11 BRONX,,BRONX,1024374.0,248708.0,ONLINE,Unspecified,BRONX,,,,,,,,40.84922986597552,-73.85497001294844,"(40.849229865975516, -73.85497001294844)",True,False,False
16567539,05/03/2010 01:19:55 PM,07/13/2011 09:16:06 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Unlicensed,,10461,1808 HONE AVENUE,HONE AVENUE,MORRIS PARK AVENUE,RHINELANDER AVENUE,,,ADDRESS,BRONX,,,Closed,06/08/2010 02:37:30 PM,"The Department of Consumer Affairs inspected the business you named in your Service Request. To check results, call 311 with your Service Request Number and ask for Service Request Status - DCA.",05/03/2010 02:37:30 PM,11 BRONX,,BRONX,1024374.0,248708.0,PHONE,Unspecified,BRONX,,,,,,,,40.84922986597552,-73.85497001294844,"(40.849229865975516, -73.85497001294844)",True,False,False
18753403,09/23/2010 04:58:00 PM,07/13/2011 08:56:34 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Sidewalk Blocked,,10461,1808 HONE AVENUE,HONE AVENUE,MORRIS PARK AVENUE,RHINELANDER AVENUE,,,ADDRESS,BRONX,,,Closed,10/30/2010 08:24:36 AM,"The Department of Consumer Affairs inspected the business you named in your Service Request. To check results, call 311 with your Service Request Number and ask for Service Request Status - DCA.",09/24/2010 08:24:36 AM,11 BRONX,,BRONX,1024374.0,248708.0,ONLINE,Unspecified,BRONX,,,,,,,,40.84922986597552,-73.85497001294844,"(40.849229865975516, -73.85497001294844)",True,False,False
19368410,12/17/2010 11:00:26 AM,01/05/2011 10:32:54 AM,DOT,Department of Transportation,Broken Parking Meter,Coin or Card Did Not Register,Street,10461.0,1808 HONE AVENUE,HONE AVENUE,MORRIS PARK AVENUE,RHINELANDER AVENUE,,,ADDRESS,BRONX,,,Closed,01/06/2011 11:00:26 AM,The Department of Transportation has completed the request or corrected the condition.,01/05/2011 10:32:54 AM,11 BRONX,,BRONX,1024374.0,248708.0,PHONE,Unspecified,BRONX,,,,,,,,40.84922986597552,-73.85497001294844,"(40.849229865975516, -73.85497001294844)",False,False,False
20695445,06/23/2011 12:30:52 PM,,DCA,Department of Consumer Affairs,Consumer Complaint,Unlicensed,,10461,1808 HONE AVENUE,HONE AVENUE,MORRIS PARK AVENUE,RHINELANDER AVENUE,,,ADDRESS,BRONX,,,Pending,07/29/2011 04:45:13 PM,"The Department of Consumer Affairs is scheduling an inspection which will take place within 36 days. Upon completion of the inspection, the Department will contact you with the results.",06/23/2011 04:46:07 PM,11 BRONX,,BRONX,1024374.0,248708.0,PHONE,Unspecified,BRONX,,,,,,,,40.84922986597552,-73.85497001294844,"(40.849229865975516, -73.85497001294844)",True,False,False
20812900,07/12/2011 09:24:46 AM,,DCA,Department of Consumer Affairs,Consumer Complaint,Sidewalk Blocked,,10461.0,1808 HONE AVENUE,HONE AVENUE,MORRIS PARK AVENUE,RHINELANDER AVENUE,,,ADDRESS,BRONX,,,Pending,08/17/2011 04:50:17 PM,"The Department of Consumer Affairs is scheduling an inspection which will take place within 36 days. Upon completion of the inspection, the Department will contact you with the results.",07/12/2011 04:50:40 PM,11 BRONX,,BRONX,1024374.0,248708.0,PHONE,Unspecified,BRONX,,,,,,,,40.84922986597552,-73.85497001294844,"(40.849229865975516, -73.85497001294844)",True,False,False
22842756,03/07/2012 10:44:38 AM,07/07/2013 12:00:00 AM,DOB,Department of Buildings,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,,10461,1808 HONE AVENUE,HONE AVENUE,MORRIS PARK AVENUE,RHINELANDER AVENUE,,,ADDRESS,BRONX,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,07/07/2013 12:00:00 AM,11 BRONX,2041290040.0,BRONX,1024374.0,248708.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.84922986597552,-73.85497001294844,"(40.849229865975516, -73.85497001294844)",True,False,False
23075294,04/17/2012 10:49:04 PM,04/17/2012 11:22:34 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10461.0,1808 HONE AVENUE,HONE AVENUE,MORRIS PARK AVENUE,RHINELANDER AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,04/18/2012 06:49:04 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/17/2012 11:22:34 PM,11 BRONX,2041290040.0,BRONX,1024374.0,248708.0,PHONE,Unspecified,BRONX,,,,,,,,40.84922986597552,-73.85497001294844,"(40.849229865975516, -73.85497001294844)",True,False,False
