Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26678667,11/13/2013 10:07:12 PM,11/14/2013 01:40:14 AM,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Club/Bar/Restaurant,11365,181-34 UNION TURNPIKE,UNION TURNPIKE,182 STREET,KENT STREET,,,ADDRESS,FRESH MEADOWS,,Precinct,Closed,11/14/2013 06:07:12 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/14/2013 01:40:14 AM,08 QUEENS,4072290037.0,QUEENS,1043436.0,204383.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.727462806841224,-73.78646035510042,"(40.72746280684123, -73.78646035510042)",True,True,False
16307759,03/26/2010 06:48:21 PM,01/01/1900 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,11365.0,181-34 UNION TURNPIKE,UNION TURNPIKE,182 STREET,KENT STREET,,,ADDRESS,FRESH MEADOWS,,,Assigned,05/02/2010 06:48:21 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",03/30/2010 10:59:23 AM,08 QUEENS,4072290037.0,QUEENS,1043436.0,204383.0,PHONE,Unspecified,QUEENS,,,,,,,,40.727462806841224,-73.78646035510042,"(40.72746280684123, -73.78646035510042)",True,False,False
27010040,12/29/2013 06:46:00 PM,12/29/2013 11:55:00 PM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11365,181-34 UNION TURNPIKE,UNION TURNPIKE,SURREY PL,KENT ST,,,ADDRESS,Fresh Meadows,,,Closed,,The Department of Environmental Protection investigated this complaint and found there was no sewer back up in the city system at the time of the inspection.,12/29/2013 11:55:00 PM,08 QUEENS,4072290037.0,QUEENS,1043436.0,204383.0,PHONE,Unspecified,QUEENS,,,,,,,,40.727462806841224,-73.78646035510042,"(40.72746280684123, -73.78646035510042)",False,True,False
27109600,01/09/2014 12:44:00 AM,01/09/2014 02:10:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11365.0,181-34 UNION TURNPIKE,UNION TURNPIKE,SURREY PL,KENT ST,,,ADDRESS,Fresh Meadows,,,Closed,,"The Department of Environmental Protection has investigated this complaint. Upon investigation, there was no indication of a city sewer issue and there is a suspected sewer backup due to an internal plumbing issue.",01/09/2014 02:10:00 AM,08 QUEENS,4072290037.0,QUEENS,1043436.0,204383.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.727462806841224,-73.78646035510042,"(40.72746280684123, -73.78646035510042)",False,True,False
16307760,03/26/2010 06:56:45 PM,03/26/2010 11:51:13 PM,NYPD,New York City Police Department,Drinking,Underage - Licensed Est,Club/Bar/Restaurant,11365.0,181-34 UNION TURNPIKE,UNION TURNPIKE,182 STREET,KENT STREET,,,ADDRESS,FRESH MEADOWS,,Precinct,Closed,03/27/2010 02:56:45 AM,,03/26/2010 12:00:00 AM,08 QUEENS,4072290037.0,QUEENS,1043436.0,204383.0,PHONE,Unspecified,QUEENS,,,,,,,,40.727462806841224,-73.78646035510042,"(40.72746280684123, -73.78646035510042)",True,False,False
18853766,10/09/2010 01:51:50 AM,10/09/2010 05:43:04 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11365,181-34 UNION TURNPIKE,UNION TURNPIKE,182 STREET,KENT STREET,,,ADDRESS,FRESH MEADOWS,,Precinct,Closed,10/09/2010 09:51:50 AM,The Police Department responded to the complaint and determined that police action was not necessary.,10/09/2010 12:00:00 AM,08 QUEENS,4072290037.0,QUEENS,1043436.0,204383.0,PHONE,Unspecified,QUEENS,,,,,,,,40.727462806841224,-73.78646035510042,"(40.72746280684123, -73.78646035510042)",True,False,False
19054205,11/06/2010 12:26:13 AM,11/06/2010 03:23:24 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11365,181-34 UNION TURNPIKE,UNION TURNPIKE,182 STREET,KENT STREET,,,ADDRESS,FRESH MEADOWS,,Precinct,Closed,11/06/2010 08:26:13 AM,The Police Department responded to the complaint and determined that police action was not necessary.,11/06/2010 12:00:00 AM,08 QUEENS,4072290037.0,QUEENS,1043436.0,204383.0,PHONE,Unspecified,QUEENS,,,,,,,,40.727462806841224,-73.78646035510042,"(40.72746280684123, -73.78646035510042)",True,False,False
24819890,01/20/2013 11:12:59 PM,01/21/2013 02:04:19 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11365,181-34 UNION TURNPIKE,UNION TURNPIKE,182 STREET,KENT STREET,,,ADDRESS,FRESH MEADOWS,,Precinct,Closed,01/21/2013 07:12:59 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/21/2013 02:04:19 AM,08 QUEENS,4072290037.0,QUEENS,1043436.0,204383.0,PHONE,Unspecified,QUEENS,,,,,,,,40.727462806841224,-73.78646035510042,"(40.72746280684123, -73.78646035510042)",False,False,False
25861348,07/02/2013 10:26:39 AM,07/02/2013 01:03:48 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11365,181-34 UNION TURNPIKE,UNION TURNPIKE,182 STREET,KENT STREET,,,ADDRESS,FRESH MEADOWS,,Precinct,Closed,07/02/2013 06:26:39 PM,The Police Department responded to the complaint and determined that police action was not necessary.,07/02/2013 01:03:48 PM,08 QUEENS,4072290037.0,QUEENS,1043436.0,204383.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.727462806841224,-73.78646035510042,"(40.72746280684123, -73.78646035510042)",True,True,False
25984227,07/22/2013 03:57:14 PM,07/22/2013 11:18:51 PM,NYPD,New York City Police Department,Noise - Commercial,Car/Truck Music,Store/Commercial,11365.0,181-34 UNION TURNPIKE,UNION TURNPIKE,182 STREET,KENT STREET,,,ADDRESS,FRESH MEADOWS,,Precinct,Closed,07/22/2013 11:57:14 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/22/2013 11:17:07 PM,08 QUEENS,4072290037.0,QUEENS,1043436.0,204383.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.727462806841224,-73.78646035510042,"(40.72746280684123, -73.78646035510042)",True,True,False
