Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
22931892,03/22/2012 09:00:00 AM,03/22/2012 12:30:00 PM,DEP,Department of Environmental Protection,Industrial Waste,Wastewater Into Catch Basin (IEB),,11234.0,1819 UTICA AVENUE,UTICA AVENUE,AVENUE J,FLATLANDS AVE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Environmental Protection investigated this complaint and found no problem.,03/22/2012 12:30:00 PM,18 BROOKLYN,3077980054.0,BROOKLYN,1004290.0,167965.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.62767898097293,-73.92780501015874,"(40.62767898097293, -73.92780501015874)",True,True,False
22985194,04/01/2012 11:01:00 AM,04/18/2012 12:00:00 PM,DSNY,A - Brooklyn,Dirty Conditions,E1 Improper Disposal,Sidewalk,11234.0,1819 UTICA AVENUE,UTICA AVENUE,AVENUE J,FLATLANDS AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/18/2012 12:00:00 PM,18 BROOKLYN,3077980054.0,BROOKLYN,1004290.0,167965.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.62767898097293,-73.92780501015874,"(40.62767898097293, -73.92780501015874)",True,True,False
23046432,04/12/2012 07:31:00 AM,04/17/2012 12:00:00 PM,DSNY,A - Brooklyn,Dirty Conditions,E1 Improper Disposal,Sidewalk,11234.0,1819 UTICA AVENUE,UTICA AVENUE,AVENUE J,FLATLANDS AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/17/2012 12:00:00 PM,18 BROOKLYN,3077980054.0,BROOKLYN,1004290.0,167965.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.62767898097293,-73.92780501015874,"(40.62767898097293, -73.92780501015874)",True,True,False
23131864,04/27/2012 05:31:00 PM,05/03/2012 12:00:00 PM,DSNY,A - Brooklyn,Dirty Conditions,E1 Improper Disposal,Sidewalk,11234.0,1819 UTICA AVENUE,UTICA AVENUE,AVENUE J,FLATLANDS AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,05/03/2012 12:00:00 PM,18 BROOKLYN,3077980054.0,BROOKLYN,1004290.0,167965.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.62767898097293,-73.92780501015874,"(40.62767898097293, -73.92780501015874)",True,True,False
23258248,05/18/2012 10:31:00 AM,05/24/2012 12:00:00 PM,DSNY,A - Brooklyn,Dirty Conditions,E1 Improper Disposal,Sidewalk,11234.0,1819 UTICA AVENUE,UTICA AVENUE,AVENUE J,FLATLANDS AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",05/24/2012 12:00:00 PM,18 BROOKLYN,3077980054.0,BROOKLYN,1004290.0,167965.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.62767898097293,-73.92780501015874,"(40.62767898097293, -73.92780501015874)",True,True,False
23653082,07/20/2012 07:00:00 PM,07/23/2012 12:00:00 PM,DSNY,A - Brooklyn,Dirty Conditions,E1 Improper Disposal,Sidewalk,11234.0,1819 UTICA AVENUE,UTICA AVENUE,AVENUE J,FLATLANDS AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",07/23/2012 12:00:00 PM,18 BROOKLYN,3077980054.0,BROOKLYN,1004290.0,167965.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.62767898097293,-73.92780501015874,"(40.62767898097293, -73.92780501015874)",True,True,True
23738675,08/03/2012 04:16:00 PM,08/04/2012 12:00:00 PM,DSNY,P - Brooklyn and Staten Island,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,11234.0,1819 UTICA AVENUE,UTICA AVENUE,AVENUE J,FLATLANDS AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,08/04/2012 12:00:00 PM,18 BROOKLYN,3077980054.0,BROOKLYN,1004290.0,167965.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.62767898097293,-73.92780501015874,"(40.62767898097293, -73.92780501015874)",True,True,True
23465849,06/21/2012 07:16:00 AM,06/23/2012 12:00:00 PM,DSNY,A - Brooklyn,Dirty Conditions,E1 Improper Disposal,Sidewalk,11234,1819 UTICA AVENUE,UTICA AVENUE,AVENUE J,FLATLANDS AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/23/2012 12:00:00 PM,18 BROOKLYN,3077980054.0,BROOKLYN,1004290.0,167965.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.62767898097293,-73.92780501015874,"(40.62767898097293, -73.92780501015874)",True,True,False
21926091,11/19/2011 05:25:05 PM,11/19/2011 05:25:05 PM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,11234,1819 UTICA AVENUE,UTICA AVENUE,AVENUE J,FLATLANDS AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and issued an Environmental Control Board violation.,11/19/2011 12:00:00 AM,18 BROOKLYN,3077980054.0,BROOKLYN,1004290.0,167965.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.62767898097293,-73.92780501015874,"(40.62767898097293, -73.92780501015874)",True,True,False
22916784,03/20/2012 07:53:58 AM,05/20/2012 06:15:10 AM,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery,11234,1819 UTICA AVENUE,UTICA AVENUE,AVENUE J,FLATLANDS AVENUE,,,ADDRESS,BROOKLYN,,,Closed,05/19/2012 07:53:58 AM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",05/20/2012 06:15:10 AM,18 BROOKLYN,3077980054.0,BROOKLYN,1004290.0,167965.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.62767898097293,-73.92780501015874,"(40.62767898097293, -73.92780501015874)",True,True,False
