Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
32169742,12/10/2015 01:08:21 PM,,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,10472.0,1852 WESTCHESTER AVENUE,WESTCHESTER AVENUE,THIERIOT AVENUE,LELAND AVENUE,,,ADDRESS,BRONX,,,Assigned,01/16/2016 01:08:21 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",12/10/2015 03:36:43 PM,09 BRONX,2037660047.0,BRONX,1021884.0,242634.0,PHONE,Unspecified,BRONX,,,,,,,,40.832569491219786,-73.86400429899176,"(40.83256949121978, -73.86400429899177)",True,True,False
31876868,10/30/2015 08:43:54 AM,10/30/2015 02:59:38 PM,NYPD,New York City Police Department,Drinking,Underage - Licensed Est,Club/Bar/Restaurant,10472.0,1852 WESTCHESTER AVENUE,WESTCHESTER AVENUE,THIERIOT AVENUE,LELAND AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,10/30/2015 04:43:54 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/30/2015 02:59:38 PM,09 BRONX,2037660047.0,BRONX,1021884.0,242634.0,PHONE,Unspecified,BRONX,,,,,,,,40.832569491219786,-73.86400429899176,"(40.83256949121978, -73.86400429899177)",True,True,False
31879080,10/30/2015 08:39:59 AM,10/30/2015 02:59:39 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10472.0,1852 WESTCHESTER AVENUE,WESTCHESTER AVENUE,THIERIOT AVENUE,LELAND AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,10/30/2015 04:39:59 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/30/2015 02:59:39 PM,09 BRONX,2037660047.0,BRONX,1021884.0,242634.0,PHONE,Unspecified,BRONX,,,,,,,,40.832569491219786,-73.86400429899176,"(40.83256949121978, -73.86400429899177)",True,True,False
32163578,12/10/2015 12:50:15 PM,02/09/2016 07:02:51 AM,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Permit/License/Certificate,Restaurant/Bar/Deli/Bakery,10472.0,1852 WESTCHESTER AVENUE,WESTCHESTER AVENUE,THIERIOT AVENUE,LELAND AVENUE,,,ADDRESS,BRONX,,,Closed,02/08/2016 12:50:15 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",02/09/2016 07:02:51 AM,09 BRONX,2037660047.0,BRONX,1021884.0,242634.0,PHONE,Unspecified,BRONX,,,,,,,,40.832569491219786,-73.86400429899176,"(40.83256949121978, -73.86400429899177)",True,True,False
32547455,01/27/2016 08:38:40 PM,03/28/2016 07:08:25 AM,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Pesticide,Restaurant/Bar/Deli/Bakery,10472,1852 WESTCHESTER AVENUE,WESTCHESTER AVENUE,THIERIOT AVENUE,LELAND AVENUE,,,ADDRESS,BRONX,,,Closed,03/27/2016 08:38:40 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",03/28/2016 07:08:25 AM,09 BRONX,2037660047.0,BRONX,1021884.0,242634.0,ONLINE,Unspecified,BRONX,,,,,,,,40.832569491219786,-73.86400429899176,"(40.83256949121978, -73.86400429899177)",True,True,False
32711004,02/17/2016 06:26:15 PM,03/11/2016 08:48:15 AM,DOT,Department of Transportation,Broken Muni Meter,Out of Order,Street,10472.0,1852 WESTCHESTER AVENUE,WESTCHESTER AVENUE,THIERIOT AVENUE,LELAND AVENUE,,,ADDRESS,BRONX,,,Closed,03/08/2016 06:26:15 PM,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",03/11/2016 08:48:15 AM,09 BRONX,2037660047.0,BRONX,1021884.0,242634.0,MOBILE,Unspecified,BRONX,,,,,,,,40.832569491219786,-73.86400429899176,"(40.83256949121978, -73.86400429899177)",False,True,False
22491244,01/09/2012 07:52:57 AM,01/09/2012 12:50:00 PM,DOT,Department of Transportation,Street Condition,Pothole,,10472.0,1852 WESTCHESTER AVENUE,WESTCHESTER AVENUE,LELAND AVENUE,THIERIOT AVENUE,,,ADDRESS,BRONX,,,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,01/09/2012 12:50:00 PM,Unspecified BRONX,2037660047.0,BRONX,1021884.0,242634.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.832569491219786,-73.86400429899176,"(40.83256949121978, -73.86400429899177)",False,False,False
22621569,01/30/2012 12:00:00 AM,02/06/2012 12:00:00 AM,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,RESIDENTIAL BUILDING,10472,1852 WESTCHESTER AVENUE,WESTCHESTER AVENUE,THIERIOT AVENUE,LELAND AVENUE,,,ADDRESS,BRONX,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,02/06/2012 12:00:00 AM,09 BRONX,2037660047.0,BRONX,1021884.0,242634.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.832569491219786,-73.86400429899176,"(40.83256949121978, -73.86400429899177)",True,False,False
22623205,01/30/2012 12:00:00 AM,02/06/2012 12:00:00 AM,HPD,Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-WIRING,RESIDENTIAL BUILDING,10472,1852 WESTCHESTER AVENUE,WESTCHESTER AVENUE,THIERIOT AVENUE,LELAND AVENUE,,,ADDRESS,BRONX,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,02/06/2012 12:00:00 AM,09 BRONX,2037660047.0,BRONX,1021884.0,242634.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.832569491219786,-73.86400429899176,"(40.83256949121978, -73.86400429899177)",False,False,False
22624415,01/30/2012 12:00:00 AM,02/06/2012 12:00:00 AM,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,10472,1852 WESTCHESTER AVENUE,WESTCHESTER AVENUE,THIERIOT AVENUE,LELAND AVENUE,,,ADDRESS,BRONX,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,02/06/2012 12:00:00 AM,09 BRONX,2037660047.0,BRONX,1021884.0,242634.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.832569491219786,-73.86400429899176,"(40.83256949121978, -73.86400429899177)",True,False,False
