Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
28012121,05/09/2014 10:51:11 PM,05/10/2014 07:17:20 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10457.0,1880 CARTER AVENUE,CARTER AVENUE,,,,,LATLONG,BRONX,,Precinct,Closed,05/10/2014 06:51:11 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,05/10/2014 07:17:20 AM,05 BRONX,,BRONX,1011448.0,248026.0,MOBILE,Unspecified,BRONX,,,,,,,,40.847407256046026,-73.90169433421197,"(40.84740725604602, -73.90169433421197)",True,False,False
28959165,09/26/2014 01:14:20 PM,09/26/2014 04:04:59 PM,NYPD,New York City Police Department,Drinking,Underage - Licensed Est,Club/Bar/Restaurant,10457,1880 CARTER AVENUE,CARTER AVENUE,EAST 176 STREET,EAST TREMONT AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,09/26/2014 09:14:20 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/26/2014 04:04:59 PM,05 BRONX,2028920118.0,BRONX,1011410.0,248035.0,PHONE,Unspecified,BRONX,,,,,,,,40.84743207534584,-73.9018316465382,"(40.847432075345836, -73.9018316465382)",True,False,False
29090836,10/17/2014 01:12:43 PM,10/17/2014 02:39:37 PM,NYPD,New York City Police Department,Drinking,Underage - Licensed Est,Club/Bar/Restaurant,10457.0,1880 CARTER AVENUE,CARTER AVENUE,EAST 176 STREET,EAST TREMONT AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,10/17/2014 09:12:43 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/17/2014 02:39:37 PM,05 BRONX,2028920118.0,BRONX,1011410.0,248035.0,PHONE,Unspecified,BRONX,,,,,,,,40.84743207534584,-73.9018316465382,"(40.847432075345836, -73.9018316465382)",True,False,False
29121026,10/22/2014 11:15:35 AM,10/22/2014 04:23:06 PM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10457.0,1880 CARTER AVENUE,CARTER AVENUE,EAST 176 STREET,EAST TREMONT AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,10/22/2014 07:15:35 PM,The Police Department responded to the complaint and took action to fix the condition.,10/22/2014 04:22:53 PM,05 BRONX,2028920118.0,BRONX,1011410.0,248035.0,PHONE,Unspecified,BRONX,,,,,,,,40.84743207534584,-73.9018316465382,"(40.847432075345836, -73.9018316465382)",False,False,False
29780637,01/23/2015 09:44:10 AM,01/23/2015 09:57:47 AM,NYPD,New York City Police Department,Drinking,Underage - Licensed Est,Club/Bar/Restaurant,10457.0,1880 CARTER AVENUE,CARTER AVENUE,EAST 176 STREET,EAST TREMONT AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,01/23/2015 05:44:10 PM,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,01/23/2015 09:57:47 AM,05 BRONX,2028920118.0,BRONX,1011410.0,248035.0,PHONE,Unspecified,BRONX,,,,,,,,40.84743207534584,-73.9018316465382,"(40.847432075345836, -73.9018316465382)",True,False,False
32290357,12/29/2015 11:22:43 AM,12/29/2015 11:58:27 PM,NYPD,New York City Police Department,Drinking,Underage - Licensed Est,Club/Bar/Restaurant,10457,1880 CARTER AVENUE,CARTER AVENUE,EAST 176 STREET,EAST TREMONT AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,12/29/2015 07:22:43 PM,The Police Department reviewed your complaint and provided additional information below.,12/29/2015 11:58:27 PM,05 BRONX,2028920118.0,BRONX,1011410.0,248035.0,PHONE,Unspecified,BRONX,,,,,,,,40.84743207534584,-73.9018316465382,"(40.847432075345836, -73.9018316465382)",True,False,False
33575481,06/11/2016 12:39:36 PM,06/11/2016 04:25:22 PM,NYPD,New York City Police Department,Drinking,Underage - Licensed Est,Club/Bar/Restaurant,10457,1880 CARTER AVENUE,CARTER AVENUE,EAST 176 STREET,BEND,,,ADDRESS,BRONX,,Precinct,Closed,06/11/2016 08:39:36 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/11/2016 04:25:22 PM,05 BRONX,2028920118.0,BRONX,1011397.0,248004.0,PHONE,Unspecified,BRONX,,,,,,,,40.847347029510324,-73.90187875980624,"(40.847347029510324, -73.90187875980624)",True,True,False
34718327,11/06/2016 04:34:26 PM,11/07/2016 03:40:28 PM,NYPD,New York City Police Department,Drinking,Underage - Licensed Est,Club/Bar/Restaurant,10457,1880 CARTER AVENUE,CARTER AVENUE,EAST 176 STREET,BEND,,,ADDRESS,BRONX,,Precinct,Closed,11/07/2016 12:34:26 AM,The Police Department reviewed your complaint and provided additional information below.,11/07/2016 03:39:21 PM,05 BRONX,2028920118.0,BRONX,1011397.0,248004.0,PHONE,Unspecified,BRONX,,,,,,,,40.847347029510324,-73.90187875980624,"(40.847347029510324, -73.90187875980624)",True,True,False
34791480,11/16/2016 08:22:00 AM,11/16/2016 12:00:00 PM,DSNY,Bronx 05,Derelict Vehicles,14 Derelict Vehicles,Street,10457.0,1880 CARTER AVENUE,CARTER AVENUE,EAST 176 STREET,BEND,,,ADDRESS,BRONX,,DSNY Garage,Pending,,The Department of Sanitation removed the items.,11/16/2016 08:22:00 AM,05 BRONX,2028920118.0,BRONX,1011397.0,248004.0,PHONE,Unspecified,BRONX,,,,,,,,40.847347029510324,-73.90187875980624,"(40.847347029510324, -73.90187875980624)",False,True,False
34792513,11/16/2016 08:26:00 AM,11/16/2016 12:00:00 PM,DSNY,Bronx 05,Derelict Vehicles,14 Derelict Vehicles,Street,10457.0,1880 CARTER AVENUE,CARTER AVENUE,EAST 176 STREET,BEND,,,ADDRESS,BRONX,,DSNY Garage,Pending,,The Department of Sanitation removed the items.,11/16/2016 08:26:00 AM,05 BRONX,2028920118.0,BRONX,1011397.0,248004.0,PHONE,Unspecified,BRONX,,,,,,,,40.847347029510324,-73.90187875980624,"(40.847347029510324, -73.90187875980624)",False,True,False
34796828,11/16/2016 08:24:00 AM,11/16/2016 12:00:00 PM,DSNY,Bronx 05,Derelict Vehicles,14 Derelict Vehicles,Street,10457.0,1880 CARTER AVENUE,CARTER AVENUE,EAST 176 STREET,BEND,,,ADDRESS,BRONX,,DSNY Garage,Pending,,The Department of Sanitation removed the items.,11/16/2016 08:24:00 AM,05 BRONX,2028920118.0,BRONX,1011397.0,248004.0,PHONE,Unspecified,BRONX,,,,,,,,40.847347029510324,-73.90187875980624,"(40.847347029510324, -73.90187875980624)",False,True,False
