Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
27045834,01/03/2014 12:00:00 AM,01/09/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,RESIDENTIAL BUILDING,11206.0,191 GRAHAM AVENUE,GRAHAM AVENUE,MESEROLE STREET,SCHOLES STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,01/09/2014 12:00:00 AM,01 BROOKLYN,3030430020.0,BROOKLYN,999936.0,197448.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70861200079581,-73.94342188116434,"(40.70861200079581, -73.94342188116434)",True,False,False
28014580,05/10/2014 12:00:00 AM,05/13/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11206.0,191 GRAHAM AVENUE,GRAHAM AVENUE,MESEROLE STREET,SCHOLES STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,05/13/2014 12:00:00 AM,01 BROOKLYN,3030430020.0,BROOKLYN,999936.0,197448.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70861200079581,-73.94342188116434,"(40.70861200079581, -73.94342188116434)",True,True,False
28014835,05/10/2014 12:00:00 AM,05/13/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11206.0,191 GRAHAM AVENUE,GRAHAM AVENUE,MESEROLE STREET,SCHOLES STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,05/13/2014 12:00:00 AM,01 BROOKLYN,3030430020.0,BROOKLYN,999936.0,197448.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70861200079581,-73.94342188116434,"(40.70861200079581, -73.94342188116434)",True,True,False
28015258,05/10/2014 12:00:00 AM,05/13/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11206.0,191 GRAHAM AVENUE,GRAHAM AVENUE,MESEROLE STREET,SCHOLES STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,05/13/2014 12:00:00 AM,01 BROOKLYN,3030430020.0,BROOKLYN,999936.0,197448.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70861200079581,-73.94342188116434,"(40.70861200079581, -73.94342188116434)",True,True,False
28015288,05/10/2014 12:00:00 AM,05/13/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,11206.0,191 GRAHAM AVENUE,GRAHAM AVENUE,MESEROLE STREET,SCHOLES STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,05/13/2014 12:00:00 AM,01 BROOKLYN,3030430020.0,BROOKLYN,999936.0,197448.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70861200079581,-73.94342188116434,"(40.70861200079581, -73.94342188116434)",True,True,False
28015829,05/10/2014 12:00:00 AM,05/13/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,11206.0,191 GRAHAM AVENUE,GRAHAM AVENUE,MESEROLE STREET,SCHOLES STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,05/13/2014 12:00:00 AM,01 BROOKLYN,3030430020.0,BROOKLYN,999936.0,197448.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70861200079581,-73.94342188116434,"(40.70861200079581, -73.94342188116434)",True,True,False
28017767,05/10/2014 12:00:00 AM,05/13/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11206.0,191 GRAHAM AVENUE,GRAHAM AVENUE,MESEROLE STREET,SCHOLES STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,05/13/2014 12:00:00 AM,01 BROOKLYN,3030430020.0,BROOKLYN,999936.0,197448.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70861200079581,-73.94342188116434,"(40.70861200079581, -73.94342188116434)",True,True,False
28017815,05/10/2014 12:00:00 AM,05/13/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11206.0,191 GRAHAM AVENUE,GRAHAM AVENUE,MESEROLE STREET,SCHOLES STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,05/13/2014 12:00:00 AM,01 BROOKLYN,3030430020.0,BROOKLYN,999936.0,197448.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70861200079581,-73.94342188116434,"(40.70861200079581, -73.94342188116434)",True,True,False
28018006,05/10/2014 12:00:00 AM,05/13/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,11206.0,191 GRAHAM AVENUE,GRAHAM AVENUE,MESEROLE STREET,SCHOLES STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,05/13/2014 12:00:00 AM,01 BROOKLYN,3030430020.0,BROOKLYN,999936.0,197448.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70861200079581,-73.94342188116434,"(40.70861200079581, -73.94342188116434)",True,True,False
28018483,05/10/2014 12:00:00 AM,05/13/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,11206.0,191 GRAHAM AVENUE,GRAHAM AVENUE,MESEROLE STREET,SCHOLES STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,05/13/2014 12:00:00 AM,01 BROOKLYN,3030430020.0,BROOKLYN,999936.0,197448.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70861200079581,-73.94342188116434,"(40.70861200079581, -73.94342188116434)",True,True,False
28019271,05/10/2014 12:00:00 AM,05/13/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL,VENTILATION SYSTEM,RESIDENTIAL BUILDING,11206.0,191 GRAHAM AVENUE,GRAHAM AVENUE,MESEROLE STREET,SCHOLES STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,05/13/2014 12:00:00 AM,01 BROOKLYN,3030430020.0,BROOKLYN,999936.0,197448.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70861200079581,-73.94342188116434,"(40.70861200079581, -73.94342188116434)",True,True,False
28019346,05/10/2014 12:00:00 AM,05/13/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,11206.0,191 GRAHAM AVENUE,GRAHAM AVENUE,MESEROLE STREET,SCHOLES STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,05/13/2014 12:00:00 AM,01 BROOKLYN,3030430020.0,BROOKLYN,999936.0,197448.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70861200079581,-73.94342188116434,"(40.70861200079581, -73.94342188116434)",True,True,False
25878058,07/05/2013 02:29:00 PM,07/06/2013 08:40:00 AM,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11206.0,191 GRAHAM AVENUE,GRAHAM AVENUE,MESEROLE ST,SCHOLES ST,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Environmental Protection inspected your complaint and cleaned the catch basin or inlet. If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",07/06/2013 08:40:00 AM,01 BROOKLYN,3030430020.0,BROOKLYN,999936.0,197448.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70861200079581,-73.94342188116434,"(40.70861200079581, -73.94342188116434)",False,False,False
27744581,03/29/2014 08:41:50 PM,03/29/2014 11:01:11 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11206,191 GRAHAM AVENUE,GRAHAM AVENUE,MESEROLE STREET,SCHOLES STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,03/30/2014 04:41:50 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/29/2014 11:01:11 PM,01 BROOKLYN,3030430020.0,BROOKLYN,999936.0,197448.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70861200079581,-73.94342188116434,"(40.70861200079581, -73.94342188116434)",True,True,False
