Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26607697,11/01/2013 04:32:49 PM,04/03/2014 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11230,1915 CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,AVENUE O,AVENUE P,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",04/03/2014 12:00:00 AM,14 BROOKLYN,3067580063.0,BROOKLYN,994656.0,161811.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.610804087544004,-73.96252140223184,"(40.61080408754401, -73.96252140223184)",True,True,False
26632760,11/06/2013 04:20:05 PM,11/07/2013 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11230.0,1915 CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,AVENUE O,AVENUE P,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Buildings investigated this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",11/07/2013 12:00:00 AM,14 BROOKLYN,3067580063.0,BROOKLYN,994656.0,161811.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.610804087544004,-73.96252140223184,"(40.61080408754401, -73.96252140223184)",True,True,False
16041666,02/19/2010 02:01:31 PM,02/21/2010 05:40:00 PM,DOT,Department of Transportation,Street Condition,Pothole,,11230.0,1915 CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,AVENUE O,AVENUE P,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,02/21/2010 05:40:00 PM,Unspecified BROOKLYN,3067580063.0,BROOKLYN,994656.0,161811.0,OTHER,Unspecified,BROOKLYN,,,,,,,,40.610804087544004,-73.96252140223184,"(40.61080408754401, -73.96252140223184)",False,False,False
16182156,03/10/2010 10:38:43 AM,11/06/2013 12:00:00 AM,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Illegal Hotel Rooms In Residential Building,,11230,1915 CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,AVENUE O,AVENUE P,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Buildings investigated this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",11/06/2013 12:00:00 AM,14 BROOKLYN,3067580063.0,BROOKLYN,994656.0,161811.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.610804087544004,-73.96252140223184,"(40.61080408754401, -73.96252140223184)",True,False,False
16236512,03/17/2010 01:41:32 PM,03/24/2010 12:29:07 PM,DOT,Department of Transportation,Street Condition,Failed Street Repair,Street,11230,1915 CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,AVENUE O,AVENUE P,,,ADDRESS,BROOKLYN,,,Closed,03/27/2010 01:41:32 PM,,03/24/2010 12:00:00 AM,14 BROOKLYN,3067580063.0,BROOKLYN,994656.0,161811.0,OTHER,Unspecified,BROOKLYN,,,,,,,,40.610804087544004,-73.96252140223184,"(40.61080408754401, -73.96252140223184)",False,False,False
16293480,03/24/2010 11:23:39 AM,03/25/2010 12:00:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,11230,1915 CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,AVENUE O,AVENUE P,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,03/25/2010 10:00:00 AM,Unspecified BROOKLYN,3067580063.0,BROOKLYN,994656.0,161811.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.610804087544004,-73.96252140223184,"(40.61080408754401, -73.96252140223184)",False,False,False
16711103,05/22/2010 04:03:22 AM,05/22/2010 07:21:42 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11230,1915 CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,AVENUE O,AVENUE P,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/22/2010 12:03:22 PM,,05/22/2010 12:00:00 AM,14 BROOKLYN,3067580063.0,BROOKLYN,994656.0,161811.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.610804087544004,-73.96252140223184,"(40.61080408754401, -73.96252140223184)",False,False,False
18265508,07/15/2010 02:09:59 PM,07/23/2010 04:25:33 PM,DOT,Department of Transportation,Street Condition,Failed Street Repair,Street,11230,1915 CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,AVENUE O,AVENUE P,,,ADDRESS,BROOKLYN,,,Closed,10/13/2010 02:09:59 PM,,07/23/2010 12:00:00 AM,14 BROOKLYN,3067580063.0,BROOKLYN,994656.0,161811.0,OTHER,Unspecified,BROOKLYN,,,,,,,,40.610804087544004,-73.96252140223184,"(40.61080408754401, -73.96252140223184)",False,False,False
18329961,07/23/2010 03:47:21 PM,08/19/2010 11:45:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,11230,1915 CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,AVENUE O,AVENUE P,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,08/19/2010 11:45:00 AM,Unspecified BROOKLYN,3067580063.0,BROOKLYN,994656.0,161811.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.610804087544004,-73.96252140223184,"(40.61080408754401, -73.96252140223184)",False,False,False
18546572,08/25/2010 12:47:02 AM,08/25/2010 01:44:58 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11230,1915 CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,AVENUE O,AVENUE P,,,ADDRESS,BROOKLYN,,Precinct,Closed,08/25/2010 08:47:02 AM,,08/25/2010 12:00:00 AM,14 BROOKLYN,3067580063.0,BROOKLYN,994656.0,161811.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.610804087544004,-73.96252140223184,"(40.61080408754401, -73.96252140223184)",True,False,False
21710626,10/22/2011 05:18:58 PM,10/22/2011 05:18:58 PM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,11230,1915 CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,AVENUE O,AVENUE P,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and issued an Environmental Control Board violation.,10/22/2011 12:00:00 AM,14 BROOKLYN,3067580063.0,BROOKLYN,994656.0,161811.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.610804087544004,-73.96252140223184,"(40.61080408754401, -73.96252140223184)",True,False,False
21711229,10/22/2011 05:14:44 PM,10/22/2011 05:14:44 PM,DOB,Department of Buildings,General Construction/Plumbing,Failure To Maintain,,11230,1915 CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,AVENUE O,AVENUE P,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and issued an Environmental Control Board violation.,10/22/2011 12:00:00 AM,14 BROOKLYN,3067580063.0,BROOKLYN,994656.0,161811.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.610804087544004,-73.96252140223184,"(40.61080408754401, -73.96252140223184)",True,False,False
