Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26302451,09/12/2013 03:14:10 PM,09/12/2013 08:32:49 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11223,192 AVENUE U,AVENUE U,WEST 6 STREET,WEST 5 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/12/2013 11:14:10 PM,The Police Department responded to the complaint and determined that police action was not necessary.,09/12/2013 08:32:49 PM,15 BROOKLYN,3071210005.0,BROOKLYN,990627.0,156617.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.59655143120565,-73.97703728637812,"(40.596551431205654, -73.97703728637812)",True,False,False
26352099,09/21/2013 01:54:43 AM,09/21/2013 03:23:42 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11223,192 AVENUE U,AVENUE U,WEST 6 STREET,WEST 5 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/21/2013 09:54:43 AM,The Police Department responded to the complaint and took action to fix the condition.,09/21/2013 03:23:42 AM,15 BROOKLYN,3071210005.0,BROOKLYN,990627.0,156617.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.59655143120565,-73.97703728637812,"(40.596551431205654, -73.97703728637812)",True,False,False
26339701,09/18/2013 01:39:21 PM,09/27/2013 03:32:32 PM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,3 or More,Restaurant/Bar/Deli/Bakery,11223,192 AVENUE U,AVENUE U,WEST 6 STREET,WEST 5 STREET,,,ADDRESS,BROOKLYN,,,Closed,10/02/2013 01:39:21 PM,The Department of Health and Mental Hygiene could not confirm a case of food poisoning because this complaint was submitted anonymously.  The location will be inspected according to its normal schedule for sanitary inspections.,09/27/2013 03:32:32 PM,15 BROOKLYN,3071210005.0,BROOKLYN,990627.0,156617.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.59655143120565,-73.97703728637812,"(40.596551431205654, -73.97703728637812)",True,False,False
26611754,11/03/2013 01:00:48 AM,11/03/2013 03:22:52 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11223.0,192 AVENUE U,AVENUE U,WEST 6 STREET,WEST 5 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/03/2013 09:00:48 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/03/2013 03:22:52 AM,15 BROOKLYN,3071210005.0,BROOKLYN,990627.0,156617.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.59655143120565,-73.97703728637812,"(40.596551431205654, -73.97703728637812)",True,False,False
26615526,11/03/2013 04:00:43 PM,11/03/2013 04:28:21 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11223.0,192 AVENUE U,AVENUE U,WEST 6 STREET,WEST 5 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/04/2013 12:00:43 AM,The Police Department responded to the complaint and determined that police action was not necessary.,11/03/2013 04:28:21 PM,15 BROOKLYN,3071210005.0,BROOKLYN,990627.0,156617.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.59655143120565,-73.97703728637812,"(40.596551431205654, -73.97703728637812)",True,False,False
27601567,03/07/2014 09:33:24 PM,03/08/2014 01:36:51 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11223.0,192 AVENUE U,AVENUE U,WEST 6 STREET,WEST 5 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,03/08/2014 05:33:24 AM,The Police Department responded to the complaint and determined that police action was not necessary.,03/08/2014 01:35:56 AM,15 BROOKLYN,3071210005.0,BROOKLYN,990627.0,156617.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.59655143120565,-73.97703728637812,"(40.596551431205654, -73.97703728637812)",True,False,False
25887325,07/07/2013 04:30:00 PM,07/09/2013 12:00:00 PM,DSNY,A - Brooklyn,Other Enforcement,E2A Storage Of Receptacles,Sidewalk,11223.0,192 AVENUE U,AVENUE U,WEST 6 STREET,WEST 5 STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,07/09/2013 12:00:00 PM,15 BROOKLYN,3071210005.0,BROOKLYN,990627.0,156617.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.59655143120565,-73.97703728637812,"(40.596551431205654, -73.97703728637812)",True,False,False
27737297,03/28/2014 11:47:21 PM,03/29/2014 04:10:47 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11223,192 AVENUE U,AVENUE U,WEST 6 STREET,WEST 5 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,03/29/2014 07:47:21 AM,The Police Department responded to the complaint and took action to fix the condition.,03/29/2014 04:10:48 AM,15 BROOKLYN,3071210005.0,BROOKLYN,990627.0,156617.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.59655143120565,-73.97703728637812,"(40.596551431205654, -73.97703728637812)",True,False,False
28070458,05/18/2014 03:55:20 AM,05/18/2014 07:22:33 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,11223.0,192 AVENUE U,AVENUE U,,,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/18/2014 11:55:20 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,05/18/2014 07:22:33 AM,15 BROOKLYN,3071210005.0,BROOKLYN,990627.0,156617.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.59655143120565,-73.97703728637812,"(40.596551431205654, -73.97703728637812)",True,False,False
28191729,06/05/2014 06:15:00 PM,06/18/2014 08:45:00 PM,DEP,Department of Environmental Protection,Noise,Noise: air condition/ventilation equipment (NV1),,11223,192 AVENUE U,AVENUE U,W 6 ST,W 5 ST,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Environmental Protection observed a violation of the New York City Air/Noise Code at the time of inspection and issued a notice of violation.,06/18/2014 08:45:00 PM,15 BROOKLYN,3071210005.0,BROOKLYN,990627.0,156617.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.59655143120565,-73.97703728637812,"(40.596551431205654, -73.97703728637812)",True,False,False
