Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
21959377,11/25/2011 07:31:00 PM,11/28/2011 12:00:00 PM,DSNY,"A - Illegal Posting Staten Island, Queens and Brooklyn",Dirty Conditions,E15 Illegal Postering,Sidewalk,11412.0,194-01 LINDEN BOULEVARD,LINDEN BOULEVARD,194 STREET,195 STREET,,,ADDRESS,SAINT ALBANS,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,11/28/2011 12:00:00 PM,12 QUEENS,4110660010.0,QUEENS,1051470.0,191841.0,OTHER,Unspecified,QUEENS,,,,,,,,40.692980721537225,-73.75759950812916,"(40.692980721537225, -73.75759950812916)",True,False,False
23454275,06/19/2012 01:40:00 PM,06/25/2012 12:00:00 PM,DSNY,"A - Illegal Posting Staten Island, Queens and Brooklyn",Dirty Conditions,E15 Illegal Postering,Sidewalk,11412.0,194-01 LINDEN BOULEVARD,LINDEN BOULEVARD,194 STREET,195 STREET,,,ADDRESS,SAINT ALBANS,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,06/25/2012 12:00:00 PM,12 QUEENS,4110660010.0,QUEENS,1051470.0,191841.0,OTHER,Unspecified,QUEENS,,,,,,,,40.692980721537225,-73.75759950812916,"(40.692980721537225, -73.75759950812916)",True,False,False
23500271,06/26/2012 10:20:00 PM,06/27/2012 05:35:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11412.0,194-01 LINDEN BOULEVARD,LINDEN BOULEVARD,194 ST,195 ST,,,ADDRESS,Saint Albans,,,Closed,,The Department of Environmental Protection has investigated this complaint. There was no indication of a city sewer issue and a courtesy  flush was performed.,06/27/2012 05:35:00 AM,12 QUEENS,4110660010.0,QUEENS,1051470.0,191841.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.692980721537225,-73.75759950812916,"(40.692980721537225, -73.75759950812916)",False,False,False
16237327,03/17/2010 11:04:09 PM,03/18/2010 01:51:43 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11412,194-01 LINDEN BOULEVARD,LINDEN BOULEVARD,194 STREET,195 STREET,,,ADDRESS,SAINT ALBANS,,Precinct,Closed,03/18/2010 07:04:09 AM,,03/18/2010 12:00:00 AM,12 QUEENS,4110660010.0,QUEENS,1051470.0,191841.0,PHONE,Unspecified,QUEENS,,,,,,,,40.692980721537225,-73.75759950812916,"(40.692980721537225, -73.75759950812916)",True,False,False
16280514,03/23/2010 06:13:47 AM,03/23/2010 10:02:14 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11412,194-01 LINDEN BOULEVARD,LINDEN BOULEVARD,194 STREET,195 STREET,,,ADDRESS,SAINT ALBANS,,Precinct,Closed,03/23/2010 02:13:47 PM,,03/23/2010 12:00:00 AM,12 QUEENS,4110660010.0,QUEENS,1051470.0,191841.0,PHONE,Unspecified,QUEENS,,,,,,,,40.692980721537225,-73.75759950812916,"(40.692980721537225, -73.75759950812916)",True,False,False
16281513,03/23/2010 04:49:24 AM,03/23/2010 07:37:43 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11412,194-01 LINDEN BOULEVARD,LINDEN BOULEVARD,194 STREET,195 STREET,,,ADDRESS,SAINT ALBANS,,Precinct,Closed,03/23/2010 12:49:24 PM,,03/23/2010 12:00:00 AM,12 QUEENS,4110660010.0,QUEENS,1051470.0,191841.0,PHONE,Unspecified,QUEENS,,,,,,,,40.692980721537225,-73.75759950812916,"(40.692980721537225, -73.75759950812916)",True,False,False
16267251,03/21/2010 11:00:38 PM,03/21/2010 11:29:50 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11412.0,194-01 LINDEN BOULEVARD,LINDEN BOULEVARD,194 STREET,195 STREET,,,ADDRESS,SAINT ALBANS,,Precinct,Closed,03/22/2010 07:00:38 AM,,03/21/2010 12:00:00 AM,12 QUEENS,4110660010.0,QUEENS,1051470.0,191841.0,PHONE,Unspecified,QUEENS,,,,,,,,40.692980721537225,-73.75759950812916,"(40.692980721537225, -73.75759950812916)",True,False,False
16409408,04/10/2010 01:55:52 AM,04/10/2010 04:30:45 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11412,194-01 LINDEN BOULEVARD,LINDEN BOULEVARD,194 STREET,195 STREET,,,ADDRESS,SAINT ALBANS,,Precinct,Closed,04/10/2010 09:55:52 AM,,04/10/2010 12:00:00 AM,12 QUEENS,4110660010.0,QUEENS,1051470.0,191841.0,PHONE,Unspecified,QUEENS,,,,,,,,40.692980721537225,-73.75759950812916,"(40.692980721537225, -73.75759950812916)",True,False,False
16626151,05/11/2010 12:41:50 AM,05/11/2010 02:11:23 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11412,194-01 LINDEN BOULEVARD,LINDEN BOULEVARD,194 STREET,195 STREET,,,ADDRESS,SAINT ALBANS,,Precinct,Closed,05/11/2010 08:41:50 AM,,05/11/2010 12:00:00 AM,12 QUEENS,4110660010.0,QUEENS,1051470.0,191841.0,PHONE,Unspecified,QUEENS,,,,,,,,40.692980721537225,-73.75759950812916,"(40.692980721537225, -73.75759950812916)",True,False,False
16713401,05/23/2010 12:29:18 AM,05/23/2010 12:57:48 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11412,194-01 LINDEN BOULEVARD,LINDEN BOULEVARD,194 STREET,195 STREET,,,ADDRESS,SAINT ALBANS,,Precinct,Closed,05/23/2010 08:29:18 AM,,05/23/2010 12:00:00 AM,12 QUEENS,4110660010.0,QUEENS,1051470.0,191841.0,PHONE,Unspecified,QUEENS,,,,,,,,40.692980721537225,-73.75759950812916,"(40.692980721537225, -73.75759950812916)",True,False,False
