Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26745921,11/25/2013 01:04:02 AM,01/25/2014 06:30:12 AM,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Odor,Restaurant/Bar/Deli/Bakery,10462,2020 WHITE PLAINS ROAD,WHITE PLAINS ROAD,BIRCHALL AVENUE,BRONXDALE AVENUE,,,ADDRESS,BRONX,,,Closed,01/24/2014 01:04:02 AM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",01/25/2014 06:30:12 AM,11 BRONX,2042570030.0,BRONX,1020824.0,249219.0,ONLINE,Unspecified,BRONX,,,,,,,,40.850647826661245,-73.86779883828002,"(40.85064782666124, -73.86779883828001)",True,False,False
30080310,03/03/2015 04:24:00 PM,06/10/2015 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,,10462.0,2020 WHITE PLAINS ROAD,WHITE PLAINS ROAD,,,,,ADDRESS,BRONX,,,Closed,06/27/2015 10:29:08 AM,The City has removed the graffiti from this property.,06/15/2015 12:24:04 PM,11 BRONX,2042570030.0,BRONX,1020824.0,249219.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.850647826661245,-73.86779883828002,"(40.85064782666124, -73.86779883828001)",True,True,False
18605087,09/01/2010 11:49:00 AM,11/29/2010 01:00:00 PM,DEP,Department of Environmental Protection,Water System,Hydrant Defective (WC2),,10462.0,2020 WHITE PLAINS ROAD,WHITE PLAINS ROAD,BIRCHALL AVE,BRONXDALE AVE,,,ADDRESS,BRONX,,,Closed,,The Department of Environmental Protection investigated this complaint and made a repair.,11/29/2010 01:00:00 PM,11 BRONX,2042570030.0,BRONX,1020824.0,249219.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.850647826661245,-73.86779883828002,"(40.85064782666124, -73.86779883828001)",True,False,False
18624682,09/04/2010 12:23:00 PM,09/05/2010 09:26:00 AM,DEP,Department of Environmental Protection,Water System,Hydrant Defective (WC2),,10462.0,2020 WHITE PLAINS ROAD,WHITE PLAINS ROAD,BIRCHALL AVE,BRONXDALE AVE,,,ADDRESS,BRONX,,,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,09/05/2010 09:26:00 AM,11 BRONX,2042570030.0,BRONX,1020824.0,249219.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.850647826661245,-73.86779883828002,"(40.85064782666124, -73.86779883828001)",True,False,False
18661374,09/10/2010 05:28:00 PM,10/18/2010 06:28:00 PM,DEP,Department of Environmental Protection,Water System,Hydrant Defective (WC2),,10462.0,2020 WHITE PLAINS ROAD,WHITE PLAINS ROAD,BIRCHALL AVE,BRONXDALE AVE,,,ADDRESS,BRONX,,,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,10/18/2010 06:28:00 PM,11 BRONX,2042570030.0,BRONX,1020824.0,249219.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.850647826661245,-73.86779883828002,"(40.85064782666124, -73.86779883828001)",True,False,False
18676643,09/13/2010 09:59:00 AM,09/27/2010 09:00:00 PM,DEP,Department of Environmental Protection,Water System,Hydrant Defective (WC2),,10462.0,2020 WHITE PLAINS ROAD,WHITE PLAINS ROAD,BIRCHALL AVE,BRONXDALE AVE,,,ADDRESS,BRONX,,,Closed,,The Department of Environmental Protection investigated this complaint and made a repair.,09/27/2010 09:00:00 PM,11 BRONX,2042570030.0,BRONX,1020824.0,249219.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.850647826661245,-73.86779883828002,"(40.85064782666124, -73.86779883828001)",True,False,False
18725021,09/20/2010 01:08:00 PM,10/07/2010 07:09:00 PM,DEP,Department of Environmental Protection,Water System,Hydrant Leaking (WC1),,10462.0,2020 WHITE PLAINS ROAD,WHITE PLAINS ROAD,BIRCHALL AVE,BRONXDALE AVE,,,ADDRESS,BRONX,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",10/07/2010 07:09:00 PM,11 BRONX,2042570030.0,BRONX,1020824.0,249219.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.850647826661245,-73.86779883828002,"(40.85064782666124, -73.86779883828001)",True,False,False
24608594,12/16/2012 10:53:00 PM,12/17/2012 09:30:00 PM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,10462.0,2020 WHITE PLAINS ROAD,WHITE PLAINS ROAD,BIRCHALL AVE,BRONXDALE AVE,,,ADDRESS,BRONX,,,Closed,,The Department of Environmental Protection investigated this complaint and made a repair.,12/17/2012 09:30:00 PM,11 BRONX,2042570030.0,BRONX,1020824.0,249219.0,PHONE,Unspecified,BRONX,,,,,,,,40.850647826661245,-73.86779883828002,"(40.85064782666124, -73.86779883828001)",True,False,False
27852169,04/15/2014 10:08:05 AM,07/07/2014 04:55:07 PM,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint,Street,10462,2020 WHITE PLAINS ROAD,WHITE PLAINS ROAD,BIRCHALL AVENUE,BRONXDALE AVENUE,,,ADDRESS,BRONX,,,Closed,05/31/2014 08:36:26 AM,The Taxi and Limousine Commission will send a confirmation letter in 14 days to confirm your complaint details. At the hearing you may be required to provide information regarding this complaint. Please note your Service Request number for future reference.,07/07/2014 04:53:54 PM,11 BRONX,2042570030.0,BRONX,1020824.0,249219.0,ONLINE,Unspecified,BRONX,,BRONX,,,,,,40.850647826661245,-73.86779883828002,"(40.85064782666124, -73.86779883828001)",False,False,False
18855885,10/08/2010 02:30:51 PM,10/19/2010 02:28:15 PM,DOT,Department of Transportation,Broken Parking Meter,Out of Order,Street,10462,2020 WHITE PLAINS ROAD,WHITE PLAINS ROAD,BIRCHALL AVENUE,BRONXDALE AVENUE,,,ADDRESS,BRONX,,,Closed,10/28/2010 02:30:51 PM,The Department of Transportation has completed the request or corrected the condition.,10/19/2010 12:00:00 AM,11 BRONX,2042570030.0,BRONX,1020824.0,249220.0,PHONE,Unspecified,BRONX,,,,,,,,40.850650571361925,-73.86779883282485,"(40.85065057136192, -73.86779883282485)",False,False,False
