Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26285189,09/09/2013 07:13:10 AM,09/26/2013 03:50:24 PM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10304,2071 CLOVE ROAD,CLOVE ROAD,GILES PLACE,NYCTA SUBWAY,,,ADDRESS,STATEN ISLAND,,,Closed,09/23/2013 07:13:10 AM,"The Department of Health and Mental Hygiene regulates restaurants and other establishments that mostly sell food which is prepared on the premises. New York State Agriculture and Markets regulates those establishments that mostly sell pre-packaged food, including supermarkets, bodegas, green markets, fish and meat markets, and delis. This Service Request involves an establishment under the jurisdiction of the New York State Agriculture and Markets. For complaint status, call (718) 722-2876.",09/26/2013 03:50:24 PM,02 STATEN ISLAND,5029210006.0,STATEN ISLAND,961020.0,159327.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.6039616791697,-74.0836573808332,"(40.6039616791697, -74.0836573808332)",True,False,False
26368215,09/24/2013 09:54:21 AM,,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10304,2071 CLOVE ROAD,CLOVE ROAD,GILES PLACE,NYCTA SUBWAY,,,ADDRESS,STATEN ISLAND,,,Open,11/08/2013 09:54:21 AM,The Health Departmentâs Office of Environmental Investigations has determined this case was an isolated incident. The Departmentâs Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.,09/24/2013 12:59:29 PM,02 STATEN ISLAND,5029210006.0,STATEN ISLAND,961020.0,159327.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.6039616791697,-74.0836573808332,"(40.6039616791697, -74.0836573808332)",True,False,False
26449470,10/07/2013 11:12:43 AM,10/07/2013 11:53:27 AM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10304.0,2071 CLOVE ROAD,CLOVE ROAD,GILES PLACE,NYCTA SUBWAY,,,ADDRESS,STATEN ISLAND,,,Closed,10/21/2013 11:12:43 AM,"The Department of Health and Mental Hygiene regulates restaurants and other establishments that mostly sell food which is prepared on the premises. New York State Agriculture and Markets regulates those establishments that mostly sell pre-packaged food, including supermarkets, bodegas, green markets, fish and meat markets, and delis. This Service Request involves an establishment under the jurisdiction of the New York State Agriculture and Markets. For complaint status, call (718) 722-2876.",10/07/2013 11:53:27 AM,02 STATEN ISLAND,5029210006.0,STATEN ISLAND,961020.0,159327.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.6039616791697,-74.0836573808332,"(40.6039616791697, -74.0836573808332)",True,False,False
26468391,10/10/2013 01:30:27 PM,10/11/2013 09:35:36 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,10304,2071 CLOVE ROAD,CLOVE ROAD,GILES PLACE,NYCTA SUBWAY,,,ADDRESS,STATEN ISLAND,,,Closed,11/16/2013 09:34:42 AM,"The Department of Consumer Affairs is scheduling an inspection which will take place within 35 days. Please do not file duplicate complaints or call to check results during this time. After 35 days, call 311 with your Service Request Number and ask for Service Request Status - DCA.",10/11/2013 09:35:36 AM,02 STATEN ISLAND,5029210006.0,STATEN ISLAND,961020.0,159327.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.6039616791697,-74.0836573808332,"(40.6039616791697, -74.0836573808332)",True,False,False
26611646,11/03/2013 12:44:39 AM,11/03/2013 06:04:51 AM,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Club/Bar/Restaurant,10304.0,2071 CLOVE ROAD,CLOVE ROAD,GILES PLACE,NYCTA SUBWAY,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,11/03/2013 08:44:39 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/03/2013 06:04:51 AM,02 STATEN ISLAND,5029210006.0,STATEN ISLAND,961020.0,159327.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.6039616791697,-74.0836573808332,"(40.6039616791697, -74.0836573808332)",True,False,False
26565277,10/27/2013 01:53:56 AM,10/27/2013 01:57:15 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10304.0,2071 CLOVE ROAD,CLOVE ROAD,GILES PLACE,NYCTA SUBWAY,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,10/27/2013 09:53:56 AM,The Police Department responded to the complaint and determined that police action was not necessary.,10/27/2013 01:57:15 AM,02 STATEN ISLAND,5029210006.0,STATEN ISLAND,961020.0,159327.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.6039616791697,-74.0836573808332,"(40.6039616791697, -74.0836573808332)",True,False,False
26567108,10/26/2013 11:24:33 PM,10/26/2013 11:47:05 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10304.0,2071 CLOVE ROAD,CLOVE ROAD,GILES PLACE,NYCTA SUBWAY,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,10/27/2013 07:24:33 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/26/2013 11:47:05 PM,02 STATEN ISLAND,5029210006.0,STATEN ISLAND,961020.0,159327.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.6039616791697,-74.0836573808332,"(40.6039616791697, -74.0836573808332)",True,False,False
26568724,10/26/2013 11:52:14 PM,10/27/2013 12:26:16 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10304.0,2071 CLOVE ROAD,CLOVE ROAD,GILES PLACE,NYCTA SUBWAY,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,10/27/2013 07:52:14 AM,The Police Department responded to the complaint and determined that police action was not necessary.,10/27/2013 12:26:16 AM,02 STATEN ISLAND,5029210006.0,STATEN ISLAND,961020.0,159327.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.6039616791697,-74.0836573808332,"(40.6039616791697, -74.0836573808332)",True,False,False
27008370,12/29/2013 11:14:47 PM,,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10304,2071 CLOVE ROAD,CLOVE ROAD,GILES PLACE,NYCTA SUBWAY,,,ADDRESS,STATEN ISLAND,,,Open,02/12/2014 11:14:47 PM,The Health Departmentâs Office of Environmental Investigations has determined this case was an isolated incident. The Departmentâs Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.,12/30/2013 11:05:46 AM,02 STATEN ISLAND,5029210006.0,STATEN ISLAND,961020.0,159327.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.6039616791697,-74.0836573808332,"(40.6039616791697, -74.0836573808332)",True,False,False
27635156,03/14/2014 12:00:00 AM,03/19/2014 11:05:28 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10304.0,2071 CLOVE ROAD,CLOVE ROAD,GILES PLACE,NYCTA SUBWAY,,,ADDRESS,STATEN ISLAND,,,Closed,04/13/2014 05:48:14 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,03/19/2014 11:05:28 AM,02 STATEN ISLAND,5029210006.0,STATEN ISLAND,961020.0,159327.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.6039616791697,-74.0836573808332,"(40.6039616791697, -74.0836573808332)",True,False,False
