Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26863524,12/11/2013 07:09:15 AM,01/07/2014 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,,10306.0,2110 RICHMOND ROAD,RICHMOND ROAD,COLFAX AVENUE,LINCOLN AVENUE,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Buildings investigated this complaint and issued an Environmental Control Board violation.,01/07/2014 12:00:00 AM,02 STATEN ISLAND,5035780009.0,STATEN ISLAND,953205.0,151155.0,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.58150726591522,-74.11176368979771,"(40.581507265915214, -74.11176368979771)",True,True,False
27098758,01/08/2014 01:44:32 PM,02/05/2014 11:29:42 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Exchange/Refund/Return,,10306,2110 RICHMOND ROAD,RICHMOND ROAD,COLFAX AVENUE,LINCOLN AVENUE,,,ADDRESS,STATEN ISLAND,,,Closed,01/12/2014 01:44:32 PM,The Department of Consumer Affairs has determined that this issue should be referred to the Court System. The customer may choose to pursue the complaint in court.,01/17/2014 10:17:37 AM,02 STATEN ISLAND,5035780009.0,STATEN ISLAND,953205.0,151155.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.58150726591522,-74.11176368979771,"(40.581507265915214, -74.11176368979771)",True,True,False
27248639,01/26/2014 10:47:57 PM,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Food Contains Foreign Object,Restaurant/Bar/Deli/Bakery,10306.0,2110 RICHMOND ROAD,RICHMOND ROAD,COLFAX AVENUE,LINCOLN AVENUE,,,ADDRESS,STATEN ISLAND,,,Pending,03/04/2014 10:47:57 PM,The Department of Health and Mental Hygiene has received and processed your complaint.  All restaurants and mobile food vendors are inspected annually.  Restaurant inspection results can be found on WWW.NYC.GOV or a copy of the inspection can be requested from 311.,01/27/2014 10:18:01 AM,02 STATEN ISLAND,5035780009.0,STATEN ISLAND,953205.0,151155.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.58150726591522,-74.11176368979771,"(40.581507265915214, -74.11176368979771)",True,True,False
23308338,05/27/2012 03:44:46 PM,01/01/1900 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,10306,2110 RICHMOND ROAD,RICHMOND ROAD,COLFAX AVENUE,LINCOLN AVENUE,,,ADDRESS,STATEN ISLAND,,,Assigned,07/03/2012 03:44:46 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",05/29/2012 02:28:55 PM,02 STATEN ISLAND,5035780009.0,STATEN ISLAND,953205.0,151155.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.58150726591522,-74.11176368979771,"(40.581507265915214, -74.11176368979771)",True,False,False
18315774,07/21/2010 07:12:00 PM,07/26/2010 02:45:00 PM,DEP,Department of Environmental Protection,Industrial Waste,Wastewater Into Catch Basin (IEB),,10306.0,2110 RICHMOND ROAD,RICHMOND ROAD,COLFAX AVE,LINCOLN AVE,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Environmental Protection investigated the complaint and issued a violation or order.,07/26/2010 02:45:00 PM,02 STATEN ISLAND,5035780009.0,STATEN ISLAND,953205.0,151155.0,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.58150726591522,-74.11176368979771,"(40.581507265915214, -74.11176368979771)",True,False,False
27249454,01/26/2014 11:23:01 PM,03/28/2014 06:51:21 AM,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Food Contaminated,Restaurant/Bar/Deli/Bakery,10306.0,2110 RICHMOND ROAD,RICHMOND ROAD,COLFAX AVENUE,LINCOLN AVENUE,,,ADDRESS,STATEN ISLAND,,,Closed,03/27/2014 11:23:01 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",03/28/2014 06:51:21 AM,02 STATEN ISLAND,5035780009.0,STATEN ISLAND,953205.0,151155.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.58150726591522,-74.11176368979771,"(40.581507265915214, -74.11176368979771)",True,True,False
16204068,03/12/2010 07:02:15 PM,03/24/2010 10:45:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,10306,2110 RICHMOND ROAD,RICHMOND ROAD,COLFAX AVENUE,LINCOLN AVENUE,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,03/24/2010 10:45:00 AM,Unspecified STATEN ISLAND,5035780009.0,STATEN ISLAND,953205.0,151155.0,OTHER,Unspecified,STATEN ISLAND,,,,,,,,40.58150726591522,-74.11176368979771,"(40.581507265915214, -74.11176368979771)",False,False,False
16312844,03/26/2010 09:44:17 AM,03/26/2010 09:44:17 AM,DOB,Department of Buildings,General Construction/Plumbing,Illegal Conversion Of Commercial Bldg/Space To Other Uses,,10306.0,2110 RICHMOND ROAD,RICHMOND ROAD,COLFAX AVENUE,LINCOLN AVENUE,,,ADDRESS,STATEN ISLAND,,,Closed,,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",03/26/2010 12:00:00 AM,02 STATEN ISLAND,5035780009.0,STATEN ISLAND,953205.0,151155.0,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.58150726591522,-74.11176368979771,"(40.581507265915214, -74.11176368979771)",True,False,False
16702311,05/20/2010 01:31:59 PM,05/24/2010 12:00:00 AM,DOB,Department of Buildings,Electrical,Electrical Wiring Defective/Exposed,,10306,2110 RICHMOND ROAD,RICHMOND ROAD,COLFAX AVENUE,LINCOLN AVENUE,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Buildings investigated this complaint and issued a violation.,05/24/2010 12:00:00 AM,02 STATEN ISLAND,5035780009.0,STATEN ISLAND,953205.0,151155.0,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.58150726591522,-74.11176368979771,"(40.581507265915214, -74.11176368979771)",True,False,False
16702312,05/20/2010 01:34:23 PM,05/24/2010 12:00:00 AM,DOB,Department of Buildings,Electrical,Electrical Wiring Defective/Exposed,,10306,2110 RICHMOND ROAD,RICHMOND ROAD,COLFAX AVENUE,LINCOLN AVENUE,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Buildings investigated this complaint and issued a violation.,05/24/2010 12:00:00 AM,02 STATEN ISLAND,5035780009.0,STATEN ISLAND,953205.0,151155.0,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.58150726591522,-74.11176368979771,"(40.581507265915214, -74.11176368979771)",True,False,False
