Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
20386723,05/09/2011 02:37:01 PM,01/01/1900 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,11235.0,2123 AVENUE Z,AVENUE Z,EAST 21 STREET,EAST 22 STREET,,,ADDRESS,BROOKLYN,,,Assigned,06/15/2011 02:37:01 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",05/10/2011 10:34:07 AM,15 BROOKLYN,3074410331.0,BROOKLYN,998685.0,153748.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.58866714226892,-73.94802765367317,"(40.58866714226892, -73.94802765367317)",True,False,False
22332759,12/15/2011 04:58:25 PM,01/01/1900 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,11235.0,2123 AVENUE Z,AVENUE Z,EAST 21 STREET,EAST 22 STREET,,,ADDRESS,BROOKLYN,,,Assigned,01/21/2012 04:58:25 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",12/16/2011 12:35:30 PM,15 BROOKLYN,3074410331.0,BROOKLYN,998685.0,153748.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.58866714226892,-73.94802765367317,"(40.58866714226892, -73.94802765367317)",True,False,False
23829885,08/18/2012 02:40:41 PM,01/01/1900 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,11235,2123 AVENUE Z,AVENUE Z,EAST 21 STREET,EAST 22 STREET,,,ADDRESS,BROOKLYN,,,Assigned,09/24/2012 02:40:41 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",08/20/2012 04:08:32 PM,15 BROOKLYN,3074410331.0,BROOKLYN,998685.0,153748.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.58866714226892,-73.94802765367317,"(40.58866714226892, -73.94802765367317)",True,True,False
15781613,01/22/2010 01:04:39 PM,01/01/1900 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,11235.0,2123 AVENUE Z,AVENUE Z,EAST 21 STREET,EAST 22 STREET,,,ADDRESS,BROOKLYN,,,Assigned,02/28/2010 01:04:39 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",01/22/2010 03:57:32 PM,15 BROOKLYN,3074410331.0,BROOKLYN,998685.0,153748.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.58866714226892,-73.94802765367317,"(40.58866714226892, -73.94802765367317)",True,False,False
24768519,01/12/2013 12:07:29 AM,,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,11235.0,2123 AVENUE Z,AVENUE Z,EAST 21 STREET,EAST 22 STREET,,,ADDRESS,BROOKLYN,,,Assigned,02/18/2013 12:07:29 AM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",01/14/2013 03:59:53 PM,15 BROOKLYN,3074410331.0,BROOKLYN,998685.0,153748.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.58866714226892,-73.94802765367317,"(40.58866714226892, -73.94802765367317)",True,True,True
15870523,01/16/2010 11:18:52 AM,01/16/2010 11:18:52 AM,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,,11235,2123 AVENUE Z,AVENUE Z,EAST 21 STREET,EAST 22 STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and issued an Environmental Control Board violation.,01/16/2010 12:00:00 AM,15 BROOKLYN,3074410331.0,BROOKLYN,998685.0,153748.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.58866714226892,-73.94802765367317,"(40.58866714226892, -73.94802765367317)",True,False,False
16521247,04/26/2010 03:31:30 PM,,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,11235,2123 AVENUE Z,AVENUE Z,EAST 21 STREET,EAST 22 STREET,,,ADDRESS,BROOKLYN,,,Assigned,06/02/2010 03:31:30 PM,,04/26/2010 04:39:27 PM,15 BROOKLYN,3074410331.0,BROOKLYN,998685.0,153748.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.58866714226892,-73.94802765367317,"(40.58866714226892, -73.94802765367317)",True,False,False
16915081,06/22/2010 12:02:19 PM,08/22/2010 06:23:47 AM,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Food Worker Hygiene,Restaurant/Bar/Deli/Bakery,11235.0,2123 AVENUE Z,AVENUE Z,EAST 21 STREET,EAST 22 STREET,,,ADDRESS,BROOKLYN,,,Closed,08/21/2010 12:02:19 PM,,08/22/2010 12:00:00 AM,15 BROOKLYN,3074410331.0,BROOKLYN,998685.0,153748.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.58866714226892,-73.94802765367317,"(40.58866714226892, -73.94802765367317)",True,False,False
16923771,06/23/2010 10:48:59 AM,,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,11235,2123 AVENUE Z,AVENUE Z,EAST 21 STREET,EAST 22 STREET,,,ADDRESS,BROOKLYN,,,Pending,07/30/2010 10:48:59 AM,,06/24/2010 12:00:00 AM,15 BROOKLYN,3074410331.0,BROOKLYN,998685.0,153748.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.58866714226892,-73.94802765367317,"(40.58866714226892, -73.94802765367317)",True,False,False
17552026,06/30/2010 03:05:30 PM,,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,11235,2123 AVENUE Z,AVENUE Z,EAST 21 STREET,EAST 22 STREET,,,ADDRESS,BROOKLYN,,,Assigned,08/06/2010 03:05:30 PM,,06/30/2010 03:44:25 PM,15 BROOKLYN,3074410331.0,BROOKLYN,998685.0,153748.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.58866714226892,-73.94802765367317,"(40.58866714226892, -73.94802765367317)",True,False,False
18265532,07/15/2010 09:41:14 AM,,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,11235,2123 AVENUE Z,AVENUE Z,EAST 21 STREET,EAST 22 STREET,,,ADDRESS,BROOKLYN,,,Pending,08/21/2010 09:41:14 AM,,07/15/2010 12:00:00 AM,15 BROOKLYN,3074410331.0,BROOKLYN,998685.0,153748.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.58866714226892,-73.94802765367317,"(40.58866714226892, -73.94802765367317)",True,False,False
20117300,03/27/2011 08:33:49 AM,07/13/2011 08:41:57 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Sidewalk Blocked,,11235,2123 AVENUE Z,AVENUE Z,EAST 21 STREET,EAST 22 STREET,,,ADDRESS,BROOKLYN,,,Closed,05/03/2011 03:59:22 PM,"The Department of Consumer Affairs inspected the business you named in your Service Request. To check results, call 311 with your Service Request Number and ask for Service Request Status - DCA.",03/28/2011 03:59:22 PM,15 BROOKLYN,3074410331.0,BROOKLYN,998685.0,153748.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.58866714226892,-73.94802765367317,"(40.58866714226892, -73.94802765367317)",True,False,False
20805661,07/12/2011 12:26:54 AM,,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,11235.0,2123 AVENUE Z,AVENUE Z,EAST 21 STREET,EAST 22 STREET,,,ADDRESS,BROOKLYN,,,Assigned,08/18/2011 12:26:54 AM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",07/12/2011 08:14:34 PM,15 BROOKLYN,3074410331.0,BROOKLYN,998685.0,153748.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.58866714226892,-73.94802765367317,"(40.58866714226892, -73.94802765367317)",True,False,False
20813281,07/12/2011 03:20:23 PM,,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,11235.0,2123 AVENUE Z,AVENUE Z,EAST 21 STREET,EAST 22 STREET,,,ADDRESS,BROOKLYN,,,Pending,08/18/2011 03:20:23 PM,The Department of Health and Mental Hygiene has received and processed your complaint.  The facility will receive an inspection from the Bureau of Food Safety and Community Sanitation.  Inspection results are not published.,07/13/2011 11:21:59 AM,15 BROOKLYN,3074410331.0,BROOKLYN,998685.0,153748.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.58866714226892,-73.94802765367317,"(40.58866714226892, -73.94802765367317)",True,False,False
20984076,08/06/2011 05:22:23 PM,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Toxic Chemical/Material,Restaurant/Bar/Deli/Bakery,11235,2123 AVENUE Z,AVENUE Z,EAST 21 STREET,EAST 22 STREET,,,ADDRESS,BROOKLYN,,,Pending,09/12/2011 05:22:23 PM,The Department of Health and Mental Hygiene has received and processed your complaint.  All restaurants and mobile food vendors are inspected annually.  Restaurant inspection results can be found on WWW.NYC.GOV or a copy of the inspection can be requested from 311.,08/08/2011 07:16:15 AM,15 BROOKLYN,3074410331.0,BROOKLYN,998685.0,153748.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.58866714226892,-73.94802765367317,"(40.58866714226892, -73.94802765367317)",True,False,False
20984077,08/06/2011 05:29:28 PM,,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,11235,2123 AVENUE Z,AVENUE Z,EAST 21 STREET,EAST 22 STREET,,,ADDRESS,BROOKLYN,,,Pending,09/12/2011 05:29:28 PM,The Department of Health and Mental Hygiene has received and processed your complaint.  The facility will receive an inspection from the Bureau of Food Safety and Community Sanitation.  Inspection results are not published.,08/08/2011 09:20:24 AM,15 BROOKLYN,3074410331.0,BROOKLYN,998685.0,153748.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.58866714226892,-73.94802765367317,"(40.58866714226892, -73.94802765367317)",True,False,False
21538419,09/28/2011 09:06:00 AM,09/28/2011 07:10:00 PM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11235.0,2123 AVENUE Z,AVENUE Z,EAST 21 STREET,EAST 22 STREET,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",09/28/2011 07:10:00 PM,15 BROOKLYN,3074410331.0,BROOKLYN,998685.0,153748.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.58866714226892,-73.94802765367317,"(40.58866714226892, -73.94802765367317)",True,False,False
21548617,09/29/2011 10:16:00 AM,09/30/2011 12:20:00 PM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11235,2123 AVENUE Z,AVENUE Z,EAST 21 STREET,EAST 22 STREET,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",09/30/2011 12:20:00 PM,15 BROOKLYN,3074410331.0,BROOKLYN,998685.0,153748.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.58866714226892,-73.94802765367317,"(40.58866714226892, -73.94802765367317)",True,False,False
