Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26781326,11/29/2013 05:35:36 PM,12/13/2013 04:42:16 PM,DCA,Department of Consumer Affairs,Consumer Complaint,False Advertising,,10002,217 BOWERY,BOWERY,RIVINGTON STREET,PRINCE STREET,,,ADDRESS,NEW YORK,,,Closed,12/03/2013 05:35:36 PM,The Department of Consumer Affairs has determined that this issue is not within its jurisdiction. It has been referred to the State Liquor Authority.,12/13/2013 04:42:16 PM,03 MANHATTAN,1004260002.0,MANHATTAN,986064.0,202246.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.7217950816394,-73.99345575659108,"(40.7217950816394, -73.99345575659108)",True,True,False
21709241,10/21/2011 11:42:12 AM,01/01/1900 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,10002.0,217 BOWERY,BOWERY,RIVINGTON STREET,PRINCE STREET,,,ADDRESS,NEW YORK,,,Assigned,11/27/2011 11:42:12 AM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",10/21/2011 04:44:25 PM,03 MANHATTAN,1004260002.0,MANHATTAN,986065.0,202245.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.721792336675854,-73.99345214922934,"(40.72179233667585, -73.99345214922934)",True,False,False
25183410,03/15/2013 06:18:00 PM,03/15/2013 08:03:00 PM,DEP,Department of Environmental Protection,Noise,Noise: air condition/ventilation equipment (NV1),,10002.0,217 BOWERY,BOWERY,RIVINGTON ST,PRINCE ST,,,ADDRESS,NEW YORK,,,Closed,,The Department of Environmental Protection requires contact with the complainant to investigate this complaint. A message was left for the complainant at the phone number provided.,03/15/2013 08:03:00 PM,03 MANHATTAN,1004260002.0,MANHATTAN,986064.0,202246.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.7217950816394,-73.99345575659108,"(40.7217950816394, -73.99345575659108)",True,False,False
26332664,09/17/2013 04:09:00 AM,09/17/2013 04:09:00 AM,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),,10002.0,217 BOWERY,BOWERY,RIVINGTON ST,PRINCE ST,,,ADDRESS,NEW YORK,,,Closed,,The Department of Environmental Protection investigated this complaint and found it to be a temporary condition.,09/17/2013 04:09:00 AM,03 MANHATTAN,1004260002.0,MANHATTAN,986064.0,202246.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7217950816394,-73.99345575659108,"(40.7217950816394, -73.99345575659108)",True,True,False
26617459,11/03/2013 12:05:49 PM,04/18/2014 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10002.0,217 BOWERY,BOWERY,RIVINGTON STREET,PRINCE STREET,,,ADDRESS,NEW YORK,,,Closed,01/09/2014 11:30:17 AM,The City has removed the graffiti from this property.,05/16/2014 04:25:47 PM,03 MANHATTAN,1004260002.0,MANHATTAN,986064.0,202246.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.7217950816394,-73.99345575659108,"(40.7217950816394, -73.99345575659108)",True,True,False
16324312,03/29/2010 12:55:47 PM,06/03/2010 12:39:30 PM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,10002,217 BOWERY,BOWERY,RIVINGTON STREET,PRINCE STREET,,,ADDRESS,NEW YORK,,,Closed,06/04/2010 04:17:49 PM,,06/03/2010 12:38:29 PM,03 MANHATTAN,1004260002.0,MANHATTAN,986065.0,202245.0,ONLINE,Unspecified,MANHATTAN,,,Other,,,,,40.721792336675854,-73.99345214922934,"(40.72179233667585, -73.99345214922934)",False,False,False
16603363,05/06/2010 10:44:25 AM,05/25/2010 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10002,217 BOWERY,BOWERY,RIVINGTON STREET,PRINCE STREET,,,ADDRESS,NEW YORK,,,Closed,,The City has removed the graffiti from this property.,05/25/2010 11:19:12 AM,03 MANHATTAN,1004260002.0,MANHATTAN,986064.0,202246.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.7217950816394,-73.99345575659108,"(40.7217950816394, -73.99345575659108)",True,False,False
19036740,11/03/2010 04:24:48 PM,11/05/2010 05:03:57 PM,TLC,Taxi and Limousine Commission,Taxi Complaint,Insurance Information Requested,Street,10002,217 BOWERY,BOWERY,RIVINGTON STREET,PRINCE STREET,,,ADDRESS,NEW YORK,,,Closed,,,11/05/2010 12:00:00 AM,03 MANHATTAN,1004260002.0,MANHATTAN,986065.0,202245.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.721792336675854,-73.99345214922934,"(40.72179233667585, -73.99345214922934)",False,False,False
20502443,05/25/2011 12:24:46 PM,05/25/2011 04:16:10 PM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10002,217 BOWERY,BOWERY,RIVINGTON STREET,PRINCE STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,05/25/2011 08:24:46 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,05/25/2011 04:16:10 PM,03 MANHATTAN,1004260002.0,MANHATTAN,986065.0,202245.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.721792336675854,-73.99345214922934,"(40.72179233667585, -73.99345214922934)",False,False,False
20772154,07/05/2011 09:34:14 PM,07/19/2011 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10002,217 BOWERY,BOWERY,RIVINGTON STREET,PRINCE STREET,,,ADDRESS,NEW YORK,,,Closed,,The City has removed the graffiti from this property.,07/28/2011 04:53:48 PM,03 MANHATTAN,1004260002.0,MANHATTAN,986064.0,202246.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.7217950816394,-73.99345575659108,"(40.7217950816394, -73.99345575659108)",True,False,False
