Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
20362755,05/04/2011 12:00:00 AM,,HPD,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,RESIDENTIAL BUILDING,11207,2176 PITKIN AVENUE,PITKIN AVENUE,WYONA STREET,BRADFORD STREET,,,ADDRESS,BROOKLYN,,,Open,,The following complaint conditions are still open.  HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,05/11/2011 12:00:00 AM,05 BROOKLYN,3037410025.0,BROOKLYN,1014138.0,184276.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.6724213478516,-73.89225490628894,"(40.672421347851596, -73.89225490628894)",False,False,False
20363748,05/04/2011 12:00:00 AM,,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11207,2176 PITKIN AVENUE,PITKIN AVENUE,WYONA STREET,BRADFORD STREET,,,ADDRESS,BROOKLYN,,,Open,,The following complaint conditions are still open.  HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,05/11/2011 12:00:00 AM,05 BROOKLYN,3037410025.0,BROOKLYN,1014138.0,184276.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.6724213478516,-73.89225490628894,"(40.672421347851596, -73.89225490628894)",True,False,False
21729947,10/25/2011 12:00:00 AM,10/31/2011 12:00:00 AM,HPD,Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11207,2176 PITKIN AVENUE,PITKIN AVENUE,WYONA STREET,BRADFORD STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,10/31/2011 12:00:00 AM,05 BROOKLYN,3037410025.0,BROOKLYN,1014161.0,184280.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.67243224926623,-73.89217197450462,"(40.67243224926623, -73.89217197450463)",False,False,False
21732231,10/25/2011 12:00:00 AM,10/30/2011 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11207,2176 PITKIN AVENUE,PITKIN AVENUE,WYONA STREET,BRADFORD STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,10/30/2011 12:00:00 AM,05 BROOKLYN,3037410025.0,BROOKLYN,1014161.0,184280.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.67243224926623,-73.89217197450462,"(40.67243224926623, -73.89217197450463)",True,False,False
21732913,10/25/2011 12:00:00 AM,10/31/2011 12:00:00 AM,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,RESIDENTIAL BUILDING,11207,2176 PITKIN AVENUE,PITKIN AVENUE,WYONA STREET,BRADFORD STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,10/31/2011 12:00:00 AM,05 BROOKLYN,3037410025.0,BROOKLYN,1014161.0,184280.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.67243224926623,-73.89217197450462,"(40.67243224926623, -73.89217197450463)",True,False,False
21735748,10/25/2011 12:00:00 AM,10/31/2011 12:00:00 AM,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,11207,2176 PITKIN AVENUE,PITKIN AVENUE,WYONA STREET,BRADFORD STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,10/31/2011 12:00:00 AM,05 BROOKLYN,3037410025.0,BROOKLYN,1014161.0,184280.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.67243224926623,-73.89217197450462,"(40.67243224926623, -73.89217197450463)",True,False,False
22917580,03/20/2012 12:00:00 AM,03/27/2012 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,11207,2176 PITKIN AVENUE,PITKIN AVENUE,WYONA STREET,BRADFORD STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,03/27/2012 12:00:00 AM,05 BROOKLYN,3037410025.0,BROOKLYN,1014161.0,184280.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.67243224926623,-73.89217197450462,"(40.67243224926623, -73.89217197450463)",True,False,False
22915006,03/20/2012 12:00:00 AM,03/27/2012 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,11207,2176 PITKIN AVENUE,PITKIN AVENUE,WYONA STREET,BRADFORD STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,03/27/2012 12:00:00 AM,05 BROOKLYN,3037410025.0,BROOKLYN,1014161.0,184280.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.67243224926623,-73.89217197450462,"(40.67243224926623, -73.89217197450463)",True,False,False
22915189,03/20/2012 12:00:00 AM,03/27/2012 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,CABINETS,RESIDENTIAL BUILDING,11207,2176 PITKIN AVENUE,PITKIN AVENUE,WYONA STREET,BRADFORD STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,03/27/2012 12:00:00 AM,05 BROOKLYN,3037410025.0,BROOKLYN,1014161.0,184280.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.67243224926623,-73.89217197450462,"(40.67243224926623, -73.89217197450463)",False,False,False
23158737,05/02/2012 12:00:00 AM,05/08/2012 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,11207,2176 PITKIN AVENUE,PITKIN AVENUE,WYONA STREET,BRADFORD STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,05/08/2012 12:00:00 AM,05 BROOKLYN,3037410025.0,BROOKLYN,1014161.0,184280.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.67243224926623,-73.89217197450462,"(40.67243224926623, -73.89217197450463)",True,False,False
