Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26701348,11/16/2013 11:11:01 PM,11/16/2013 11:27:31 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237.0,22 WYCKOFF AVENUE,WYCKOFF AVENUE,TROUTMAN STREET,STARR STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/17/2013 07:11:01 AM,The Police Department responded to the complaint and determined that police action was not necessary.,11/16/2013 11:26:37 PM,04 BROOKLYN,3031880138.0,BROOKLYN,1005705.0,196650.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.706409572179325,-73.92261612218131,"(40.70640957217932, -73.92261612218132)",True,True,False
26822801,12/05/2013 11:32:22 PM,12/06/2013 02:45:25 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11237.0,22 WYCKOFF AVENUE,WYCKOFF AVENUE,TROUTMAN STREET,STARR STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/06/2013 07:32:22 AM,The Police Department responded to the complaint and took action to fix the condition.,12/06/2013 02:45:15 AM,04 BROOKLYN,3031880138.0,BROOKLYN,1005705.0,196650.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.706409572179325,-73.92261612218131,"(40.70640957217932, -73.92261612218132)",True,True,False
26842468,12/08/2013 12:56:25 AM,12/08/2013 03:06:32 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237,22 WYCKOFF AVENUE,WYCKOFF AVENUE,TROUTMAN STREET,STARR STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/08/2013 08:56:25 AM,The Police Department responded to the complaint and took action to fix the condition.,12/08/2013 03:06:13 AM,04 BROOKLYN,3031880138.0,BROOKLYN,1005705.0,196650.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.706409572179325,-73.92261612218131,"(40.70640957217932, -73.92261612218132)",True,True,False
26870336,12/13/2013 01:44:01 AM,12/13/2013 03:54:55 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237.0,22 WYCKOFF AVENUE,WYCKOFF AVENUE,TROUTMAN STREET,STARR STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/13/2013 09:44:01 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/13/2013 03:54:18 AM,04 BROOKLYN,3031880138.0,BROOKLYN,1005705.0,196650.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.706409572179325,-73.92261612218131,"(40.70640957217932, -73.92261612218132)",True,True,False
26918537,12/20/2013 12:19:11 AM,12/20/2013 02:47:44 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237.0,22 WYCKOFF AVENUE,WYCKOFF AVENUE,TROUTMAN STREET,STARR STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/20/2013 08:19:11 AM,The Police Department responded to the complaint and took action to fix the condition.,12/20/2013 02:47:44 AM,04 BROOKLYN,3031880138.0,BROOKLYN,1005705.0,196650.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.706409572179325,-73.92261612218131,"(40.70640957217932, -73.92261612218132)",True,True,False
26922568,12/20/2013 11:58:50 PM,12/21/2013 02:25:19 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237.0,22 WYCKOFF AVENUE,WYCKOFF AVENUE,TROUTMAN STREET,STARR STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/21/2013 07:58:50 AM,The Police Department responded to the complaint and took action to fix the condition.,12/21/2013 02:24:40 AM,04 BROOKLYN,3031880138.0,BROOKLYN,1005705.0,196650.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.706409572179325,-73.92261612218131,"(40.70640957217932, -73.92261612218132)",True,True,False
27038231,01/02/2014 11:56:29 PM,01/03/2014 01:29:13 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237.0,22 WYCKOFF AVENUE,WYCKOFF AVENUE,TROUTMAN STREET,STARR STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/03/2014 07:56:29 AM,The Police Department responded to the complaint and determined that police action was not necessary.,01/03/2014 01:29:14 AM,04 BROOKLYN,3031880138.0,BROOKLYN,1005705.0,196650.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.706409572179325,-73.92261612218131,"(40.70640957217932, -73.92261612218132)",True,True,False
27132848,01/13/2014 01:17:59 AM,01/13/2014 02:12:21 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237,22 WYCKOFF AVENUE,WYCKOFF AVENUE,TROUTMAN STREET,STARR STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/13/2014 09:17:59 AM,The Police Department responded to the complaint and took action to fix the condition.,01/13/2014 02:12:21 AM,04 BROOKLYN,3031880138.0,BROOKLYN,1005705.0,196650.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.706409572179325,-73.92261612218131,"(40.70640957217932, -73.92261612218132)",True,True,False
27243272,01/25/2014 12:02:01 AM,01/25/2014 01:29:50 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237.0,22 WYCKOFF AVENUE,WYCKOFF AVENUE,TROUTMAN STREET,STARR STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/25/2014 08:02:01 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/25/2014 01:29:50 AM,04 BROOKLYN,3031880138.0,BROOKLYN,1005705.0,196650.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.706409572179325,-73.92261612218131,"(40.70640957217932, -73.92261612218132)",True,True,False
27593825,03/08/2014 10:51:28 PM,03/09/2014 12:16:38 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11237.0,22 WYCKOFF AVENUE,WYCKOFF AVENUE,TROUTMAN STREET,STARR STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,03/09/2014 06:51:28 AM,The Police Department responded to the complaint and determined that police action was not necessary.,03/09/2014 12:16:38 AM,04 BROOKLYN,3031880138.0,BROOKLYN,1005705.0,196650.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.706409572179325,-73.92261612218131,"(40.70640957217932, -73.92261612218132)",True,True,False
