Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
16423679,04/11/2010 07:55:00 PM,04/12/2010 09:30:00 AM,DEP,Department of Environmental Protection,Sewer,Catch Basin Search (SC2),,10453.0,2233 GRAND CONCOURSE,GRAND CONCOURSE,E 182 ST,E 183 ST,,,ADDRESS,BRONX,,,Closed,,The Department of Environmental Protection investigated this complaint and completed a search of the catch basin.,04/12/2010 09:30:00 AM,05 BRONX,2031630040.0,BRONX,1011710.0,251207.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.85613734065176,-73.90073432143691,"(40.85613734065176, -73.9007343214369)",False,False,False
23830679,08/19/2012 01:53:57 AM,05/27/2014 03:09:14 PM,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,10453.0,2233 GRAND CONCOURSE,GRAND CONCOURSE,EAST 182 STREET,EAST 183 STREET,,,ADDRESS,BRONX,,,Closed,02/23/2014 07:33:09 AM,The Department of Parks and Recreation has planted the tree(s).,05/27/2014 03:09:14 PM,05 BRONX,2031630040.0,BRONX,1011720.0,251229.0,PHONE,Unspecified,BRONX,,,,,,,,40.85619769292982,-73.90069808212215,"(40.85619769292982, -73.90069808212215)",False,False,False
30067650,03/01/2015 11:59:09 AM,05/01/2015 06:23:42 AM,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Letter Grading,Restaurant/Bar/Deli/Bakery,10453,2233 GRAND CONCOURSE,GRAND CONCOURSE,EAST 182 STREET,EAST 183 STREET,,,ADDRESS,BRONX,,,Closed,04/30/2015 11:59:09 AM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",05/01/2015 06:23:42 AM,05 BRONX,2031630040.0,BRONX,1011710.0,251207.0,ONLINE,Unspecified,BRONX,,,,,,,,40.85613734065176,-73.90073432143691,"(40.85613734065176, -73.9007343214369)",True,False,False
31925482,11/06/2015 02:22:39 PM,11/13/2015 08:10:01 AM,DOT,Department of Transportation,Broken Muni Meter,Out of Order,Street,10453.0,2233 GRAND CONCOURSE,GRAND CONCOURSE,EAST 182 STREET,EAST 183 STREET,,,ADDRESS,BRONX,,,Closed,11/26/2015 02:22:39 PM,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",11/13/2015 08:10:02 AM,05 BRONX,2031630040.0,BRONX,1011710.0,251207.0,MOBILE,Unspecified,BRONX,,,,,,,,40.85613734065176,-73.90073432143691,"(40.85613734065176, -73.9007343214369)",False,False,False
32435626,01/17/2016 09:57:49 PM,01/19/2016 01:33:36 PM,DCA,Department of Consumer Affairs,Consumer Complaint,Price Not Posted,,10453.0,2233 GRAND CONCOURSE,GRAND CONCOURSE,EAST 182 STREET,EAST 183 STREET,,,ADDRESS,BRONX,,,Closed,02/24/2016 01:33:26 PM,"The Department of Consumer Affairs is scheduling an inspection which will take place within 35 days. Please do not file duplicate complaints or call to check results during this time. After 35 days, call 311 with your Service Request Number and ask for Service Request Status - DCA.",01/19/2016 01:33:36 PM,05 BRONX,2031630040.0,BRONX,1011710.0,251207.0,ONLINE,Unspecified,BRONX,,,,,,,,40.85613734065176,-73.90073432143691,"(40.85613734065176, -73.9007343214369)",True,False,False
32436086,01/17/2016 09:33:47 PM,01/19/2016 12:36:11 PM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,3 or More,Other (Explain Below),10453.0,2233 GRAND CONCOURSE,GRAND CONCOURSE,EAST 182 STREET,EAST 183 STREET,,,ADDRESS,BRONX,,,Closed,01/31/2016 09:33:50 PM,"Callers should contact the DOHMH Foodborne Illness unit directly at (646) 632-6103 weekdays from 9AM to 5PM.  DOHMH will review your complaint within 24 hours.  Complaints of this type usually result in complainant contact and/or inspection. Initial status will be available 14 days after the date of your complaint. If you are experiencing medical symptoms, please seek medical attention or consult the NYC Poison Control Center.  Please note your Service Request number for future reference.",01/19/2016 12:36:02 PM,05 BRONX,2031630040.0,BRONX,1011710.0,251207.0,ONLINE,Unspecified,BRONX,,,,,,,,40.85613734065176,-73.90073432143691,"(40.85613734065176, -73.9007343214369)",True,False,False
32612283,02/06/2016 10:32:43 PM,02/09/2016 10:35:35 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Receipt Incomplete/Not Given,,10453.0,2233 GRAND CONCOURSE,GRAND CONCOURSE,EAST 182 STREET,EAST 183 STREET,,,ADDRESS,BRONX,,,Closed,03/16/2016 10:33:39 AM,"The Department of Consumer Affairs is scheduling an inspection which will take place within 35 days. Please do not file duplicate complaints or call to check results during this time. After 35 days, call 311 with your Service Request Number and ask for Service Request Status - DCA.",02/09/2016 10:35:35 AM,05 BRONX,2031630040.0,BRONX,1011710.0,251207.0,ONLINE,Unspecified,BRONX,,,,,,,,40.85613734065176,-73.90073432143691,"(40.85613734065176, -73.9007343214369)",True,False,False
32660647,02/12/2016 10:24:46 PM,02/16/2016 02:34:11 PM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,10453,2233 GRAND CONCOURSE,GRAND CONCOURSE,EAST 182 STREET,EAST 183 STREET,,,ADDRESS,BRONX,,,Closed,02/16/2016 10:24:46 PM,The Department of Consumer Affairs has determined that this issue is not within its jurisdiction. It has been referred to the New York Police Department.,02/16/2016 02:34:11 PM,05 BRONX,2031630040.0,BRONX,1011710.0,251207.0,ONLINE,Unspecified,BRONX,,,,,,,,40.85613734065176,-73.90073432143691,"(40.85613734065176, -73.9007343214369)",True,False,False
32785467,02/27/2016 09:17:24 PM,03/01/2016 11:04:28 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Prohibited Item Sale to Minor,,10453.0,2233 GRAND CONCOURSE,GRAND CONCOURSE,EAST 182 STREET,EAST 183 STREET,,,ADDRESS,BRONX,,,Closed,04/06/2016 11:03:47 AM,"The Department of Consumer Affairs is scheduling an inspection which will take place within 35 days. Please do not file duplicate complaints or call to check results during this time. After 35 days, call 311 with your Service Request Number and ask for Service Request Status - DCA.",03/01/2016 11:04:28 AM,05 BRONX,2031630040.0,BRONX,1011710.0,251207.0,ONLINE,Unspecified,BRONX,,,,,,,,40.85613734065176,-73.90073432143691,"(40.85613734065176, -73.9007343214369)",True,False,False
32946690,03/20/2016 09:30:00 PM,03/21/2016 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10453.0,2233 GRAND CONCOURSE,GRAND CONCOURSE,EAST 182 STREET,EAST 183 STREET,,,ADDRESS,BRONX,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,03/21/2016 12:00:00 PM,05 BRONX,2031630040.0,BRONX,1011710.0,251207.0,ONLINE,Unspecified,BRONX,,,,,,,,40.85613734065176,-73.90073432143691,"(40.85613734065176, -73.9007343214369)",True,False,False
