Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
27212488,01/17/2014 06:37:34 AM,01/18/2014 12:45:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,11220,225 47 STREET,47 STREET,2 AVENUE,3 AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,01/18/2014 12:45:00 AM,Unspecified BROOKLYN,3007540058.0,BROOKLYN,980235.0,176219.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.650356203343385,-74.01446913055618,"(40.65035620334338, -74.01446913055617)",False,False,False
27805620,04/07/2014 06:48:55 AM,04/08/2014 02:00:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,11220.0,225 47 STREET,47 STREET,2 AVENUE,3 AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,04/08/2014 02:00:00 AM,07 BROOKLYN,3007540058.0,BROOKLYN,980235.0,176219.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.650356203343385,-74.01446913055618,"(40.65035620334338, -74.01446913055617)",False,False,False
22244049,12/02/2011 12:44:00 PM,12/03/2011 12:00:00 PM,DSNY,BCC - Brooklyn South,Other Enforcement,E10 Obstruction (Street/Sidewalk),Sidewalk,11220.0,225 47 STREET,47 STREET,2 AVENUE,3 AVENUE,,,ADDRESS,BROOKLYN,,DSNY Garage,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,12/03/2011 12:00:00 PM,07 BROOKLYN,3007540058.0,BROOKLYN,980235.0,176219.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.650356203343385,-74.01446913055618,"(40.65035620334338, -74.01446913055617)",True,False,False
28922559,09/20/2014 03:56:50 AM,09/20/2014 05:58:46 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11220,225 47 STREET,47 STREET,2 AVENUE,3 AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/20/2014 11:56:50 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,09/20/2014 05:58:46 AM,07 BROOKLYN,3007540058.0,BROOKLYN,980235.0,176219.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.650356203343385,-74.01446913055618,"(40.65035620334338, -74.01446913055617)",True,False,False
28968054,09/28/2014 01:02:24 PM,09/30/2014 12:04:27 PM,DCA,Department of Consumer Affairs,Consumer Complaint,Price Not Posted,,11220,225 47 STREET,47 STREET,2 AVENUE,3 AVENUE,,,ADDRESS,BROOKLYN,,,Closed,10/02/2014 01:02:24 PM,"Unfortunately, the behavior that you complained about does not violate any law or rule. As a result, no city agency has the jurisdiction to act on the matter.",09/30/2014 12:04:27 PM,07 BROOKLYN,3007540058.0,BROOKLYN,980235.0,176219.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.650356203343385,-74.01446913055618,"(40.65035620334338, -74.01446913055617)",True,False,False
31323572,08/16/2015 10:33:13 PM,08/17/2015 07:42:31 AM,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Store/Commercial,11220,225 47 STREET,47 STREET,2 AVENUE,3 AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,08/17/2015 06:33:13 AM,The Police Department responded to the complaint and determined that police action was not necessary.,08/17/2015 07:42:31 AM,07 BROOKLYN,3007540058.0,BROOKLYN,980235.0,176219.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.650356203343385,-74.01446913055618,"(40.65035620334338, -74.01446913055617)",True,True,False
31520581,09/13/2015 12:14:18 AM,09/13/2015 08:41:12 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11220,225 47 STREET,47 STREET,2 AVENUE,3 AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/13/2015 08:14:18 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/13/2015 08:41:12 AM,07 BROOKLYN,3007540058.0,BROOKLYN,980235.0,176219.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.650356203343385,-74.01446913055618,"(40.65035620334338, -74.01446913055617)",True,True,False
32438307,01/17/2016 04:28:59 AM,01/17/2016 08:12:43 AM,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Club/Bar/Restaurant,11220.0,225 47 STREET,47 STREET,2 AVENUE,3 AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/17/2016 12:28:59 PM,The Police Department responded to the complaint and took action to fix the condition.,01/17/2016 08:12:43 AM,07 BROOKLYN,3007540058.0,BROOKLYN,980235.0,176219.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.650356203343385,-74.01446913055618,"(40.65035620334338, -74.01446913055617)",True,True,False
32562733,01/30/2016 05:54:34 PM,07/28/2016 10:00:19 AM,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11220.0,225 47 STREET,47 STREET,2 AVENUE,3 AVENUE,,,ADDRESS,BROOKLYN,,,Closed,08/01/2016 07:53:05 AM,The Department of Parks and Recreation has determined that the requested location cannot receive a new tree because of conflicts with surrounding infrastructure.,07/28/2016 10:00:19 AM,07 BROOKLYN,3007540058.0,BROOKLYN,980235.0,176219.0,OTHER,Unspecified,BROOKLYN,,,,,,,,40.650356203343385,-74.01446913055618,"(40.65035620334338, -74.01446913055617)",False,True,False
32736766,02/21/2016 01:20:27 AM,02/21/2016 06:04:24 AM,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Club/Bar/Restaurant,11220,225 47 STREET,47 STREET,2 AVENUE,3 AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,02/21/2016 09:20:27 AM,The Police Department responded to the complaint and took action to fix the condition.,02/21/2016 06:04:24 AM,07 BROOKLYN,3007540058.0,BROOKLYN,980235.0,176219.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.650356203343385,-74.01446913055618,"(40.65035620334338, -74.01446913055617)",True,True,False
